Date,BMV:ALFAA,BMV:ALPEKA,BMV:ALSEA,BMV:AMXL,BMV:AC,BMV:ASURB,BMV:GFREGIOO,BMV:BIMBOA,BMV:BOLSAA,BMV:CEMEXCPO,BMV:KOFL,BMV:LIVEPOLC-1,BMV:ELEKTRA,BMV:GFNORTEO,BMV:FEMSAUBD,BMV:LABB,BMV:GENTERA,BMV:GMEXICOB,BMV:GRUMAB,BMV:GAPB,BMV:GCARSOA1,BMV:GFINBURO,BMV:SANMEXB,BMV:LALAB,BMV:TLEVISACPO,BMV:IENOVA,BMV:KIMBERA,BMV:MEXCHEM,BMV:NEMAKA,BMV:OHLMEX,BMV:OMAB,BMV:PE&OLES,BMV:PINFRA,BMV:VOLARA,BMV:WALMEX
2005-04-01,6.0,,5.4,4.84,23.8,32.81,,7.5,,20.55,27.71,20.06,89.6,72.87,20.23,,,6.38,24.7,,18.6,11.01,8.88,,32.88,,11.2,3.0,,,,58.0,,,39.76
2005-04-04,6.08,,5.38,4.81,23.4,33.6,,7.25,,20.57,27.79,20.05,87.5,69.91,20.0,,,6.25,24.3,,18.67,10.77,,,32.41,,11.08,3.0,,,,57.01,,,39.04
2005-04-05,5.9,,5.3,4.75,22.65,33.22,,6.6,,20.28,27.7,20.05,82.96,68.15,19.88,,,6.06,23.38,,18.86,10.3,,,31.87,,11.0,3.0,,,,54.98,,,38.11
2005-04-06,5.56,,5.1,4.64,22.4,32.85,,7.07,,20.32,27.1,20.01,81.93,66.27,19.58,,,6.0,22.43,,18.66,10.12,,,31.13,,10.82,2.6,,,,53.07,,,37.83
2005-04-07,5.66,,5.14,4.82,22.4,32.58,,7.55,,20.68,27.15,20.05,84.7,68.61,19.68,,,6.21,23.19,,19.0,10.41,,,31.47,,11.12,2.9,,,,55.48,,,38.28
2005-04-08,5.67,,5.14,4.81,22.85,32.13,,7.5,,20.61,26.91,20.05,85.91,69.19,19.42,,,6.29,23.8,,19.28,10.56,,,31.49,,11.17,2.8,,,,55.5,,,38.3
2005-04-11,5.69,,5.21,4.74,22.31,32.7,,7.5,,20.53,26.78,20.05,84.9,68.8,19.08,,,6.31,24.2,,19.5,10.75,,,31.02,,11.07,2.9,,,,57.53,,,37.98
2005-04-12,5.62,,5.24,4.86,23.0,33.36,,7.5,,20.8,26.84,,85.0,68.94,19.2,,,6.32,23.48,,19.25,10.86,,,31.12,,10.97,2.8,,,,59.9,,,37.95
2005-04-13,5.53,,5.21,4.83,22.8,33.88,,7.5,,20.61,26.5,,83.89,69.34,19.18,,,6.11,23.25,,19.22,10.95,,,30.82,,11.0,2.8,,,,56.99,,,37.95
2005-04-14,5.25,,5.15,4.72,22.46,33.24,,7.34,,20.11,26.15,20.05,82.0,69.58,19.06,,,5.76,22.55,,19.15,10.85,,,30.12,,10.94,3.0,,,,54.41,,,38.07
2005-04-15,5.05,,5.0,4.63,22.15,32.13,,7.05,,19.61,26.0,20.05,80.15,65.68,18.82,,,5.57,22.55,,18.3,10.3,,,29.38,,10.92,,,,,52.0,,,37.92
2005-04-18,4.99,,5.0,4.5,21.0,32.1,,6.87,,19.6,26.52,20.05,77.44,64.64,19.0,,,5.48,22.5,,18.0,10.02,,,29.2,,10.44,,,,,51.81,,,37.98
2005-04-19,5.18,,5.09,4.62,22.2,32.7,,6.98,,19.82,26.47,20.05,78.6,65.69,19.37,,,5.85,22.5,,18.27,10.12,8.88,,30.68,,11.0,2.8,,,,53.85,,,38.56
