,BMV:ALFAA,BMV:ALPEKA,BMV:ALSEA,BMV:AMXL,BMV:AC,BMV:ASURB,BMV:GFREGIOO,BMV:BIMBOA,BMV:BOLSAA,BMV:CEMEXCPO,BMV:KOFL,BMV:LIVEPOLC-1,BMV:ELEKTRA,BMV:GFNORTEO,BMV:FEMSAUBD,BMV:LABB,BMV:GENTERA,BMV:GMEXICOB,BMV:GRUMAB,BMV:GAPB,BMV:GCARSOA1,BMV:GFINBURO,BMV:SANMEXB,BMV:LALAB,BMV:TLEVISACPO,BMV:IENOVA,BMV:KIMBERA,BMV:MEXCHEM,BMV:NEMAKA,BMV:OHLMEX,BMV:OMAB,BMV:PE&OLES,BMV:PINFRA,BMV:VOLARA,BMV:WALMEX
BMV:ALFAA,1.0,0.0493306978650451,-0.10082329193523652,0.1269595049754768,-0.3467348225254737,-0.5575966332181217,-0.5454473380441401,0.019413185290231498,-0.358884599783794,-0.7178998406431192,-0.21304926744385005,0.8192032707031276,-0.1663986657497454,-0.47503778223275217,-0.17406085909511534,-0.7716927648355394,-0.03776828695048275,-0.8039345638947775,-0.15654093004275013,-0.33085553568824466,-0.4412876009770256,0.38177568260962846,-0.25494532065217484,0.6101568897792349,0.22807290486489945,-0.643762002539687,0.1545856277937071,-0.646939023686986,0.7263351129432292,0.1072986487515207,-0.2321600184204636,-0.752803651449851,0.24491092758599559,0.05275134998478141,0.30310872590771576
BMV:ALPEKA,0.0493306978650451,1.0,0.7913658080488509,-0.8010805354363575,0.5945955278399694,0.444471212936238,0.6456686430890779,0.849602154230629,0.5054446476370896,-0.06183131453809862,0.7147616097359373,0.36696914370570016,-0.602359457589321,0.6168794251911895,0.7392646996469299,0.07787161274769015,0.808278640071141,-0.0375513750144029,0.6603101151468855,0.7154954184098454,0.4220756533040919,-0.5615131115532324,0.38652858464403655,0.5579893932124134,-0.2569941193849767,-0.20872979247165957,0.8143831052086845,-0.1662795469475483,0.169537399858204,-0.17567397590293043,0.8277826908771955,0.3769583865130317,0.7460569475238524,0.8514612343111311,0.5662949332100123
BMV:ALSEA,-0.10082329193523652,0.7913658080488509,1.0,-0.8405458535022589,0.8787494956466921,0.711744701820697,0.7165360081900954,0.8793105178010352,0.46899485674337754,-0.10607717797428928,0.7939998376746912,0.23156839000479015,-0.30600568599782096,0.7886603121744554,0.9067004810307115,0.11006447208132042,0.8167071284447891,0.015236128717349782,0.840137546595811,0.8949339881487547,0.6686831220494596,-0.6822548932406535,0.43078693023525394,0.6277112360712608,-0.44317143671251225,-0.1242985196772553,0.890158374234232,-0.07278651299943042,0.3032588013966495,-0.2594401109712041,0.8754541004093714,0.3752829282727759,0.8506462239475672,0.8976574376941778,0.7323377900201715
BMV:AMXL,0.1269595049754768,-0.8010805354363575,-0.8405458535022589,1.0,-0.672746123150701,-0.5379726020170907,-0.637424762720797,-0.8751366384487081,-0.2693183981699572,0.15720806058265027,-0.6238321158520382,-0.2527462071415766,0.5561671671506756,-0.6455337897682936,-0.8183356724225676,-0.13233019170189755,-0.7813942531741306,-0.0049802978183955664,-0.8012932058143784,-0.8100858199794757,-0.5340755141786272,0.7865836798713719,-0.29958513648355073,-0.5169460966230434,0.5187142893025701,0.19884519283873622,-0.7949483981498199,0.23669402498144285,-0.1949042480129809,0.3547217694516013,-0.770876627114036,-0.3954676108627385,-0.7376978599621609,-0.8723334884773973,-0.5982609951898152
BMV:AC,-0.3467348225254737,0.5945955278399694,0.8787494956466921,-0.672746123150701,1.0,0.833119619044292,0.7311729358347636,0.7502696043068585,0.6119690359632426,0.16758752537477725,0.8236133051566795,-0.10907014934769091,-0.015858512131269004,0.8687159311703112,0.8279869265828614,0.3732304302848696,0.6434182344706145,0.2776201044234508,0.7254137476960834,0.8841973892557285,0.7561720511573257,-0.5800473168039819,0.5836474261412743,0.37353450666861077,-0.4022122708262572,0.1136437513612692,0.7146701021262112,0.21138055406189427,0.027845820763458578,-0.08667923632284656,0.843905972732775,0.5903256090666501,0.7053724330321022,0.6703683045309983,0.5718613541935871
BMV:ASURB,-0.5575966332181217,0.444471212936238,0.711744701820697,-0.5379726020170907,0.833119619044292,1.0,0.8627984077193659,0.48448653625839294,0.6289691680678308,0.41885967672583196,0.5503008065975412,-0.26710936992755724,-0.06580605216778353,0.8430205677363103,0.7771117027266469,0.4821643240756664,0.43730312297730856,0.5884526726514172,0.7208621378659233,0.8986696572387654,0.8664729257077181,-0.7005155261795312,0.34967189824661565,0.09916877108218189,-0.4710153141012413,0.4409788360407894,0.5533006629965208,0.5371152816462975,-0.5025677074245233,-0.3001179137749384,0.7521801022341972,0.7092934170737745,0.41447001120879345,0.5258411039110586,0.4371030142814988
BMV:GFREGIOO,-0.5454473380441401,0.6456686430890779,0.7165360081900954,-0.637424762720797,0.7311729358347636,0.8627984077193659,1.0,0.5773018898776571,0.6816538547615227,0.508042222383647,0.6336863061360406,-0.19717988008949827,-0.3609048024938006,0.864415138880063,0.7615741184276071,0.5220609296634409,0.5889064545590346,0.5929741692541453,0.7060255250928189,0.8493704541825734,0.8210566289327028,-0.687395704566561,0.3744087292205896,0.08233079432332732,-0.3846272486265602,0.3841284844036279,0.5810707600933652,0.47082190276175684,-0.5574341861126563,-0.21841586997077225,0.8338699805008172,0.7817617702304278,0.4182058919587449,0.6425149468281187,0.31676084997983833
BMV:BIMBOA,0.019413185290231498,0.849602154230629,0.8793105178010352,-0.8751366384487081,0.7502696043068585,0.48448653625839294,0.5773018898776571,1.0,0.3915105160670407,-0.17275130233459932,0.7912247233529154,0.3018117107642555,-0.48602916961661397,0.656538335296857,0.8073440796597241,0.09175714784876032,0.807422977023955,-0.07454593295344186,0.7661141909534204,0.7595840254336027,0.503686814310226,-0.5708169304158995,0.4750609642497811,0.6315922931056321,-0.3561619425768742,-0.23887117638277885,0.8273769833819401,-0.2894553974181987,0.344384362612885,-0.13652884981251107,0.8188487745681012,0.37432105357176104,0.8497023476550793,0.8743886615574712,0.6483110596846529
BMV:BOLSAA,-0.358884599783794,0.5054446476370896,0.46899485674337754,-0.2693183981699572,0.6119690359632426,0.6289691680678308,0.6816538547615227,0.3915105160670407,1.0,0.5973963387109277,0.605985454579608,-0.18671364171425675,-0.00969328046569953,0.6935416218124127,0.5016309241941734,0.5201993562359337,0.3449918525883931,0.4746602834935183,0.29392015608574895,0.5610600545971614,0.5226097293530919,-0.17421655451914025,0.6014202534200762,0.01699189245672733,0.06929155255487125,0.3119705822560835,0.42583568917397285,0.5069267482234866,-0.3640555434667303,0.2762935183801453,0.7462717385659213,0.7159498955367065,0.3693232633409003,0.2598213392172129,0.22224394845911852
BMV:CEMEXCPO,-0.7178998406431192,-0.06183131453809862,-0.10607717797428928,0.15720806058265027,0.16758752537477725,0.41885967672583196,0.508042222383647,-0.17275130233459932,0.5973963387109277,1.0,0.1631618025924687,-0.7283398781799588,0.11939792430933245,0.40330578691180835,0.01372358350292362,0.7474159078564461,-0.1213261934617514,0.8934967381405733,-0.06654587433091728,0.13539148879113883,0.3751427029283336,0.002948910887221726,0.3295604626464236,-0.6786944799974055,0.07713859695868205,0.7429092944916549,-0.2678040157571745,0.8369474672888206,-0.7510402838824581,0.2754586485960011,0.1988633109422811,0.766253882895533,-0.3472081452922272,-0.23839478075509846,-0.43730039658068315
