Date,Open,High,Low,Close,Volume
2015-11-09,22.0,26.0,22.0,26.0,700
2015-11-10,26.2,27.71,26.2,27.71,1100
2015-11-16,26.8,26.8,26.8,26.8,300
2015-11-18,,,,26.8,0
2015-11-19,28.0,28.0,28.0,28.0,1000
2015-11-20,,,,28.0,0
2015-11-23,,,,28.0,0
2015-11-24,,,,28.0,0
2015-11-25,29.31,30.23,29.31,30.23,300
2015-12-01,29.5,34.06,29.5,33.2,24549
2015-12-02,33.33,35.53,33.33,35.21,35111
2015-12-03,36.51,36.51,33.87,33.91,9266
2015-12-04,33.9,34.49,33.9,33.99,7694
2015-12-07,33.74,34.75,33.74,34.48,20212
2015-12-08,34.43,35.21,33.0,33.01,9721
2015-12-09,32.26,32.42,32.0,32.1,12936
2015-12-10,31.87,31.87,31.0,31.21,15349
2015-12-11,29.75,30.91,29.75,30.08,30378
2015-12-14,30.0,30.49,28.05,28.27,74808
2015-12-15,29.01,29.9,29.0,29.0,23579
2015-12-16,29.06,30.28,29.06,30.05,15769
2015-12-17,31.2,31.41,30.48,30.76,33468
2015-12-18,30.78,31.03,30.38,30.57,44355
2015-12-21,30.61,31.72,30.56,31.08,12302
2015-12-22,31.1,31.85,31.0,31.26,12568
2015-12-23,30.58,31.09,30.22,30.4,8163
2015-12-24,29.9,30.71,29.9,30.56,3572
2015-12-28,30.34,30.96,30.11,30.24,5050
2015-12-29,30.11,30.76,30.11,30.5,5636
2015-12-30,30.46,31.19,29.47,30.5,16170
2015-12-31,30.01,30.94,29.49,30.5,17806
2016-01-04,29.99,30.0,29.11,29.46,10401
2016-01-05,30.24,30.39,29.7,30.1,36670
2016-01-06,29.82,30.21,29.22,30.01,8467
2016-01-07,29.58,30.12,29.3,29.73,30676
2016-01-08,29.82,30.4,29.11,29.69,28110
2016-01-11,29.83,29.83,29.1,29.37,12812
2016-01-12,29.43,30.06,29.43,29.88,13988
2016-01-13,29.85,30.35,28.1,28.75,18510
2016-01-14,28.75,29.78,28.75,29.03,12137
2016-01-15,28.33,28.82,27.5,28.1,27521
2016-01-19,28.14,28.96,27.04,27.29,15444
2016-01-20,26.7,27.3,26.06,26.47,31839
2016-01-21,26.43,27.55,26.43,27.12,10438
2016-01-22,27.65,27.86,26.3,26.98,25011
2016-01-25,26.51,26.72,26.51,26.55,8227
2016-01-26,25.76,27.06,25.52,26.53,19648
2016-01-27,26.31,26.62,25.87,26.02,11060
2016-01-28,26.31,26.71,25.98,26.58,3868
2016-01-29,26.45,27.67,26.45,27.08,19530
2016-02-01,27.79,27.88,26.29,26.4,10972
2016-02-02,26.34,26.34,25.99,26.05,13361
2016-02-03,26.33,26.35,25.52,25.84,25824
2016-02-04,25.79,26.46,25.25,25.59,8044
2016-02-05,25.3,25.99,25.3,25.3,18077
2016-02-08,25.4,26.4,25.4,25.89,54338
2016-02-09,25.74,26.66,24.83,25.5,31216
2016-02-10,25.48,26.0,24.67,25.5,38120
2016-02-11,25.08,27.32,25.08,26.88,13502
2016-02-12,27.03,27.34,26.2,27.0,62661
2016-02-16,27.0,27.45,26.08,27.15,53653
2016-02-17,27.16,28.9,27.16,28.2,23729
2016-02-18,28.59,29.09,28.1,28.23,15483
2016-02-19,28.33,28.43,27.1,28.03,24472
2016-02-22,28.17,29.46,27.76,28.01,15598
2016-02-23,28.11,28.74,27.99,27.99,23896
2016-02-24,28.0,28.25,27.65,27.85,9764
2016-02-25,28.03,28.04,27.49,27.62,13057
2016-02-26,27.75,28.42,27.35,27.58,9224
2016-02-29,28.0,28.63,27.33,27.33,12965
2016-03-01,27.43,28.8,27.43,27.69,20579
2016-03-02,28.0,28.0,27.51,27.58,9079
2016-03-03,27.9,28.25,27.61,27.86,11697
2016-03-04,27.9,28.25,27.54,27.77,10994
2016-03-07,28.12,28.43,27.79,27.89,23596
2016-03-08,27.86,28.19,27.5,27.62,8857
2016-03-09,27.69,27.95,27.15,27.23,14626
2016-03-10,28.0,28.0,27.25,27.36,12023
2016-03-11,27.63,28.39,27.36,28.28,13597
2016-03-14,27.82,28.75,27.82,28.52,22456
2016-03-15,28.4,28.48,27.76,27.94,14576
2016-03-16,27.96,28.06,27.45,27.82,8325
2016-03-17,27.96,28.3,27.9,27.91,9136
2016-03-18,28.18,28.36,28.08,28.17,24575
2016-03-21,28.18,28.33,27.98,28.17,6589
2016-03-22,27.76,28.13,27.76,28.11,3965
2016-03-23,27.99,28.2,27.52,27.61,10426
2016-03-24,28.14,28.17,27.62,27.64,5342
2016-03-28,27.7,28.05,27.7,27.89,6012
2016-03-29,27.77,28.0,27.53,27.89,56787
2016-03-30,28.22,28.5,27.98,28.24,19421
2016-03-31,28.02,28.42,28.02,28.02,18663
2016-04-01,27.75,28.3,27.58,28.24,16762
2016-04-04,28.6,28.97,28.25,28.52,25972
2016-04-05,28.65,28.65,28.1,28.5,15184
2016-04-06,28.6,29.1,28.5,28.51,7973
2016-04-07,28.22,29.02,28.22,28.69,12220
2016-04-08,28.84,28.84,28.51,28.75,14265
2016-04-11,29.0,30.15,29.0,29.99,70909
2016-04-12,30.01,30.7,30.01,30.22,36736
2016-04-13,30.5,30.74,30.27,30.72,38858
2016-04-14,30.64,30.73,30.22,30.33,21978
2016-04-15,30.31,30.69,30.29,30.5,19429
2016-04-18,30.47,30.88,30.23,30.42,22575
2016-04-19,30.41,30.56,30.02,30.19,24711
2016-04-20,30.04,30.8,29.82,30.53,63925
2016-04-21,30.54,30.54,29.98,30.34,14502
2016-04-22,30.3,30.39,30.13,30.34,19840
2016-04-25,30.5,30.5,30.0,30.26,15201
2016-04-26,30.33,30.63,30.18,30.6,13094
2016-04-27,30.14,30.4,30.0,30.04,20897
2016-04-28,30.04,30.19,30.0,30.0,16042
2016-04-29,30.12,30.71,30.0,30.47,17134
2016-05-02,30.77,30.77,30.03,30.3,19069
2016-05-03,30.19,30.67,30.19,30.22,16623
2016-05-04,30.19,30.77,30.19,30.49,11257
2016-05-05,30.42,30.5,30.19,30.42,14615
2016-05-06,30.4,30.59,30.22,30.29,13909
2016-05-09,30.25,30.49,30.2,30.26,14274
2016-05-10,30.41,30.7,30.19,30.45,26983
2016-05-11,30.31,30.46,30.22,30.23,16494
2016-05-12,30.23,30.59,30.23,30.3,53716
2016-05-13,30.89,30.89,30.19,30.31,25323
2016-05-16,30.42,30.88,30.37,30.46,15564
2016-05-17,30.65,30.65,30.04,30.18,41451
2016-05-18,30.05,30.24,29.7,30.17,11970
2016-05-19,30.07,30.07,29.66,29.89,20462
2016-05-20,29.86,30.23,29.86,30.11,10431
2016-05-23,30.0,30.22,29.85,29.99,7022
2016-05-24,30.0,30.45,29.93,30.13,20541
2016-05-25,30.03,30.35,30.01,30.06,21312
2016-05-26,30.06,30.28,29.96,29.96,12234
2016-05-27,29.96,30.24,29.95,29.99,32437
2016-05-31,29.9,30.4,29.9,29.95,16781
2016-06-01,29.81,30.09,29.81,29.89,12391
2016-06-02,29.82,29.95,29.22,29.73,14423
2016-06-03,29.68,29.81,29.32,29.56,30338
2016-06-06,29.66,30.02,29.57,29.71,29720
2016-06-07,29.76,30.22,29.76,30.06,19752
2016-06-08,29.97,30.33,29.83,30.22,23384
2016-06-09,30.18,30.2,29.69,29.69,26777
2016-06-10,29.55,30.04,29.4,29.41,22298
2016-06-13,29.34,29.53,28.22,28.5,39234
2016-06-14,28.54,29.24,28.39,29.01,32399
2016-06-15,29.07,29.51,28.55,28.97,30651
2016-06-16,28.84,29.44,28.71,28.88,35783
2016-06-17,28.97,29.78,28.97,29.4,40438
2016-06-20,29.59,30.0,29.24,29.43,39403
2016-06-21,29.52,29.52,29.01,29.36,32801
2016-06-22,29.36,29.6,29.29,29.4,15338
2016-06-23,29.44,29.89,29.37,29.78,22444
2016-06-24,29.11,29.49,28.5,29.49,292584
2016-06-27,29.18,29.18,28.07,28.25,44590
2016-06-28,28.4,28.4,27.94,28.06,27716
2016-06-29,28.2,28.67,27.84,28.2,17451
2016-06-30,28.27,28.88,28.1,28.68,24257
2016-07-01,28.6,29.5,28.51,29.31,14055
2016-07-05,29.11,29.7,29.0,29.26,24370
2016-07-06,29.16,29.43,29.0,29.07,18820
2016-07-07,29.09,29.15,28.51,28.97,29127
2016-07-08,28.99,29.46,28.93,29.26,37914
2016-07-11,29.61,29.95,29.42,29.93,32760
2016-07-12,30.1,30.79,29.9,30.57,28787
2016-07-13,30.61,30.91,30.29,30.49,28302
2016-07-14,30.69,30.69,30.11,30.47,18259
2016-07-15,30.58,30.76,30.24,30.28,17793
2016-07-18,29.42,30.35,29.42,30.23,19663
2016-07-19,30.26,30.63,29.89,30.35,22394
2016-07-20,30.54,31.1,30.24,30.4,15201
2016-07-21,30.46,30.81,29.96,29.98,15245
2016-07-22,30.1,30.1,29.85,30.0,8130
2016-07-25,29.9,29.97,29.31,29.35,13758
2016-07-26,29.48,29.66,29.33,29.49,8246
2016-07-27,29.55,29.96,29.35,29.6,21564
2016-07-28,29.67,29.99,29.54,29.86,8531
2016-07-29,29.72,29.94,29.66,29.89,17470
2016-08-01,29.81,29.92,29.7,29.8,9731
2016-08-02,29.73,29.89,29.65,29.69,8092
2016-08-03,29.62,29.68,29.39,29.45,4829
2016-08-04,29.41,30.01,29.41,29.81,40136
2016-08-05,29.88,31.19,29.79,31.12,18786
2016-08-08,31.08,31.51,30.98,31.06,14288
2016-08-09,31.02,31.02,30.33,30.43,11688
2016-08-10,30.36,30.66,30.01,30.46,8083
2016-08-11,30.44,30.59,29.8,30.26,9619
2016-08-12,30.35,30.83,30.35,30.6,10060
2016-08-15,30.7,31.5,30.7,31.29,11088
2016-08-16,31.12,31.65,31.12,31.62,16058
2016-08-17,31.64,31.78,31.35,31.72,8565
2016-08-18,31.63,31.83,31.32,31.5,12818
2016-08-19,31.47,31.86,31.34,31.47,33237
2016-08-22,31.38,31.92,31.38,31.82,11251
2016-08-23,31.91,32.2,31.65,31.79,9477
2016-08-24,32.0,32.0,31.5,31.58,37767
2016-08-25,31.7,31.9,31.52,31.59,10263
2016-08-26,31.78,32.0,31.52,32.0,11567
2016-08-29,32.0,32.98,32.0,32.58,9619
2016-08-30,32.64,32.87,32.5,32.8,12677
2016-08-31,32.69,33.08,32.51,32.9,16799
2016-09-01,33.07,33.23,33.05,33.05,11719
2016-09-02,33.28,34.16,32.82,34.16,10440
2016-09-06,34.05,34.1,33.91,34.03,12687
2016-09-07,34.05,34.06,33.35,33.51,24418
2016-09-08,33.43,33.58,33.3,33.46,10753
2016-09-09,33.28,33.5,32.95,33.0,21796
2016-09-12,33.02,33.38,32.78,33.14,23971
2016-09-13,32.89,33.38,32.69,32.95,22164
2016-09-14,32.86,33.48,32.86,33.14,14789
2016-09-15,33.15,33.56,33.15,33.35,7777
2016-09-16,33.43,33.49,32.44,33.08,58744
2016-09-19,33.04,33.5,32.83,33.44,10065
2016-09-20,33.33,33.95,33.12,33.84,19358
2016-09-21,33.98,34.2,33.92,34.1,15374
2016-09-22,34.24,34.68,34.24,34.68,16982
2016-09-23,34.49,35.12,34.49,34.61,14029
2016-09-26,34.55,34.79,34.17,34.41,10071
2016-09-27,34.35,34.99,33.97,34.66,6956
2016-09-28,34.83,35.26,34.55,34.97,15934
2016-09-29,34.88,35.26,34.64,34.79,16103
2016-09-30,34.84,35.52,34.46,35.46,32977
2016-10-03,35.46,35.85,35.22,35.49,12257
2016-10-04,35.65,35.96,34.8,34.95,24710
2016-10-05,35.0,35.2,34.82,35.05,31596
2016-10-06,34.98,35.27,34.89,35.14,13315
2016-10-07,35.0,35.21,34.6,34.93,14904
2016-10-10,34.94,35.25,34.5,34.92,13601
2016-10-11,34.71,34.71,33.96,34.11,28089
2016-10-12,34.25,34.64,34.09,34.4,34283
2016-10-13,34.25,34.82,34.22,34.39,16908
2016-10-14,34.58,35.37,34.58,34.88,12809
2016-10-17,34.8,35.1,34.65,34.95,9988
2016-10-18,35.25,35.95,35.0,35.4,12594
2016-10-19,35.6,35.75,35.25,35.45,22293
2016-10-20,35.5,35.58,35.0,35.0,34747
2016-10-21,34.75,34.75,34.4,34.55,6633
2016-10-24,34.65,34.95,34.35,34.55,3589
2016-10-25,34.6,34.95,34.2,34.2,7299
2016-10-26,34.2,34.4,34.05,34.15,7361
2016-10-27,34.25,34.45,33.85,33.95,45976
2016-10-28,33.65,33.85,33.65,33.85,2316
2016-10-31,33.85,34.1,33.8,33.95,24356
2016-11-01,34.0,34.75,33.25,33.25,11777
2016-11-02,33.45,33.45,33.0,33.2,8831
2016-11-03,33.1,33.55,33.1,33.3,12220
2016-11-04,33.3,33.6,32.8,33.1,25572
2016-11-07,33.45,34.3,33.2,33.85,16026
2016-11-08,33.85,34.35,33.35,33.4,20281
2016-11-09,33.8,34.38,33.55,34.1,28607
2016-11-10,34.25,34.3,33.5,34.0,45245
2016-11-11,34.0,34.32,34.0,34.25,45891
2016-11-14,34.4,34.95,34.35,34.7,34006
2016-11-15,34.6,34.65,34.3,34.35,22794
2016-11-16,33.95,34.6,33.9,34.25,29209
2016-11-17,34.25,34.7,33.82,34.25,50966
2016-11-18,34.1,34.25,33.5,34.0,46137
2016-11-21,34.0,34.4,33.85,34.05,47187
2016-11-22,33.9,34.05,33.8,34.05,38005
2016-11-23,34.1,34.1,33.6,33.9,36436
2016-11-25,33.95,34.25,33.9,33.95,11716
2016-11-28,33.85,34.05,33.7,33.85,21619
2016-11-29,34.15,34.15,33.5,33.6,29361
2016-11-30,33.65,33.95,33.65,33.85,21891
2016-12-01,33.85,34.0,33.55,33.75,23682
2016-12-02,33.85,34.0,33.2,33.65,18573
2016-12-05,33.6,34.2,33.6,33.75,36743
2016-12-06,33.9,34.25,33.65,34.0,41601
2016-12-07,33.95,34.7,33.9,34.55,48838
2016-12-08,34.5,35.75,34.2,34.55,50640
2016-12-09,34.6,34.6,33.9,34.0,27677
2016-12-12,34.0,34.1,33.85,33.95,17146
2016-12-13,34.05,34.5,33.85,33.95,31596
2016-12-14,34.2,34.2,33.65,33.7,14639
2016-12-15,33.75,34.15,33.75,33.8,27365
