Date,Open,High,Low,Close,Volume
2015-01-02,93.4,93.4,91.51,91.93,492376
2015-01-05,91.52,93.39,89.0,90.22,1268791
2015-01-06,90.3,90.99,89.9,90.2,1048144
2015-01-07,90.4,91.58,90.11,90.6,1140671
2015-01-08,90.49,91.5,90.47,91.48,1367197
2015-01-09,90.92,92.0,90.5,91.53,761742
2015-01-12,91.84,92.0,91.52,91.9,1139042
2015-01-13,90.56,92.99,90.56,92.4,1068872
2015-01-14,92.25,92.51,91.01,92.39,1489356
2015-01-15,92.23,92.23,88.6,88.99,1567892
2015-01-16,89.12,90.49,86.77,89.61,388812
2015-01-19,89.42,90.29,88.84,89.4,196440
2015-01-20,87.6,90.35,87.6,89.29,726997
2015-01-21,88.51,90.31,88.5,89.24,1518709
2015-01-22,89.99,91.21,89.8,90.15,869896
2015-01-23,90.02,91.48,89.0,89.4,846318
2015-01-26,88.94,91.2,88.93,90.7,1112777
2015-01-27,90.37,91.48,88.9,91.42,1613258
2015-01-28,90.99,91.5,90.14,90.49,403731
2015-01-29,91.45,91.45,88.52,89.22,1208685
2015-01-30,88.95,90.09,87.44,88.9,1087812
2015-02-03,88.9,89.4,88.21,88.96,1096071
2015-02-04,88.47,91.13,88.47,89.09,959622
2015-02-05,88.91,90.89,88.61,90.69,853022
2015-02-06,90.31,92.51,88.52,92.02,971569
2015-02-09,89.0,92.7,89.0,92.4,560805
2015-02-10,92.25,92.48,90.03,91.72,945947
2015-02-11,90.06,92.0,89.7,90.45,869549
2015-02-12,91.69,92.4,90.84,91.84,865858
2015-02-13,92.37,93.0,91.52,92.87,591564
2015-02-16,92.95,92.95,91.41,92.19,193622
2015-02-17,92.94,92.94,91.9,92.7,199730
2015-02-18,92.9,95.5,92.61,93.0,1601359
2015-02-19,93.0,93.38,92.81,93.32,737829
2015-02-20,93.66,93.69,93.09,93.26,691734
2015-02-23,93.46,94.3,92.43,92.51,745290
2015-02-24,92.59,93.97,90.47,91.49,830048
2015-02-25,92.9,92.98,90.81,92.66,1666403
2015-02-26,92.57,93.8,92.4,93.8,1143240
2015-02-27,93.14,95.0,93.14,94.89,1496512
2015-03-02,94.76,94.76,92.61,92.9,2493667
2015-03-03,93.03,94.73,92.4,92.79,1258116
2015-03-04,92.79,92.9,91.39,91.84,721910
2015-03-05,92.0,93.66,91.73,91.75,1653855
2015-03-06,91.35,92.1,91.13,91.14,700459
2015-03-09,91.65,92.98,91.52,92.67,692193
2015-03-10,91.99,93.38,91.23,92.25,993234
2015-03-11,92.5,93.26,91.01,91.72,778563
2015-03-12,91.46,93.27,91.26,92.16,1521518
2015-03-13,92.39,92.8,91.01,91.28,712182
2015-03-17,91.37,92.25,91.02,91.69,1179956
2015-03-18,91.49,91.89,91.01,91.87,782840
2015-03-19,91.43,92.38,91.06,91.9,924525
2015-03-20,91.3,93.3,91.3,91.89,1143715
2015-03-23,91.5,91.98,90.36,91.39,1009075
2015-03-24,91.33,93.75,91.33,93.39,1365943
2015-03-25,93.72,93.8,91.97,92.92,1076574
2015-03-26,91.5,93.31,90.51,92.82,1079975
2015-03-27,91.31,94.09,91.31,93.2,1478573
2015-03-30,92.73,93.08,92.0,93.08,880220
2015-03-31,93.11,94.46,92.41,93.8,1246391
2015-04-01,94.0,94.5,92.35,93.19,1283510
2015-04-06,93.01,95.0,93.01,94.75,1527505
2015-04-07,94.75,98.81,93.46,97.6,2819634
2015-04-08,96.4,98.99,95.31,96.8,1780461
2015-04-09,97.27,98.39,97.15,97.99,600293
2015-04-10,98.0,98.38,97.11,98.3,836881
2015-04-13,98.3,98.3,96.1,96.75,702879
2015-04-14,96.96,97.69,96.01,96.76,640197
2015-04-15,96.9,98.15,96.78,97.82,1566327
2015-04-16,97.77,98.17,97.03,97.88,1000660
2015-04-17,98.4,98.4,96.65,97.49,864575
2015-04-20,97.71,98.01,96.52,96.95,1745477
2015-04-21,98.0,98.0,96.46,96.7,1082447
2015-04-22,96.2,96.9,95.56,96.26,894025
2015-04-23,97.5,97.81,96.09,96.61,740343
2015-04-24,96.61,96.99,95.55,96.11,814614
2015-04-27,96.99,97.0,95.63,95.76,984383
2015-04-28,96.0,96.99,95.8,96.32,1476916
2015-04-29,96.44,96.59,94.22,94.6,867989
2015-04-30,95.0,95.0,94.1,94.11,1136141
2015-05-04,94.7,97.8,94.15,97.15,1168186
2015-05-05,97.45,98.86,96.57,97.0,969201
2015-05-06,97.5,98.02,96.51,97.37,1395359
2015-05-07,97.45,98.5,96.31,97.01,779060
2015-05-08,98.14,98.14,95.63,96.27,1224009
2015-05-11,96.6,97.2,96.15,96.5,986694
2015-05-12,96.7,97.98,95.95,97.25,948606
2015-05-13,97.1,98.09,97.1,97.39,1128280
2015-05-14,97.47,98.0,97.15,97.85,946262
2015-05-15,97.85,98.48,97.32,98.15,578626
2015-05-18,98.06,98.49,97.4,98.09,572276
2015-05-19,98.09,98.5,97.61,98.5,1266826
2015-05-20,98.44,98.65,97.68,97.86,1902793
2015-05-21,97.65,98.37,96.02,96.48,1146006
2015-05-22,96.4,97.5,95.9,96.47,584146
2015-05-25,96.34,96.37,95.51,96.3,276382
2015-05-26,96.52,96.52,91.74,93.0,1072653
2015-05-27,92.84,95.69,92.84,95.3,1050940
2015-05-28,94.01,95.53,94.01,94.75,440139
2015-05-29,94.76,94.96,93.0,93.27,2449129
2015-06-01,93.5,93.51,92.73,93.23,733804
2015-06-02,93.7,93.7,92.01,92.61,1555508
2015-06-03,92.9,93.0,91.75,92.31,827938
2015-06-04,92.43,95.0,92.12,93.6,804167
2015-06-05,94.0,94.0,92.4,92.76,399039
2015-06-08,92.46,93.43,92.4,93.24,514401
2015-06-09,93.44,94.48,92.51,92.65,1278781
2015-06-10,92.82,94.94,92.65,94.2,2160751
2015-06-11,94.7,94.7,92.92,93.26,1066898
2015-06-12,93.99,94.5,92.5,93.06,660314
2015-06-15,93.07,93.07,91.85,91.88,599379
2015-06-16,91.7,93.81,91.7,93.47,1139996
2015-06-17,93.27,93.27,91.9,92.04,1110211
2015-06-18,92.16,93.39,91.52,92.28,1208767
2015-06-19,92.53,92.53,91.41,91.9,1238030
2015-06-22,91.66,92.32,91.0,91.18,1040889
2015-06-23,91.9,92.24,91.16,91.89,931336
2015-06-24,91.8,92.2,91.3,91.91,1031769
2015-06-25,91.62,92.26,91.62,92.01,1123927
2015-06-26,92.0,92.4,91.76,92.0,2150090
2015-06-29,91.99,91.99,90.06,90.5,809886
2015-06-30,90.25,91.4,88.82,89.26,2035798
2015-07-01,90.0,90.74,89.42,90.28,1197739
2015-07-02,90.79,90.92,89.9,90.47,3720100
2015-07-03,90.0,91.69,89.31,91.22,818747
2015-07-06,91.3,91.3,90.01,90.57,712436
2015-07-07,90.51,91.62,89.88,90.55,1175961
2015-07-08,90.3,90.69,89.31,90.49,867224
2015-07-09,90.18,91.0,90.18,90.65,1565727
2015-07-10,90.7,90.8,89.5,90.1,1265795
2015-07-13,91.3,91.3,90.5,90.7,1312455
2015-07-14,90.8,93.31,90.8,93.1,1365927
2015-07-15,93.51,94.49,92.6,93.39,2027063
2015-07-16,94.35,94.35,93.43,94.2,990935
2015-07-17,94.35,94.35,93.53,94.05,273740
2015-07-20,94.05,96.0,93.9,95.81,862917
2015-07-21,95.94,98.38,95.04,98.0,1493024
2015-07-22,97.9,98.06,96.53,97.46,1221735
2015-07-23,97.37,97.44,96.51,96.88,1533902
2015-07-24,96.99,96.99,94.6,95.0,707851
2015-07-27,95.14,95.59,93.95,94.02,497827
2015-07-28,96.9,96.9,93.37,93.64,661152
2015-07-29,94.7,96.7,94.26,95.98,948890
2015-07-30,96.04,96.21,94.8,95.1,363238
2015-07-31,95.61,97.1,95.61,96.77,1917308
2015-08-03,96.48,97.16,95.26,95.89,584281
2015-08-04,94.95,97.89,94.95,97.87,866904
2015-08-05,97.66,97.98,96.58,97.81,1610757
2015-08-06,97.7,97.7,94.51,95.02,656688
2015-08-07,95.5,96.62,94.81,95.01,366261
2015-08-10,95.1,96.29,94.95,96.1,477632
2015-08-11,94.99,96.59,94.4,96.38,726906
2015-08-12,94.51,95.45,94.0,94.45,992371
2015-08-13,94.58,95.85,91.71,92.3,1471695
2015-08-14,92.3,93.99,92.2,92.91,579997
2015-08-17,93.04,94.95,92.86,94.93,2296011
2015-08-18,95.88,96.9,94.01,96.28,651985
2015-08-19,95.94,96.01,94.03,94.24,764041
2015-08-20,94.24,94.99,92.49,92.94,594882
2015-08-21,94.27,94.27,91.49,91.52,675683
2015-08-24,91.3,91.3,84.05,89.49,1498358
2015-08-25,90.01,92.49,90.01,90.25,2992894
2015-08-26,92.32,92.49,90.0,91.18,1628874
2015-08-27,91.6,95.18,91.6,94.1,2655516
2015-08-28,94.5,94.5,91.88,93.98,1074175
2015-08-31,93.72,96.71,92.53,96.68,1668685
2015-09-01,95.25,96.39,93.02,95.73,1289985
2015-09-02,95.98,96.9,94.73,95.94,1143910
2015-09-03,95.86,97.63,95.02,96.5,879069
2015-09-04,96.17,96.55,94.8,95.34,573249
2015-09-07,94.1,96.0,94.1,95.6,116997
2015-09-08,95.06,96.2,95.02,95.2,651805
2015-09-09,96.5,96.5,94.11,94.7,638434
2015-09-10,94.75,97.0,94.16,96.99,1343926
2015-09-11,97.0,97.5,94.07,94.16,1487526
2015-09-14,94.65,95.2,93.34,94.83,759724
2015-09-15,94.98,95.0,93.17,93.34,1464274
2015-09-17,94.7,95.45,93.0,94.33,1465013
2015-09-18,94.18,95.0,93.25,94.67,947347
2015-09-21,94.86,95.67,94.77,94.94,551458
2015-09-22,96.0,96.0,93.01,94.56,524304
2015-09-23,94.0,95.36,93.99,95.12,574202
2015-09-24,93.12,95.49,93.12,94.74,505671
2015-09-25,94.71,95.25,93.09,93.21,593640
2015-09-28,93.0,94.96,92.0,92.77,2178067
2015-09-29,92.0,94.49,92.0,93.52,770690
2015-09-30,93.5,95.5,93.5,95.2,1405267
2015-10-01,93.75,95.99,93.75,95.27,1764939
2015-10-02,95.55,95.55,93.31,94.5,690097
2015-10-05,95.97,96.48,94.7,95.4,1024311
2015-10-06,94.75,96.28,94.6,95.15,1038131
2015-10-07,95.46,96.45,94.52,95.99,1045543
2015-10-08,95.56,96.6,95.1,96.22,1718667
2015-10-09,96.3,97.2,96.27,97.18,1474245
2015-10-12,97.2,98.37,93.3,98.36,866669
2015-10-13,98.15,98.37,97.1,97.48,1021835
2015-10-14,93.53,98.0,93.53,96.99,679978
2015-10-15,96.99,101.0,96.99,100.12,2301923
2015-10-16,100.1,101.99,100.0,101.1,1206673
2015-10-19,101.34,102.0,99.0,101.74,936668
2015-10-20,101.11,102.78,99.59,102.78,985677
2015-10-21,103.52,103.52,100.5,101.75,2074421
2015-10-22,101.8,102.8,100.3,100.65,1265472
2015-10-23,102.45,103.99,101.35,101.98,1056453
2015-10-26,102.0,107.89,102.0,105.51,1807096
2015-10-27,105.21,107.18,104.01,106.0,1349988
2015-10-28,106.37,106.7,102.21,103.5,1237447
2015-10-29,105.9,105.99,101.21,102.15,636408
2015-10-30,102.14,106.0,102.14,105.51,2064131
2015-11-03,105.75,109.01,103.36,104.58,1757473
2015-11-04,104.01,106.0,103.36,105.05,1580158
2015-11-05,105.21,106.48,104.11,105.0,1788742
2015-11-06,105.02,105.98,103.73,104.32,728717
2015-11-09,106.0,106.05,101.51,102.78,2119136
2015-11-10,100.42,104.43,100.41,101.82,1199985
