Date,Open,High,Low,Close,Volume
2015-01-02,33.19,33.51,31.7,32.14,4828592
2015-01-05,32.02,32.02,29.74,30.25,14089185
2015-01-06,30.29,31.0,30.01,30.88,16824039
2015-01-07,31.05,32.05,30.98,31.33,9558430
2015-01-08,31.62,32.99,31.62,32.48,9633664
2015-01-09,32.49,32.49,31.45,31.99,7849384
2015-01-12,32.19,32.3,31.2,31.22,5155559
2015-01-13,31.33,31.98,30.02,30.13,7542858
2015-01-14,29.95,30.59,29.02,30.47,11826590
2015-01-15,30.78,30.85,30.3,30.58,10202245
2015-01-16,30.41,30.81,29.5,29.95,11490974
2015-01-19,30.3,30.3,29.3,29.4,1976437
2015-01-20,29.5,30.0,29.01,29.6,11544763
2015-01-21,29.58,30.08,29.35,30.06,12511289
2015-01-22,30.11,30.56,30.11,30.21,9464313
2015-01-23,30.23,30.45,29.63,29.83,4292296
2015-01-26,29.86,30.52,29.51,30.41,4495830
2015-01-27,30.04,30.42,29.51,30.16,4777178
2015-01-28,30.37,30.37,29.3,29.35,7701367
2015-01-29,29.35,29.77,28.22,28.52,10478588
2015-01-30,28.4,28.42,27.3,27.36,11191989
2015-02-03,27.81,29.54,27.81,29.53,11902162
2015-02-04,29.24,29.24,28.42,28.67,4376707
2015-02-05,29.0,29.28,28.3,28.85,8205362
2015-02-06,29.25,29.34,28.7,29.1,8494678
2015-02-09,29.02,29.84,29.01,29.66,8590894
2015-02-10,29.72,29.97,28.6,28.99,10263656
2015-02-11,28.99,28.99,27.85,28.0,8744126
2015-02-12,28.44,28.77,28.11,28.39,10400956
2015-02-13,28.5,28.71,28.1,28.21,6293777
2015-02-16,28.45,28.71,28.13,28.2,2391875
2015-02-17,28.67,28.67,27.28,27.4,13631624
2015-02-18,27.58,28.1,27.4,27.83,13740880
2015-02-19,27.75,27.75,27.2,27.3,18962739
2015-02-20,27.38,28.69,27.1,28.62,20418973
2015-02-23,28.61,29.16,28.0,29.15,18792752
2015-02-24,29.21,30.79,29.21,30.7,33327908
2015-02-25,30.6,31.8,30.6,31.5,15081270
2015-02-26,31.56,32.74,30.81,32.45,15829849
2015-02-27,32.36,32.75,31.91,32.35,10848024
2015-03-02,32.38,32.57,31.5,31.81,9121816
2015-03-03,31.5,32.1,31.0,31.53,10886653
2015-03-04,31.1,31.59,31.0,31.34,7561003
2015-03-05,31.47,32.0,31.1,31.62,14127490
2015-03-06,31.3,31.3,30.5,30.86,7344676
2015-03-09,30.95,30.97,30.5,30.7,6578757
2015-03-10,30.66,30.66,29.72,29.96,10658896
2015-03-11,30.24,30.65,29.61,30.44,11540806
2015-03-12,30.6,31.8,30.3,31.6,7834126
2015-03-13,31.68,31.82,31.0,31.4,8284620
2015-03-17,31.48,31.48,30.65,30.8,5918040
2015-03-18,30.25,31.9,30.15,31.86,9822605
