Date,Open,High,Low,Close,Volume
2015-01-02,18.8,19.08,18.4,18.5,759812
2015-01-05,18.6,18.6,17.32,17.46,1321859
2015-01-06,17.5,17.73,17.04,17.25,1203372
2015-01-07,17.46,17.59,17.12,17.33,4665869
2015-01-08,17.5,17.68,17.32,17.51,3687790
2015-01-09,17.6,17.79,17.5,17.66,2382430
2015-01-12,17.72,17.72,17.2,17.4,896671
2015-01-13,17.4,17.68,16.22,16.73,2487406
2015-01-14,16.58,16.8,16.16,16.19,2033212
2015-01-15,16.27,16.5,15.5,15.65,1026881
2015-01-16,15.5,16.24,15.5,15.94,695130
2015-01-19,15.93,16.05,15.73,15.84,236916
2015-01-20,15.75,15.83,15.4,15.6,2022826
2015-01-21,15.6,16.48,15.59,16.4,2998911
2015-01-22,16.53,16.98,16.53,16.87,1817985
2015-01-23,16.82,17.21,16.82,16.98,1873981
2015-01-26,17.0,17.18,16.73,17.0,923898
2015-01-27,16.99,17.02,16.75,17.02,504110
2015-01-28,17.01,17.08,16.7,16.99,1140203
2015-01-29,16.87,17.1,16.86,17.01,2198228
2015-01-30,17.0,17.09,16.6,16.7,549706
2015-02-03,16.79,17.2,16.57,16.86,2456299
2015-02-04,16.75,16.75,15.91,15.95,1387413
2015-02-05,16.11,16.49,16.01,16.11,1166220
2015-02-09,16.57,16.73,16.2,16.49,1089782
2015-02-10,16.43,16.55,16.11,16.15,476015
2015-02-11,16.15,16.25,15.7,15.94,1028516
2015-02-12,15.94,16.06,15.57,15.7,1030609
2015-02-13,15.76,16.27,15.51,16.04,1950794
2015-02-16,15.97,16.23,15.97,16.11,167733
2015-02-17,16.0,16.45,15.62,16.37,2977657
2015-02-18,16.3,16.3,16.1,16.23,1107879
2015-02-19,16.01,16.3,15.97,16.1,1497380
2015-02-20,16.01,16.5,16.01,16.35,1090962
2015-02-23,16.39,16.54,16.16,16.52,1323700
2015-02-24,16.4,17.98,16.14,17.52,4911985
2015-02-25,17.7,18.0,17.25,17.4,1929259
2015-02-26,17.35,17.8,17.35,17.76,2505259
2015-02-27,17.58,18.03,17.44,18.03,2055541
2015-03-02,17.85,18.05,16.74,17.2,1042936
2015-03-03,17.25,17.81,17.04,17.31,504719
2015-03-04,17.2,17.43,17.08,17.25,459934
2015-03-05,17.3,17.99,17.11,17.9,1304292
2015-03-06,17.8,18.04,17.44,17.7,488757
2015-03-09,17.82,18.02,17.67,17.92,232657
2015-03-10,17.85,17.9,17.26,17.75,2751034
2015-03-11,17.75,18.92,17.71,18.29,1761721
2015-03-12,18.25,18.9,18.25,18.78,2026886
2015-03-13,18.69,18.69,18.1,18.28,869749
2015-03-17,18.25,18.37,18.11,18.16,1593797
2015-03-18,18.04,18.48,17.54,18.43,959212
2015-03-19,18.43,18.43,17.8,18.16,646009
2015-03-20,18.1,18.64,17.89,18.3,1892143
2015-03-23,18.2,18.5,17.85,18.11,473176
2015-03-24,18.35,18.35,17.89,18.0,575875
2015-03-25,17.89,18.6,17.57,17.95,663501
2015-03-26,18.06,18.06,17.5,17.66,1338551
2015-03-27,17.51,17.8,17.02,17.4,1099923
2015-03-30,17.99,17.99,17.21,17.33,1106050
2015-03-31,17.07,17.31,17.07,17.08,776638
2015-04-01,17.0,17.38,16.81,17.31,382204
2015-04-06,17.4,17.76,17.22,17.32,1269184
2015-04-07,17.3,18.0,17.28,17.96,1548460
2015-04-08,17.9,18.35,17.81,18.1,1576039
2015-04-09,18.31,18.74,18.1,18.47,691612
2015-04-10,18.6,18.6,18.23,18.5,459762
2015-04-13,18.52,18.79,18.5,18.66,653920
2015-04-14,18.66,19.5,18.55,19.46,999913
2015-04-15,19.49,19.5,19.18,19.3,1161190
2015-04-16,19.22,19.89,19.22,19.7,1823532
2015-04-17,19.75,19.84,19.41,19.63,727393
2015-04-20,19.7,19.95,19.63,19.83,885843
2015-04-21,19.63,20.1,19.1,19.87,1484423
2015-04-22,19.9,20.39,19.65,20.0,2433248
2015-04-23,19.9,20.75,19.5,20.01,2038471
2015-04-24,20.3,21.21,20.3,21.15,4624317
2015-04-27,21.1,21.9,20.83,20.95,2015168
2015-04-28,20.9,21.2,20.55,20.74,2344373
2015-04-29,20.65,21.19,20.58,20.72,824271
2015-04-30,20.72,21.19,20.25,20.82,1560617
2015-05-04,20.68,22.0,20.68,21.3,1304893
2015-05-05,21.3,21.5,20.7,20.76,2048646
2015-05-06,20.83,21.16,20.65,20.85,4549062
2015-05-07,20.9,20.99,20.61,20.89,359602
2015-05-08,20.9,21.42,20.9,21.29,3755379
2015-05-11,21.3,21.4,20.8,20.8,413507
2015-05-12,20.7,20.95,20.55,20.8,811276
2015-05-13,20.95,21.3,20.95,21.23,499067
2015-05-14,21.25,22.2,21.2,21.9,1354298
2015-05-15,22.1,22.14,21.66,21.86,348405
2015-05-18,21.7,22.5,21.7,22.1,879838
2015-05-19,22.22,22.39,21.83,21.95,1162110
2015-05-20,22.0,22.09,21.85,21.96,317035
2015-05-21,21.88,22.1,21.75,21.98,2500190
2015-05-22,22.14,22.29,21.8,21.99,284736
2015-05-25,22.0,22.48,21.69,22.48,251929
2015-05-26,22.3,22.35,21.64,21.7,1082933
2015-05-27,21.77,22.19,21.72,22.1,1888805
2015-05-28,22.1,22.15,21.75,21.93,1504225
2015-05-29,22.0,22.1,21.18,21.61,844881
2015-06-01,21.49,22.07,21.49,21.83,1791998
2015-06-02,21.61,22.18,21.61,21.9,2024968
2015-06-03,21.99,22.1,21.63,21.82,1677152
2015-06-04,21.8,23.3,21.55,22.74,2050080
2015-06-05,22.76,23.27,22.56,23.16,2081750
2015-06-08,23.1,23.1,22.76,22.94,795022
2015-06-09,23.03,23.06,22.7,22.7,1026613
2015-06-10,22.71,22.9,22.26,22.28,2508110
2015-06-11,22.28,22.45,21.52,21.7,1644246
2015-06-12,21.7,21.7,20.96,21.21,2438844
2015-06-15,21.09,21.19,20.89,20.92,626039
2015-06-16,21.05,21.46,21.03,21.19,1517522
2015-06-17,21.4,21.47,21.09,21.19,376516
2015-06-18,21.3,21.3,20.91,21.15,1422409
2015-06-19,21.2,21.49,21.16,21.38,1884868
2015-06-22,21.49,21.89,21.46,21.89,1221596
2015-06-23,21.8,22.98,21.66,22.8,2102422
2015-06-24,22.8,22.8,22.39,22.57,2128096
2015-06-25,22.6,22.86,22.31,22.71,2191158
2015-06-26,22.6,23.19,22.34,23.0,1210404
2015-06-29,22.5,23.07,22.01,22.5,2305766
2015-06-30,22.52,23.01,22.4,22.95,2557714
2015-07-01,22.95,23.12,22.67,22.79,1794587
2015-07-02,22.91,23.0,22.6,22.66,1494207
2015-07-03,22.83,23.28,22.68,23.27,813111
2015-07-06,22.94,23.49,22.73,23.06,3453912
2015-07-07,22.77,23.3,22.74,22.96,1586160
2015-07-08,22.94,23.22,22.76,22.93,2285488
2015-07-09,23.1,23.4,22.74,22.9,1054515
2015-07-10,23.1,23.18,22.67,22.95,2010007
2015-07-13,22.9,23.17,22.52,22.59,2187346
2015-07-14,22.7,22.86,22.25,22.28,1228623
2015-07-15,22.5,22.5,21.99,22.35,1461603
2015-07-16,22.4,22.5,22.27,22.38,958015
2015-07-17,22.43,22.48,22.0,22.05,717529
2015-07-20,22.45,22.45,22.02,22.19,975123
2015-07-21,22.3,23.5,22.11,23.21,4436932
2015-07-22,24.31,25.0,23.5,23.62,6133942
2015-07-23,23.63,23.63,22.87,23.01,1402916
2015-07-24,23.16,23.4,22.4,22.86,2234482
2015-07-27,22.85,22.96,22.72,22.72,1333105
2015-07-28,23.0,23.3,22.68,23.17,1180401
2015-07-29,23.0,23.29,22.65,22.69,1911563
2015-07-30,22.83,22.83,21.67,22.0,1993020
2015-07-31,22.1,22.59,21.86,22.23,2504209
2015-08-03,22.02,22.99,22.02,22.6,1356872
