Date,Open,High,Low,Close,Volume
2015-01-02,40.35,41.2,39.42,40.0,1768517
2015-01-05,39.9,39.9,38.69,39.0,2773143
2015-01-06,39.02,40.09,39.02,39.64,9218609
2015-01-07,39.67,41.99,39.67,41.3,6830352
2015-01-08,41.28,42.1,41.24,41.74,869041
2015-01-09,41.73,41.73,40.54,41.14,1367447
2015-01-12,40.93,40.93,40.49,40.71,982110
2015-01-13,40.52,41.01,40.16,40.7,1470622
2015-01-14,40.71,40.71,39.52,39.55,1742292
2015-01-15,39.8,39.82,38.95,39.3,1727240
2015-01-16,39.05,39.61,38.83,39.11,1852185
2015-01-19,38.91,39.21,38.63,38.9,387243
2015-01-20,39.19,39.63,38.72,39.35,1708980
2015-01-21,39.6,39.94,39.4,39.5,2115491
2015-01-22,39.56,40.49,39.56,40.42,2490689
2015-01-23,40.1,41.4,40.1,41.0,2115631
2015-01-26,41.06,41.7,40.83,41.37,1134155
2015-01-27,41.36,41.69,40.8,41.44,917438
2015-01-28,41.3,41.5,40.99,41.2,3432854
2015-01-29,40.5,41.8,40.5,41.5,2156480
2015-01-30,41.5,41.5,39.92,40.09,905626
2015-02-03,40.2,40.76,39.9,40.21,1998393
2015-02-04,40.27,40.36,39.53,40.05,2430190
2015-02-05,40.5,40.5,40.0,40.36,1344086
2015-02-06,40.15,41.8,40.15,41.8,2813608
2015-02-09,41.45,41.45,40.56,41.08,718122
2015-02-10,41.02,42.5,41.02,41.6,1318100
2015-02-11,41.0,41.78,40.8,41.25,1545928
2015-02-12,40.95,42.0,40.95,41.7,681450
2015-02-13,41.58,41.84,41.02,41.7,651552
2015-02-16,41.5,41.74,41.5,41.56,219295
2015-02-17,41.56,41.7,41.0,41.65,1048140
2015-02-18,41.53,42.37,41.5,41.91,1310570
2015-02-19,41.51,42.98,41.51,42.7,1388131
2015-02-20,42.33,43.0,42.24,42.64,1161193
2015-02-23,42.51,43.6,42.51,43.5,2192338
2015-02-24,43.5,44.3,43.38,44.3,2306737
2015-02-25,44.0,44.45,43.4,43.7,2295740
2015-02-26,43.55,44.1,43.4,44.1,3367313
2015-02-27,44.6,46.0,44.1,46.0,8892906
2015-03-02,46.0,47.48,44.95,45.6,4738098
2015-03-03,45.5,45.6,45.1,45.24,1542567
2015-03-04,45.1,46.24,44.01,45.53,3358572
2015-03-05,45.75,47.3,45.72,46.85,10400200
2015-03-06,46.7,47.0,45.01,45.44,3483532
2015-03-09,45.35,46.41,45.35,46.34,3054736
