Date,Open,High,Low,Close,Volume
2015-01-02,16.3,16.44,16.04,16.17,26039321
2015-01-05,16.1,16.1,15.77,16.02,61661413
2015-01-06,15.98,16.02,15.72,15.95,71481841
2015-01-07,15.9,16.16,15.9,16.12,39299435
2015-01-08,16.22,16.49,16.15,16.45,51847154
2015-01-09,16.5,16.68,16.31,16.63,48820933
2015-01-12,16.55,16.66,16.4,16.51,55475345
2015-01-13,16.38,16.64,16.32,16.4,53221462
2015-01-14,16.2,16.58,16.18,16.44,63861103
2015-01-15,16.49,16.69,16.36,16.65,78628186
2015-01-16,16.52,16.66,16.35,16.63,52233111
2015-01-19,16.65,16.66,16.53,16.61,6030571
2015-01-20,16.59,16.99,16.43,16.88,59443114
2015-01-21,16.9,17.15,16.74,17.12,79129160
2015-01-22,17.11,17.35,16.94,17.3,66753350
2015-01-23,17.2,17.37,17.18,17.29,48557026
2015-01-26,17.16,17.21,16.64,16.86,75699286
2015-01-27,16.5,16.67,16.48,16.61,45943508
2015-01-28,16.64,16.69,16.33,16.38,54557736
2015-01-29,16.38,16.47,16.21,16.28,44695009
2015-01-30,16.29,16.31,16.0,16.06,69438783
2015-02-03,16.05,16.29,15.84,15.99,47722584
2015-02-04,16.1,16.18,15.89,16.03,39464839
2015-02-05,16.05,16.24,16.0,16.09,53538057
2015-02-06,16.25,16.29,16.11,16.15,41112790
2015-02-09,16.26,16.26,16.03,16.17,58742918
2015-02-10,16.2,16.36,16.08,16.1,67639679
2015-02-11,15.85,15.85,15.42,15.55,85198373
2015-02-12,15.48,16.27,15.48,16.24,60448369
2015-02-13,16.2,16.42,16.19,16.38,53714493
2015-02-16,16.29,16.45,16.26,16.39,7244870
2015-02-17,16.29,16.37,16.17,16.28,44999617
2015-02-18,16.22,16.39,16.22,16.38,73418118
2015-02-19,16.21,16.45,16.21,16.39,38921188
2015-02-20,16.21,16.39,16.19,16.38,37542105
2015-02-23,16.39,16.39,15.95,15.99,39775769
2015-02-24,16.0,16.16,15.86,15.96,73236534
2015-02-25,15.98,16.05,15.88,15.99,59926947
2015-02-26,15.95,16.24,15.88,16.22,46285779
2015-02-27,16.21,16.21,15.92,15.98,137145936
2015-03-02,15.93,16.03,15.61,15.81,69303707
2015-03-03,15.81,15.81,15.6,15.67,57865975
2015-03-04,15.7,15.7,15.44,15.6,39206394
2015-03-05,15.52,15.74,15.37,15.38,56646503
2015-03-06,15.42,15.52,15.26,15.39,40713422
2015-03-09,15.46,15.5,15.36,15.47,45139761
2015-03-10,15.45,15.47,15.23,15.3,38218423
2015-03-11,15.28,15.4,15.1,15.19,57385986
2015-03-12,15.17,15.29,15.09,15.22,40716321
2015-03-13,15.17,15.31,15.1,15.25,52644796
2015-03-17,15.15,15.38,15.14,15.16,43655119
2015-03-18,15.23,16.12,15.21,16.05,105614808
2015-03-19,16.1,16.1,15.58,15.72,64140169
2015-03-20,15.51,15.92,15.51,15.74,146096205
2015-03-23,15.84,15.84,15.56,15.68,33074290
2015-03-24,15.74,15.87,15.69,15.75,43144429
2015-03-25,15.71,15.89,15.59,15.59,38401468
2015-03-26,15.7,15.7,15.35,15.53,63546547
2015-03-27,15.6,15.68,15.41,15.62,66074505
2015-03-30,15.69,15.83,15.61,15.8,56540087
2015-03-31,15.67,15.85,15.58,15.61,61975771
2015-04-01,15.72,16.25,15.67,16.24,74888097
2015-04-06,16.02,16.54,15.86,16.23,46259135
2015-04-07,16.3,16.3,15.96,16.0,56286528
2015-04-08,16.1,16.13,15.75,15.79,63537105
2015-04-09,15.91,16.09,15.77,16.01,65733284
2015-04-10,15.87,16.27,15.87,16.16,57213030
2015-04-13,16.18,16.35,16.17,16.29,54828501
2015-04-14,16.31,16.43,16.05,16.32,66705829
2015-04-15,16.35,16.66,16.3,16.63,80376770
2015-04-16,16.5,16.99,16.49,16.88,71356852
2015-04-17,16.81,16.98,16.71,16.87,50667251
2015-04-20,16.9,16.98,16.78,16.95,47397894
2015-04-21,16.92,17.05,16.91,16.97,49871320
2015-04-22,16.97,17.01,16.85,16.92,69728008
2015-04-23,16.86,17.16,16.78,17.16,50158983
2015-04-24,16.94,17.01,16.66,16.98,60420938
2015-04-27,16.97,17.17,16.92,16.97,64796777
2015-04-28,16.9,16.98,16.53,16.67,72188190
2015-04-29,16.71,16.71,16.37,16.4,61118837
2015-04-30,16.46,16.46,16.03,16.08,115754281
2015-05-04,16.11,16.38,16.04,16.16,60004224
2015-05-05,16.16,16.32,15.91,15.92,108828941
2015-05-06,15.98,15.98,15.51,15.79,65988535
2015-05-07,15.83,15.98,15.64,15.85,59178749
2015-05-08,15.9,15.9,15.58,15.75,78836480
2015-05-11,15.75,15.82,15.6,15.72,44143376
2015-05-12,15.67,15.71,15.5,15.54,53549078
2015-05-13,15.57,15.67,15.41,15.5,52823794
2015-05-14,15.52,15.78,15.41,15.71,46670329
2015-05-15,15.77,15.85,15.58,15.8,38312259
2015-05-18,15.81,15.81,15.6,15.71,39501783
2015-05-19,15.7,15.73,15.57,15.63,55605352
2015-05-20,15.64,15.91,15.58,15.85,55930140
2015-05-21,15.88,15.88,15.68,15.71,38112572
2015-05-22,15.73,15.8,15.53,15.58,61918784
2015-05-25,15.65,15.85,15.64,15.75,7511025
2015-05-26,15.8,15.95,15.7,15.85,66422934
2015-05-27,15.76,16.15,15.76,16.04,55291813
2015-05-28,16.04,16.24,15.95,16.21,45545075
2015-05-29,16.09,16.33,16.08,16.18,195221726
2015-06-01,16.28,16.46,16.2,16.4,51161999
2015-06-02,16.3,16.62,16.29,16.4,70474338
2015-06-03,16.41,16.56,16.3,16.3,60254355
2015-06-04,16.33,16.34,15.99,16.1,56821496
2015-06-05,16.16,16.2,15.92,16.0,45050860
2015-06-08,15.92,16.01,15.9,15.94,32633239
2015-06-09,16.0,16.0,15.65,15.68,49169940
2015-06-10,15.77,15.94,15.71,15.9,62296991
2015-06-11,15.9,15.93,15.7,15.73,56418054
2015-06-12,15.73,15.97,15.57,15.8,57128917
2015-06-15,15.77,15.77,15.6,15.73,52005650
2015-06-16,15.6,15.87,15.6,15.79,57334840
2015-06-17,15.7,16.05,15.7,15.84,76163118
2015-06-18,15.92,16.33,15.83,16.28,53222883
2015-06-19,16.37,16.38,16.15,16.18,179317917
2015-06-22,16.3,16.45,16.15,16.43,45075016
2015-06-23,16.48,16.56,16.39,16.46,48827901
2015-06-24,16.5,16.58,16.3,16.56,55854294
2015-06-25,16.54,16.92,16.46,16.74,63255089
2015-06-26,16.62,16.94,16.62,16.69,59760374
2015-06-29,16.5,16.74,16.44,16.53,63620866
2015-06-30,16.6,16.81,16.45,16.8,91688213
2015-07-01,16.75,16.88,16.34,16.35,63365834
2015-07-02,16.48,16.8,16.31,16.55,82104367
2015-07-03,16.4,16.62,16.4,16.44,13041202
2015-07-06,16.39,16.55,16.3,16.32,57833867
2015-07-07,16.3,16.75,16.29,16.7,73064172
2015-07-08,16.67,16.72,16.23,16.32,87256049
2015-07-09,16.4,16.46,16.19,16.2,48192572
2015-07-10,16.35,16.35,16.21,16.29,49860068
2015-07-13,16.38,16.57,16.31,16.53,43283131
2015-07-14,16.4,16.63,16.32,16.51,40306660
2015-07-15,16.49,16.54,16.24,16.32,41262582
2015-07-16,16.38,16.47,16.29,16.43,48921284
2015-07-17,16.38,16.38,16.0,16.23,72914339
2015-07-20,16.29,16.43,16.08,16.38,34922023
2015-07-21,16.4,16.4,16.08,16.14,67533609
2015-07-22,16.12,16.13,15.8,15.86,85894102
2015-07-23,16.06,16.06,15.63,15.7,81457222
2015-07-24,15.79,15.79,15.42,15.46,84714788
2015-07-27,15.39,15.4,15.14,15.2,47478584
