Date,Open,High,Low,Close,Volume
2015-01-02,195.07,197.95,190.32,191.4,324351
2015-01-05,190.49,190.82,186.71,188.51,359054
2015-01-06,190.03,191.52,186.83,188.0,299719
2015-01-07,190.0,191.12,186.24,190.39,501475
2015-01-08,192.0,194.51,188.71,193.52,277762
2015-01-09,193.48,194.82,189.35,189.94,248021
2015-01-12,189.92,191.8,189.04,190.21,591440
2015-01-13,193.09,195.89,189.95,195.49,330818
2015-01-14,190.97,195.01,188.53,189.26,496331
2015-01-15,189.09,190.0,185.25,187.3,269189
2015-01-16,183.88,194.04,183.88,193.99,181198
2015-01-19,193.24,195.0,192.86,193.06,58488
2015-01-20,194.06,200.56,193.93,199.35,406053
2015-01-21,199.53,204.0,199.23,202.11,379078
2015-01-22,206.81,206.81,200.7,201.0,333698
2015-01-23,200.44,202.18,195.5,196.11,300015
2015-01-26,199.34,204.94,197.44,204.0,295332
2015-01-27,203.31,204.7,201.01,203.12,440993
2015-01-28,204.15,205.0,199.19,200.41,191382
2015-01-29,203.13,203.13,198.3,199.62,463307
2015-01-30,200.03,203.35,193.28,196.6,568201
2015-02-03,202.49,202.49,192.0,192.0,330279
2015-02-04,197.28,197.28,192.0,194.1,306224
2015-02-05,195.53,197.96,193.08,194.0,392601
2015-02-06,197.05,200.6,194.95,200.05,380569
2015-02-09,197.96,199.46,197.48,198.06,165335
2015-02-10,200.65,200.65,196.28,197.66,303939
2015-02-11,198.99,199.59,192.03,193.29,277817
2015-02-12,194.12,199.5,192.44,199.5,164817
2015-02-13,199.34,199.76,196.23,197.9,133122
2015-02-16,196.52,199.97,195.54,195.54,30183
2015-02-17,196.43,201.66,195.98,199.09,137714
2015-02-18,198.1,200.09,194.0,196.7,479372
2015-02-19,196.21,198.95,196.21,198.49,305141
2015-02-20,198.48,199.5,196.68,199.49,148791
2015-02-23,200.0,202.42,198.24,201.71,503351
2015-02-24,202.0,203.09,201.4,202.45,1227495
2015-02-25,202.55,203.0,201.38,202.36,471464
2015-02-26,202.18,203.5,202.0,203.28,204033
2015-02-27,203.34,205.75,202.72,205.23,374922
2015-03-02,204.0,206.0,202.41,205.2,476462
2015-03-03,205.99,205.99,202.37,203.75,245713
2015-03-04,202.44,205.19,200.87,202.49,509825
2015-03-05,202.49,205.0,199.1,199.59,1018211
2015-03-06,201.55,202.65,196.64,200.51,293767
2015-03-09,200.5,200.5,196.83,197.27,226416
2015-03-10,195.0,199.66,194.93,196.16,345144
2015-03-11,195.6,199.12,195.6,197.9,258092
2015-03-12,198.0,205.88,198.0,204.56,264341
2015-03-13,205.28,206.0,199.97,200.95,269978
2015-03-17,199.99,203.6,198.89,201.66,1365368
2015-03-18,199.99,207.28,197.97,204.86,516810
2015-03-19,204.42,209.0,203.0,203.63,417471
2015-03-20,202.89,208.82,201.74,207.97,741729
2015-03-23,208.87,209.0,203.71,205.18,428278
2015-03-24,203.31,208.98,203.31,205.92,448408
2015-03-25,205.1,208.29,204.0,206.09,390516
2015-03-26,203.05,208.0,203.05,206.7,315868
2015-03-27,208.3,211.08,203.8,210.28,519688
2015-03-30,210.0,213.41,207.0,208.0,249078
2015-03-31,207.5,210.75,205.0,205.13,434795
2015-04-01,205.52,214.07,205.47,213.41,371435
2015-04-06,212.16,212.45,207.99,209.06,258137
2015-04-07,208.9,214.81,208.5,213.37,791735
2015-04-08,214.53,219.0,213.27,217.63,553167
2015-04-09,218.0,218.89,214.64,218.18,179708
2015-04-10,217.67,220.2,217.66,220.01,332116
2015-04-13,220.01,220.99,215.35,215.94,171463
2015-04-14,217.5,217.5,212.1,213.25,327397
2015-04-15,214.13,217.34,212.54,217.14,283794
2015-04-16,216.0,217.23,212.19,214.65,258319
2015-04-17,214.5,216.86,213.07,214.81,290922
2015-04-20,215.75,218.5,215.18,216.11,226553
2015-04-21,217.9,219.29,215.49,219.0,340810
2015-04-22,219.09,224.0,216.73,223.26,351244
2015-04-23,222.0,231.64,220.75,230.84,241355
2015-04-24,224.0,234.32,224.0,233.13,373826
2015-04-27,225.26,237.06,225.26,233.43,292554
2015-04-28,240.73,240.73,224.0,225.37,384192
2015-04-29,225.34,226.97,220.64,222.23,316866
2015-04-30,222.6,222.75,216.3,217.06,682089
2015-05-04,217.5,225.84,217.5,221.52,331679
2015-05-05,222.06,229.2,221.42,227.69,478610
2015-05-06,228.24,230.0,225.0,228.94,329575
2015-05-07,229.57,231.19,226.88,227.66,251638
2015-05-08,230.0,230.81,226.0,226.9,448557
2015-05-11,230.0,230.0,225.99,228.88,200603
2015-05-12,229.96,229.96,223.55,224.48,260995
2015-05-13,220.0,226.83,220.0,223.97,254460
2015-05-14,224.3,231.45,223.92,226.93,213914
2015-05-15,229.94,230.82,226.95,230.03,376539
2015-05-18,230.32,231.49,227.81,230.29,236526
2015-05-19,230.19,231.5,228.0,228.06,339454
2015-05-20,230.6,230.99,224.1,228.01,194471
2015-05-21,227.64,229.36,225.97,228.3,124093
2015-05-22,228.19,231.0,226.66,228.12,183833
2015-05-25,228.0,228.0,224.0,225.5,93510
2015-05-26,224.0,229.0,223.17,224.46,371793
2015-05-27,222.22,229.91,222.22,229.75,278129
2015-05-28,229.67,231.5,224.27,226.17,308175
2015-05-29,225.0,227.41,221.31,221.86,892051
2015-06-01,221.0,223.66,220.5,222.68,240693
2015-06-02,222.56,224.21,220.68,223.31,458642
2015-06-03,223.32,226.01,223.31,225.07,319182
2015-06-04,224.63,225.0,219.3,220.82,253271
2015-06-05,225.04,225.04,217.0,220.94,244144
2015-06-08,220.97,221.26,217.0,220.36,266262
2015-06-09,221.04,222.93,217.15,217.59,377376
2015-06-10,217.92,218.72,215.49,217.15,856603
2015-06-11,218.79,218.79,215.46,217.83,484741
2015-06-12,219.0,222.97,217.12,220.75,379775
2015-06-15,217.57,217.72,213.61,215.78,251284
2015-06-16,214.2,219.48,214.2,219.01,509460
2015-06-17,219.2,222.77,216.85,216.86,596484
2015-06-18,217.6,219.51,216.0,217.0,338540
2015-06-19,216.25,219.0,214.5,214.83,952956
2015-06-22,216.22,220.25,214.84,219.41,408615
2015-06-23,220.58,221.0,219.08,220.93,225828
2015-06-24,219.75,221.0,217.78,220.97,311178
2015-06-25,219.0,225.0,219.0,224.24,377636
2015-06-26,224.12,225.33,223.66,224.58,230283
2015-06-29,223.42,224.6,218.1,218.94,262119
2015-06-30,219.03,223.53,219.03,223.3,888969
2015-07-01,222.0,224.49,218.41,221.89,357733
2015-07-02,220.0,225.73,220.0,224.73,314684
2015-07-03,220.05,226.0,220.01,225.0,60260
2015-07-06,224.1,225.99,222.1,224.76,212926
2015-07-07,222.6,228.09,221.77,226.75,333558
2015-07-08,226.77,229.44,224.38,228.0,366420
2015-07-09,228.26,233.5,228.26,230.45,475855
2015-07-10,230.3,233.4,229.33,231.86,522326
2015-07-13,232.2,235.16,232.2,234.52,274771
2015-07-14,234.25,235.0,233.74,234.97,436462
2015-07-15,234.14,238.31,233.52,237.01,376771
2015-07-16,239.0,240.7,236.69,239.76,390207
2015-07-17,239.33,240.58,237.24,239.21,228223
2015-07-20,240.9,241.21,238.05,240.03,224615
2015-07-21,239.03,240.8,239.03,240.09,287735
2015-07-22,245.0,245.0,235.0,236.2,488276
2015-07-23,229.7,243.99,229.7,242.75,359296
2015-07-24,242.43,244.5,235.94,239.13,311564
2015-07-27,237.12,239.11,234.7,236.74,217438
2015-07-28,235.85,244.06,235.52,240.88,350441
2015-07-29,239.0,239.83,237.31,238.59,511700
2015-07-30,240.25,240.99,235.99,238.67,221045
2015-07-31,236.4,241.98,235.23,240.88,679496
2015-08-03,240.5,249.15,239.38,248.67,284786
2015-08-04,250.0,250.84,247.84,250.24,395728
2015-08-05,252.39,257.57,248.0,254.8,707724
2015-08-06,253.24,255.03,249.56,251.25,206431
2015-08-07,250.34,254.32,249.14,253.15,228964
2015-08-10,252.0,255.78,251.22,252.02,76218
2015-08-11,252.31,252.31,249.9,251.23,302293
2015-08-12,256.2,256.2,246.07,250.8,334676
2015-08-13,250.0,253.48,248.0,252.26,353554
2015-08-14,252.0,255.47,251.36,254.45,171861
2015-08-17,254.83,255.08,249.76,251.6,230644
2015-08-18,251.5,251.5,248.27,248.49,344383
2015-08-19,245.0,248.9,242.01,243.82,410424
2015-08-20,243.9,246.6,243.34,244.76,355567
2015-08-21,243.98,246.45,238.73,239.42,278103
2015-08-24,238.22,239.34,226.4,236.65,491864
2015-08-25,240.0,243.98,240.0,242.06,350100
2015-08-26,243.9,245.93,241.5,244.68,310635
2015-08-27,245.8,246.59,243.0,245.68,687497
2015-08-28,246.0,247.0,243.1,243.86,612644
2015-08-31,245.03,246.0,242.13,243.5,1034572
2015-09-01,243.8,245.96,240.26,245.42,461692
2015-09-02,246.16,246.37,243.8,245.18,406081
2015-09-03,246.5,247.05,242.86,244.55,469702
2015-09-04,245.0,247.33,241.43,246.97,230967
2015-09-07,239.3,251.43,239.3,250.18,69046
2015-09-08,251.5,251.5,246.96,247.83,464487
2015-09-09,248.94,250.25,244.38,244.65,377365
2015-09-10,246.06,250.99,244.54,250.36,549336
2015-09-11,250.65,252.08,247.43,250.55,1279693
2015-09-14,249.42,252.31,249.15,250.72,237589
2015-09-15,252.07,257.31,249.68,256.58,328881
2015-09-17,256.3,263.91,256.3,261.17,697159
2015-09-18,260.66,263.1,257.21,262.58,889556
2015-09-21,262.58,263.69,258.7,260.0,158841
2015-09-22,260.0,261.54,257.56,260.06,335073
2015-09-23,265.0,265.0,258.23,262.09,246601
2015-09-24,261.25,262.48,258.04,259.77,190968
2015-09-25,260.98,261.1,257.88,258.3,270334
2015-09-28,257.75,259.05,253.19,258.83,310381
2015-09-29,259.6,259.67,252.0,253.07,369450
2015-09-30,258.0,258.58,251.0,257.97,790988
2015-10-01,259.57,262.0,253.21,258.45,386120
2015-10-02,261.5,261.5,254.33,260.91,243068
