Date,Open,High,Low,Close,Volume
2015-01-02,40.5,41.0,39.27,40.0,1678919
2015-01-05,39.8,40.09,38.0,39.69,3630436
2015-01-06,39.51,39.85,39.0,39.41,1088539
2015-01-07,39.17,40.7,39.17,40.3,1581065
2015-01-08,40.39,41.49,39.79,41.1,1626697
2015-01-09,41.02,41.18,39.88,40.39,1101398
2015-01-12,40.16,40.73,39.52,39.97,942564
2015-01-13,39.55,40.69,39.55,40.0,1278144
2015-01-14,39.89,40.26,38.5,38.89,1992074
2015-01-15,38.91,39.08,37.61,37.84,1910129
2015-01-16,37.75,39.34,37.75,39.34,1159308
2015-01-19,39.21,39.55,39.0,39.11,434154
2015-01-20,39.2,39.9,39.05,39.61,1299226
2015-01-21,39.6,40.46,39.42,40.35,2284821
2015-01-22,40.1,41.0,40.0,40.87,2636388
2015-01-23,40.05,41.09,40.05,40.45,1419721
2015-01-26,40.66,40.7,39.88,40.3,1706945
2015-01-27,40.0,40.71,39.54,40.02,2723823
2015-01-28,39.98,40.5,38.95,39.2,1839024
2015-01-29,39.26,39.93,39.13,39.41,1160599
2015-01-30,39.43,39.62,38.0,38.14,3009796
2015-02-03,38.2,39.9,38.2,39.8,2647199
2015-02-04,39.8,39.8,38.81,39.15,1915831
2015-02-05,39.23,39.43,38.46,39.18,2417553
2015-02-06,38.92,39.49,38.53,39.41,1531830
2015-02-09,38.81,39.47,38.63,38.98,1340072
2015-02-10,39.46,39.46,38.58,38.82,3291537
2015-02-11,38.92,39.8,38.55,39.79,2944476
2015-02-12,39.69,40.68,39.65,40.52,1996253
2015-02-13,40.55,40.8,40.34,40.6,1531854
2015-02-16,40.35,40.59,40.0,40.53,324569
2015-02-17,40.4,41.0,40.4,40.99,1198271
2015-02-18,40.6,42.33,40.58,42.2,2125192
2015-02-19,42.1,42.21,41.26,41.91,2033261
2015-02-20,42.0,42.2,41.6,41.81,1289568
2015-02-23,41.87,43.08,41.87,42.86,3084108
2015-02-24,41.98,42.98,41.97,42.76,2097875
2015-02-25,42.95,43.0,41.75,42.56,2004846
2015-02-26,42.35,43.1,42.04,42.94,2720340
2015-02-27,41.78,42.5,41.25,41.9,4544937
2015-03-02,41.5,42.2,41.41,41.86,3352635
2015-03-03,41.58,42.14,41.58,41.99,1606068
2015-03-04,41.92,41.99,41.56,41.87,1085278
2015-03-05,41.74,42.0,41.06,41.16,2612547
2015-03-06,41.0,41.2,40.65,40.75,2097388
2015-03-09,40.5,41.77,40.48,41.73,1597926
2015-03-10,41.0,41.25,40.7,40.95,2138462
2015-03-11,41.07,42.23,40.6,41.98,2288791
2015-03-12,42.0,42.5,41.03,42.45,1786492
2015-03-13,42.45,42.6,41.51,42.5,1672533
2015-03-17,42.29,42.5,41.75,42.15,6678863
2015-03-18,42.18,43.09,41.69,43.09,2005543
2015-03-19,42.85,43.0,42.23,42.76,3543947
2015-03-20,42.7,44.47,42.68,44.1,10126902
2015-03-23,43.5,44.06,43.3,43.9,2833654
2015-03-24,43.68,44.55,43.54,44.5,2362704
2015-03-25,44.27,44.48,43.45,43.6,2328461
2015-03-26,43.5,43.61,42.4,42.5,3344791
2015-03-27,42.7,43.49,42.52,42.77,2690980
2015-03-30,42.11,43.41,42.11,43.31,1356472
2015-03-31,42.91,43.79,42.71,43.11,2843528
2015-04-01,43.04,44.25,42.46,43.0,1691050
