Date,Open,High,Low,Close,Volume
2015-01-02,26.74,26.75,24.74,25.46,1448240
2015-01-05,25.45,25.74,24.75,25.72,1201249
2015-01-06,25.82,26.31,25.61,25.95,855068
2015-01-07,26.07,26.59,26.07,26.51,259053
2015-01-08,26.35,26.9,26.12,26.56,420378
2015-01-09,26.52,26.64,25.52,26.1,610156
2015-01-12,26.17,26.24,25.11,25.29,569281
2015-01-13,25.35,25.79,25.0,25.55,791374
2015-01-14,25.69,25.83,25.0,25.03,667707
2015-01-15,25.04,25.08,24.51,24.73,1176073
2015-01-16,24.7,24.98,24.6,24.73,770575
2015-01-19,24.84,24.95,24.55,24.6,322261
2015-01-20,24.62,24.97,24.11,24.28,960606
2015-01-21,24.41,24.8,24.31,24.56,1721287
2015-01-22,24.7,25.8,24.7,25.66,2208873
2015-01-23,25.68,25.8,25.25,25.62,994929
2015-01-26,25.64,25.84,25.31,25.82,725453
2015-01-27,25.6,26.0,25.12,25.12,1106434
2015-01-28,25.69,25.69,25.01,25.1,491342
2015-01-29,25.0,25.35,24.38,24.44,784865
2015-01-30,24.56,25.0,24.11,24.74,1738060
2015-02-03,25.38,25.38,24.39,24.44,1577853
2015-02-04,24.53,24.95,24.0,24.2,1059497
2015-02-05,24.13,24.9,24.13,24.74,939287
2015-02-06,24.94,25.52,24.89,25.5,2227890
2015-02-09,25.42,25.52,24.91,24.96,843682
2015-02-10,25.3,25.34,24.71,24.8,1022376
2015-02-11,24.9,24.9,24.05,24.62,1329899
2015-02-12,24.51,25.95,24.51,25.86,1213549
2015-02-13,25.59,26.35,25.59,26.21,1550865
2015-02-16,26.3,26.35,25.92,26.15,512432
2015-02-17,26.13,26.17,26.02,26.1,988832
2015-02-18,26.01,26.01,25.21,25.23,3510121
2015-02-19,25.31,25.74,25.21,25.37,1910639
2015-02-20,25.32,25.71,25.32,25.64,1433668
2015-02-23,25.7,25.74,25.28,25.54,1382239
2015-02-24,25.5,25.75,25.1,25.51,2286488
2015-02-25,25.43,25.77,25.21,25.33,2625973
2015-02-26,25.35,26.13,25.35,26.04,2099398
2015-02-27,26.04,27.35,25.83,26.45,2691944
2015-03-02,26.98,26.98,26.19,26.46,1519255
2015-03-03,26.94,26.94,25.8,25.8,567997
2015-03-04,25.86,26.93,25.55,26.63,790646
2015-03-05,26.77,27.17,25.62,26.09,1397710
2015-03-06,25.91,26.3,25.89,26.09,546441
2015-03-09,26.1,26.37,26.1,26.36,388210
2015-03-10,26.07,26.8,26.07,26.41,1494986
2015-03-11,26.49,26.62,26.18,26.36,3086427
2015-03-12,26.4,27.05,26.35,27.05,2626688
2015-03-13,27.15,27.15,26.25,26.57,1868303
2015-03-17,26.54,26.95,26.42,26.81,562074
2015-03-18,26.81,26.95,26.28,26.8,1946350
2015-03-19,26.71,26.97,26.56,26.74,820649
2015-03-20,26.79,27.03,26.54,26.69,1295506
2015-03-23,26.73,26.84,26.45,26.6,788090
2015-03-24,26.78,26.78,26.37,26.48,3162504
2015-03-25,26.5,26.85,26.39,26.65,1476938
2015-03-26,26.5,26.5,25.91,26.19,1833412
2015-03-27,26.14,26.68,26.05,26.47,613969
2015-03-30,26.58,26.85,26.1,26.61,634863
2015-03-31,26.54,26.83,25.9,26.0,2396072
2015-04-01,25.95,26.33,25.94,26.15,1105500
2015-04-06,26.06,27.09,25.98,26.79,2163427
2015-04-07,26.82,27.11,26.61,26.9,1109222
2015-04-08,27.13,27.25,26.5,26.71,873533
