Date,Open,High,Low,Close,Volume
2015-01-02,15.11,15.21,14.59,14.68,29672109
2015-01-05,14.75,14.75,14.18,14.36,45995714
2015-01-06,14.4,14.65,14.17,14.47,29685610
2015-01-07,14.74,14.96,14.55,14.83,46959095
2015-01-08,14.99,15.15,14.94,15.04,58467039
2015-01-09,15.11,15.11,14.76,14.99,29712778
2015-01-12,15.02,15.07,14.75,14.79,48132587
2015-01-13,14.8,14.9,14.46,14.53,44413252
2015-01-14,14.4,14.42,13.82,13.91,60376102
2015-01-15,14.11,14.21,13.85,13.9,32386978
2015-01-16,13.92,13.99,13.58,13.77,51640870
2015-01-19,13.83,13.98,13.66,13.74,10220025
2015-01-20,13.73,13.94,13.64,13.89,49817027
2015-01-21,13.95,13.95,13.61,13.87,45633443
2015-01-22,13.92,14.33,13.78,14.31,82454478
2015-01-23,14.28,14.45,13.91,13.97,42386779
2015-01-26,14.06,14.1,13.9,14.02,26065548
2015-01-27,13.94,14.12,13.81,14.08,33718575
2015-01-28,14.07,14.11,13.73,13.73,32638319
2015-01-29,13.78,14.03,13.73,13.89,47143671
2015-01-30,13.91,13.91,13.25,13.31,61982558
2015-02-03,13.44,13.75,13.38,13.74,46959125
2015-02-04,13.77,13.81,12.97,13.08,55531630
2015-02-05,13.56,14.82,13.35,14.73,150684662
2015-02-06,14.8,15.17,14.62,14.72,53101417
2015-02-09,14.74,15.1,14.64,14.92,43527604
2015-02-10,15.0,15.32,14.54,14.59,63870552
2015-02-11,14.59,14.96,14.3,14.4,30809290
2015-02-12,14.5,14.95,14.45,14.88,37165097
2015-02-13,14.92,14.99,14.63,14.69,19686915
2015-02-16,14.65,14.78,14.6,14.65,2853840
2015-02-17,14.65,14.96,14.53,14.94,25326131
2015-02-18,14.8,15.09,14.58,14.69,41481157
2015-02-19,14.6,14.93,14.6,14.8,17999499
2015-02-20,14.75,15.0,14.66,15.0,16849517
2015-02-23,14.81,15.2,14.81,15.17,21813500
2015-02-24,15.12,15.49,15.12,15.39,50530716
2015-02-25,15.39,15.44,15.11,15.22,40188403
2015-02-26,15.17,15.6,15.17,15.4,38099569
2015-02-27,15.36,15.45,15.05,15.15,46967351
2015-03-02,15.1,15.26,14.92,15.2,28583799
2015-03-03,15.16,15.16,14.9,14.95,35090001
2015-03-04,14.95,15.04,14.7,14.74,19846466
2015-03-05,14.71,15.0,14.68,14.95,30929308
2015-03-06,14.85,15.09,14.31,14.38,45190586
2015-03-09,14.44,14.49,14.32,14.42,19544504
2015-03-10,14.41,14.41,14.09,14.35,30477164
2015-03-11,14.36,14.48,14.07,14.46,34132884
2015-03-12,14.43,14.96,14.42,14.94,30440072
2015-03-13,14.94,15.12,14.78,14.99,27652751
2015-03-17,14.89,14.95,14.7,14.78,17621928
2015-03-18,14.78,14.78,14.29,14.52,62759904
2015-03-19,14.66,14.66,14.09,14.21,53655831
2015-03-20,14.28,14.49,14.16,14.31,62212525
2015-03-23,14.33,14.48,14.15,14.47,35931077
2015-03-24,14.47,14.76,14.47,14.66,37107762
2015-03-25,14.72,14.88,14.44,14.53,45414459
2015-03-26,14.51,14.6,14.29,14.3,45224177
2015-03-27,14.35,14.49,14.28,14.41,24570347
2015-03-30,14.41,14.64,14.36,14.49,21929828
2015-03-31,14.4,14.64,14.39,14.46,30404532
2015-04-01,14.4,14.51,14.28,14.32,19770158
2015-04-06,14.39,15.09,14.35,15.08,53552676
2015-04-07,14.95,15.3,14.86,15.12,56343399
2015-04-08,14.99,15.15,14.75,14.8,53812139
2015-04-09,14.8,14.97,14.72,14.85,28444493
2015-04-10,14.8,14.95,14.8,14.87,13613676
2015-04-13,14.88,15.09,14.85,14.86,18734617
2015-04-14,14.91,15.02,14.83,15.0,26513082
2015-04-15,15.02,15.4,14.96,15.35,61844077
2015-04-16,15.23,15.33,15.11,15.31,32395105
2015-04-17,15.3,15.3,15.02,15.1,29974569
2015-04-20,15.15,15.22,14.89,15.05,30304266
2015-04-21,15.07,15.4,15.03,15.1,41004899
2015-04-22,15.15,15.5,15.07,15.47,48428293
2015-04-23,15.42,15.76,15.35,15.54,44408557
2015-04-24,15.6,15.99,15.52,15.92,45114238
2015-04-27,16.0,16.37,15.99,16.05,48907218
2015-04-28,15.51,15.55,15.22,15.31,30879966
2015-04-29,15.37,15.37,15.15,15.23,25637015
2015-04-30,15.3,15.35,14.73,14.81,67896516
2015-05-04,14.89,15.06,14.88,15.03,30879488
2015-05-05,14.97,15.13,14.86,14.92,33250989
2015-05-06,14.97,15.05,14.77,14.84,30090771
2015-05-07,14.8,15.11,14.75,14.96,23587581
2015-05-08,15.0,15.34,14.99,15.3,52245554
2015-05-11,15.3,15.49,15.29,15.43,34046883
2015-05-12,15.39,15.5,15.33,15.37,37426576
2015-05-13,15.47,15.47,15.3,15.37,15548719
2015-05-14,15.33,15.65,15.33,15.56,29572736
2015-05-15,15.44,15.69,15.44,15.66,23909858
2015-05-18,15.7,15.71,15.35,15.48,31178774
2015-05-19,15.51,15.66,15.45,15.48,36882483
2015-05-20,15.48,15.64,15.27,15.31,25856754
2015-05-21,15.39,15.39,15.01,15.25,49560033
2015-05-22,15.31,15.31,14.94,14.95,30472261
2015-05-25,15.0,15.04,14.93,14.96,6068688
2015-05-26,14.93,14.94,14.65,14.74,54102772
2015-05-27,14.81,15.08,14.8,15.04,48634225
2015-05-28,15.09,15.09,14.61,14.67,53700608
2015-05-29,14.7,14.73,14.36,14.39,97906624
2015-06-01,14.48,14.49,14.11,14.27,55690611
2015-06-02,14.35,14.84,14.22,14.55,60596860
2015-06-03,14.69,14.79,14.29,14.35,54572409
2015-06-04,14.35,14.42,14.18,14.23,39260353
2015-06-05,14.34,14.58,14.22,14.54,31324221
2015-06-08,14.48,14.61,14.47,14.58,18941811
2015-06-09,14.6,14.65,14.47,14.61,25680924
2015-06-10,14.69,14.95,14.64,14.81,43325097
2015-06-11,14.79,14.82,14.67,14.74,24199404
2015-06-12,14.7,14.81,14.67,14.73,19178983
2015-06-15,14.71,14.71,14.5,14.55,21984460
2015-06-16,14.5,14.76,14.47,14.67,20175809
2015-06-17,14.69,14.84,14.57,14.77,39684780
2015-06-18,14.78,14.9,14.75,14.84,24367004
2015-06-19,14.8,14.9,14.73,14.73,72832844
2015-06-22,14.86,14.9,14.77,14.83,14630289
2015-06-23,14.89,15.04,14.85,14.93,39813137
2015-06-24,14.92,14.96,14.6,14.7,34333366
2015-06-25,14.65,14.82,14.63,14.73,30584504
2015-06-26,14.77,14.95,14.74,14.82,32626471
2015-06-29,14.59,14.65,14.21,14.23,55712256
2015-06-30,14.38,14.44,14.25,14.42,47559595
2015-07-01,14.46,14.57,14.3,14.32,37163372
2015-07-02,14.39,14.47,14.24,14.35,44085599
2015-07-03,14.39,14.39,14.23,14.35,6437242
2015-07-06,14.29,14.3,14.05,14.13,33334916
2015-07-07,14.1,14.29,13.8,14.22,57772926
2015-07-08,14.25,14.25,13.8,13.85,53359795
2015-07-09,14.01,14.24,13.94,13.98,59153118
2015-07-10,14.16,14.29,14.07,14.21,34633152
2015-07-13,14.24,14.38,14.23,14.35,26828548
2015-07-14,14.31,14.4,14.24,14.32,18213199
2015-07-15,14.29,14.37,14.2,14.21,23991179
2015-07-16,14.28,14.32,14.15,14.22,18078953
2015-07-17,14.21,14.36,14.21,14.36,11405266
2015-07-20,14.36,14.54,14.26,14.49,23676738
2015-07-21,14.48,14.65,14.18,14.25,34695089
2015-07-22,14.43,14.75,14.3,14.35,75700613
2015-07-23,14.38,14.47,13.79,14.1,69868329
2015-07-24,14.09,14.09,13.1,13.13,98389425
2015-07-27,13.0,13.2,12.55,12.84,69930837
2015-07-28,13.01,13.64,12.86,13.63,74861272
2015-07-29,13.61,13.91,13.5,13.85,45439372
2015-07-30,13.88,13.95,13.47,13.6,39315974
2015-07-31,13.69,13.8,13.43,13.74,41399265
2015-08-03,13.69,13.69,13.43,13.62,25337548
2015-08-04,13.62,13.68,13.36,13.4,33687648
2015-08-05,13.51,13.66,13.19,13.19,33762025
2015-08-06,13.35,13.53,13.19,13.49,20988737
2015-08-07,13.38,13.83,13.38,13.75,32339288
2015-08-10,13.8,14.01,13.79,13.98,32999018
2015-08-11,13.84,13.93,13.25,13.27,68145048
2015-08-12,13.19,13.3,12.93,13.19,79855911
2015-08-13,13.27,13.3,13.0,13.13,35690782
