Date,Open,High,Low,Close,Volume
2015-01-02,562.93,576.0,505.01,529.0,127567
2015-01-05,523.24,523.24,488.0,488.62,418063
2015-01-06,499.56,519.53,475.0,497.0,266871
2015-01-07,495.52,526.79,486.15,496.94,413644
2015-01-08,508.99,519.9,506.23,509.63,394322
2015-01-09,518.0,523.9,501.13,516.16,202973
2015-01-12,524.94,535.0,512.0,532.39,53123
2015-01-13,532.78,549.99,506.72,518.54,118436
2015-01-14,515.0,522.3,500.0,500.23,392153
2015-01-15,505.01,523.72,504.96,523.69,366278
2015-01-16,519.0,548.99,519.0,545.89,61228
2015-01-19,537.01,569.9,537.01,563.0,38570
2015-01-20,563.0,567.0,559.82,565.0,368945
2015-01-21,565.0,568.0,544.34,567.79,379470
2015-01-22,568.0,584.5,565.04,574.72,503555
2015-01-23,576.11,579.99,557.46,561.0,236084
2015-01-26,566.98,582.5,550.0,577.07,22198
2015-01-27,563.0,583.39,563.0,579.66,359974
2015-01-28,573.12,585.0,573.12,584.95,477349
2015-01-29,580.02,585.0,565.02,577.99,83284
2015-01-30,563.11,572.0,545.0,555.5,88880
2015-02-03,567.1,574.0,544.0,547.83,62499
2015-02-04,556.41,556.41,540.11,541.02,343847
2015-02-05,541.0,549.99,540.07,547.95,327595
2015-02-06,544.49,548.71,538.1,542.96,33674
2015-02-09,543.78,543.78,524.53,528.98,54638
2015-02-10,534.97,542.0,522.94,539.94,348760
2015-02-11,529.21,539.74,525.1,534.0,376943
2015-02-12,533.81,547.99,533.81,538.01,369721
2015-02-13,538.45,546.99,530.05,535.01,19964
2015-02-16,537.5,545.99,534.99,539.97,15318
2015-02-17,534.21,538.77,530.01,538.7,47509
2015-02-18,532.69,535.0,526.0,532.31,337168
2015-02-19,537.89,544.03,528.32,528.41,374206
2015-02-20,531.14,534.0,526.0,527.37,216815
2015-02-23,527.37,533.8,501.32,516.9,75030
2015-02-24,514.32,516.53,505.15,510.01,349853
2015-02-25,520.0,526.48,507.98,512.99,326314
2015-02-26,517.85,517.85,502.2,507.21,427277
2015-02-27,506.26,510.99,478.85,500.92,106601
2015-03-02,495.0,516.89,495.0,505.25,361804
2015-03-03,516.0,518.99,491.11,492.04,151058
2015-03-04,494.5,498.99,460.0,471.2,114004
2015-03-05,478.11,478.11,437.48,446.53,121753
2015-03-06,448.77,455.98,426.21,428.0,462601
2015-03-09,444.0,453.29,430.31,439.49,323963
2015-03-10,439.83,442.36,431.01,435.01,375381
2015-03-11,435.02,452.99,434.0,440.98,398220
2015-03-12,432.41,439.98,430.0,433.79,230114
2015-03-13,433.79,445.0,428.0,443.01,219506
2015-03-17,440.79,442.74,435.01,440.22,370820
2015-03-18,435.02,454.67,432.04,454.62,428938
2015-03-19,448.85,448.85,435.0,437.44,502229
2015-03-20,447.0,448.06,430.11,432.38,127416
2015-03-23,436.37,436.39,421.0,421.0,70281
2015-03-24,413.62,425.97,407.53,408.82,420366
2015-03-25,412.0,418.31,406.03,407.6,312961
2015-03-26,418.0,418.0,410.01,412.77,328826
