Date,Open,High,Low,Close,Volume
2015-01-02,130.0,132.11,125.54,126.87,971564
2015-01-05,126.96,127.33,121.38,124.11,3710789
2015-01-06,124.7,127.24,123.62,126.01,2421949
2015-01-07,126.1,127.25,124.46,125.5,1962346
2015-01-08,126.1,128.81,126.1,127.65,1501658
2015-01-09,126.67,127.85,125.09,127.1,1347028
2015-01-12,127.22,128.24,125.47,126.6,1453468
2015-01-13,125.5,127.24,124.85,127.24,2121788
2015-01-14,124.41,128.25,124.41,125.44,2879809
2015-01-15,125.51,126.75,123.17,123.45,2636436
2015-01-16,123.11,125.96,123.1,125.84,2112830
2015-01-19,125.32,126.2,124.7,125.29,264837
2015-01-20,125.64,128.31,124.63,126.5,2696786
2015-01-21,126.73,130.31,126.26,129.41,2547797
2015-01-22,129.88,134.31,129.87,132.63,2504178
2015-01-23,131.9,132.48,127.49,128.7,3955542
2015-01-26,127.5,129.02,126.5,128.62,2105875
2015-01-27,128.01,128.3,126.53,127.99,3125270
2015-01-28,128.49,128.5,127.14,127.48,3185842
2015-01-29,126.55,127.94,126.01,126.82,1865578
2015-01-30,127.0,127.9,124.27,125.49,5039475
2015-02-03,125.5,126.64,124.53,125.7,2204931
2015-02-04,126.52,127.95,125.62,127.4,1962997
2015-02-05,127.9,129.97,127.9,129.5,3943988
2015-02-06,130.0,131.32,129.17,129.34,3214080
2015-02-09,128.78,132.4,128.03,131.7,2406927
2015-02-10,131.69,134.0,131.58,132.17,4113659
2015-02-11,131.0,133.32,129.09,130.72,2157995
2015-02-12,129.8,132.95,129.8,132.89,1607674
2015-02-13,132.82,133.0,130.38,131.97,1396267
2015-02-16,132.89,132.89,128.7,131.18,226214
2015-02-17,130.44,133.72,129.44,133.12,1013447
2015-02-18,132.2,133.24,128.96,130.69,2193332
2015-02-19,129.7,133.23,129.58,131.88,855283
2015-02-20,132.0,135.0,131.87,134.31,2169759
2015-02-23,134.32,136.51,134.19,136.4,2545086
2015-02-24,136.85,139.21,135.0,137.9,2927013
2015-02-25,137.95,137.95,135.11,136.16,3426514
2015-02-26,136.25,144.0,135.6,142.85,4557011
2015-02-27,142.8,144.45,140.64,142.0,5247380
2015-03-02,142.0,144.9,142.0,143.43,2769396
2015-03-03,143.54,144.92,141.93,142.97,2854998
2015-03-04,142.12,143.68,138.36,138.72,2370482
2015-03-05,138.16,141.67,138.16,139.96,2542982
2015-03-06,139.0,140.45,136.23,138.35,2693864
2015-03-09,137.8,138.42,135.9,136.51,1461489
2015-03-10,135.36,136.61,133.79,135.31,2991175
2015-03-11,135.35,136.7,133.9,136.44,3394821
2015-03-12,136.38,140.12,135.79,139.73,2259024
2015-03-13,139.7,140.16,137.51,139.74,2742716
2015-03-17,140.0,140.28,138.12,138.76,2845957
2015-03-18,138.0,142.1,138.0,142.0,2954564
2015-03-19,141.01,143.0,140.6,142.5,2458103
2015-03-20,142.0,142.44,139.04,140.43,7525513
2015-03-23,140.0,141.68,139.8,140.0,1378764
2015-03-24,140.1,142.4,140.1,141.05,2525679
2015-03-25,141.5,142.44,141.0,141.22,2795239
2015-03-26,140.49,140.49,138.26,139.81,2415576
2015-03-27,139.11,143.92,139.11,143.55,2707747
2015-03-30,143.48,145.0,142.61,143.28,1592633
2015-03-31,142.61,144.2,140.41,142.59,2330808
2015-04-01,143.09,147.46,141.8,144.24,2778788
2015-04-06,144.15,145.56,141.8,144.83,1383829
2015-04-07,144.84,147.33,143.79,145.83,2598080
2015-04-08,146.0,148.78,145.73,147.48,3164084
2015-04-09,148.27,149.93,147.0,147.97,2136352
2015-04-10,149.49,149.49,146.7,147.62,1514540
2015-04-13,148.5,148.58,145.5,146.59,1269886
2015-04-14,146.71,147.15,145.34,146.54,3031036
2015-04-15,147.0,147.45,144.7,145.22,1682864
2015-04-16,144.5,145.6,143.25,145.53,2904242
2015-04-17,145.37,146.07,143.13,143.4,1770723
