Date,Open,High,Low,Close,Volume
2015-01-02,93.75,94.12,90.6,91.67,575914
2015-01-05,91.0,93.89,91.0,93.42,876985
2015-01-06,93.42,96.13,93.42,95.59,1597007
2015-01-07,95.5,95.6,94.32,95.29,4485667
2015-01-08,95.5,95.5,94.48,94.75,810417
2015-01-09,94.74,95.1,93.61,93.61,1059961
2015-01-12,93.58,94.6,92.84,94.1,610209
2015-01-13,93.3,95.21,93.3,94.85,1062589
2015-01-14,93.3,93.95,91.4,91.78,792163
2015-01-15,92.5,94.96,92.3,94.75,925596
2015-01-16,94.2,97.81,94.2,97.39,408232
2015-01-19,98.08,98.08,96.88,97.57,112366
2015-01-20,97.9,101.7,97.8,100.35,1007599
2015-01-21,100.32,100.66,98.5,99.93,531693
2015-01-22,99.99,102.8,99.99,101.7,1323767
2015-01-23,101.18,101.37,99.5,99.78,469730
2015-01-26,100.14,100.95,98.75,100.55,558993
2015-01-27,100.02,102.49,99.9,101.8,708120
2015-01-28,102.8,103.0,99.81,100.92,507799
2015-01-29,101.01,102.27,99.5,100.41,955981
2015-01-30,100.8,102.07,98.66,99.11,723194
2015-02-03,100.28,100.7,96.2,97.19,553036
2015-02-04,98.1,100.78,97.41,100.33,450406
2015-02-05,100.2,102.1,99.51,101.26,283691
2015-02-06,101.0,102.2,100.23,101.32,379452
2015-02-09,101.41,103.09,101.41,102.6,450431
2015-02-10,103.0,103.44,100.91,101.52,432066
2015-02-11,101.25,102.03,98.0,98.45,747245
2015-02-12,98.99,101.28,98.2,100.44,270446
2015-02-13,101.2,101.22,98.96,99.23,334771
2015-02-16,99.28,99.62,98.4,98.52,38986
2015-02-17,98.6,100.77,98.41,100.69,187210
2015-02-18,100.0,100.94,96.71,97.0,681242
2015-02-19,97.1,98.7,97.1,97.8,589707
2015-02-20,98.0,99.98,98.0,98.86,343372
2015-02-23,99.2,99.2,98.0,98.52,379193
2015-02-24,99.0,100.86,99.0,100.86,534292
2015-02-25,100.0,101.25,100.0,101.0,510207
2015-02-26,100.92,101.28,100.18,101.2,1367875
2015-02-27,101.26,101.65,100.41,101.01,1312018
2015-03-02,100.5,101.35,99.31,99.72,895117
2015-03-03,100.01,100.02,98.21,99.54,517008
2015-03-04,99.04,100.26,97.83,99.5,551832
2015-03-05,98.55,99.23,95.56,96.5,708758
2015-03-06,96.25,97.5,96.16,96.36,518237
2015-03-09,96.3,96.99,94.91,95.65,394600
2015-03-10,95.3,95.3,93.5,94.18,672275
2015-03-11,93.85,96.73,93.8,96.4,535736
2015-03-12,97.5,97.5,95.11,96.7,767277
2015-03-13,96.9,97.54,96.51,97.2,544502
2015-03-17,96.52,98.59,95.96,98.13,638637
2015-03-18,97.9,100.0,97.01,99.28,608961
2015-03-19,99.06,100.26,97.8,98.49,594366
2015-03-20,98.2,99.55,96.91,99.25,738234
2015-03-23,97.4,99.56,97.4,98.0,743499
2015-03-24,97.86,100.26,97.86,100.0,508576
2015-03-25,99.0,100.0,97.8,99.64,609725
