Date,Open,High,Low,Close,Volume
2015-01-02,72.6,74.3,68.1,70.25,403983
2015-01-05,68.18,69.87,66.5,67.6,565003
2015-01-06,68.76,69.0,66.56,67.27,329571
2015-01-07,68.49,69.0,67.72,68.71,358905
2015-01-08,68.99,70.95,68.73,69.57,382858
2015-01-09,69.5,70.95,69.02,70.45,259153
2015-01-12,70.6,70.6,69.0,69.48,263755
2015-01-13,70.44,71.0,68.74,68.8,488022
2015-01-14,68.98,69.73,68.74,68.74,450752
2015-01-15,68.52,69.79,66.0,66.77,770091
2015-01-16,67.2,67.2,65.5,65.94,772713
2015-01-19,67.2,67.21,66.07,66.53,285750
2015-01-20,66.09,68.9,65.2,68.25,508116
2015-01-21,68.25,69.03,67.23,68.98,435347
2015-01-22,68.62,69.99,68.05,68.92,504130
2015-01-23,68.38,69.0,67.01,67.44,250792
2015-01-26,67.27,68.95,67.0,67.55,380119
2015-01-27,66.9,69.95,66.75,69.68,904118
2015-01-28,69.23,71.3,68.04,68.96,430166
2015-01-29,69.06,69.06,67.25,67.3,636156
2015-01-30,67.76,67.76,64.81,66.03,960548
2015-02-03,66.6,68.0,62.78,63.91,748061
2015-02-04,64.5,65.0,63.62,64.78,497042
2015-02-05,64.9,65.61,64.0,65.06,701884
2015-02-06,65.45,66.9,64.78,65.85,489573
2015-02-09,66.38,66.64,65.4,66.59,302829
2015-02-10,66.35,66.7,65.22,65.71,832325
2015-02-11,65.03,65.96,62.0,64.26,811632
2015-02-12,64.6,64.6,63.41,63.7,543674
2015-02-13,64.55,65.23,63.35,65.23,424246
2015-02-16,64.78,64.78,63.76,64.28,60578
2015-02-17,64.09,65.69,63.81,65.57,184831
2015-02-18,65.9,67.25,64.12,66.35,479390
2015-02-19,65.55,66.17,64.47,64.62,296565
2015-02-20,64.7,65.37,64.64,64.7,225400
2015-02-23,65.78,65.78,63.79,64.15,254879
2015-02-24,64.75,66.2,63.8,66.06,431537
2015-02-25,66.4,67.55,65.12,66.54,470358
2015-02-26,67.56,67.56,64.77,65.53,424955
2015-02-27,65.62,68.13,64.64,67.84,1141263
2015-03-02,67.11,67.37,64.8,66.5,523178
2015-03-03,66.49,66.49,64.75,64.79,337428
2015-03-04,64.79,65.06,61.04,61.46,370732
2015-03-05,61.38,62.9,61.3,62.29,483607
2015-03-06,62.1,63.43,61.51,62.04,447402
2015-03-09,62.1,62.89,61.5,62.53,256114
2015-03-10,61.51,63.18,61.27,62.0,494952
2015-03-11,61.62,63.39,61.31,62.13,608009
2015-03-12,62.1,63.47,62.08,62.8,328448
2015-03-13,63.39,63.94,62.3,63.85,311019
2015-03-17,63.25,64.29,63.24,64.05,582649
2015-03-18,64.25,67.0,63.71,66.91,832326
2015-03-19,66.91,68.0,65.08,67.49,817957
2015-03-20,67.4,67.99,66.7,67.34,858188
2015-03-23,66.13,67.45,65.71,67.08,647137
2015-03-24,66.15,67.07,64.99,65.12,582946
2015-03-25,66.5,66.5,64.04,64.31,697986
2015-03-26,64.03,65.19,62.08,62.5,705451
2015-03-27,62.88,65.44,62.43,65.2,602064
2015-03-30,65.01,65.38,63.51,64.32,383089
2015-03-31,64.48,64.99,62.55,63.64,1185521
2015-04-01,63.98,64.75,62.85,64.36,206513
2015-04-06,64.55,65.99,64.55,65.5,544537
2015-04-07,65.75,66.0,65.13,65.48,614290
2015-04-08,65.03,66.36,65.03,66.0,469620
2015-04-09,66.25,66.36,65.8,66.08,177217
2015-04-10,66.08,66.21,65.3,65.95,273925
2015-04-13,65.9,65.99,64.15,64.23,265944
2015-04-14,65.99,66.21,63.8,64.52,423449
2015-04-15,64.72,65.65,64.72,65.1,334225
2015-04-16,65.67,65.67,63.9,64.3,537884
2015-04-17,63.75,64.2,63.5,63.55,389312
2015-04-20,63.4,63.68,61.43,62.8,509756
2015-04-21,62.7,63.25,62.14,62.83,486533
2015-04-22,63.45,63.45,62.01,62.58,677423
2015-04-23,62.66,64.27,61.54,63.6,513700
2015-04-24,63.02,65.97,63.01,65.4,550087
2015-04-27,65.96,65.96,63.51,64.0,512318
2015-04-28,64.85,65.39,63.9,64.34,412756
2015-04-29,64.44,64.89,63.76,63.82,470285
