Date,Open,High,Low,Close,Volume
2015-01-02,29.69,29.8,28.5,28.67,2465065
2015-01-05,28.57,28.57,27.22,27.95,2525588
2015-01-06,28.05,28.8,27.36,28.33,2230830
2015-01-07,28.47,29.0,27.88,28.1,2279624
2015-01-08,28.23,28.48,28.04,28.38,1683185
2015-01-09,28.25,28.46,27.71,28.19,1334140
2015-01-12,28.09,28.28,27.59,27.82,1271827
2015-01-13,27.84,28.26,27.0,27.56,4341544
2015-01-14,27.34,28.5,27.14,28.02,3561503
2015-01-15,28.19,28.3,27.71,28.22,3280881
2015-01-16,28.2,28.3,27.7,28.0,3641112
2015-01-19,27.89,28.12,27.5,27.98,240950
2015-01-20,27.9,28.12,27.85,27.99,3043550
2015-01-21,27.99,28.45,27.45,28.0,6306677
2015-01-22,28.19,28.8,27.86,28.28,3450284
2015-01-23,28.24,28.46,27.85,28.3,1632731
2015-01-26,28.18,29.46,27.92,29.46,3291953
2015-01-27,29.01,29.49,28.64,28.86,2157008
2015-01-28,28.9,29.18,28.78,28.8,1239091
2015-01-29,28.89,28.89,27.8,28.34,3297765
2015-01-30,28.0,28.59,27.8,28.47,3071064
2015-02-03,27.77,29.34,27.77,29.17,3150920
2015-02-04,29.12,29.12,28.56,28.78,1278180
2015-02-05,28.86,29.49,28.62,29.23,2451538
2015-02-06,29.08,29.49,28.5,28.74,2398748
2015-02-09,28.64,28.73,28.26,28.49,1497099
2015-02-10,28.38,28.64,28.25,28.31,2551938
2015-02-11,28.25,28.74,28.25,28.6,5584514
2015-02-12,28.65,29.25,28.49,29.13,2136495
2015-02-13,29.25,29.37,28.91,29.08,1255931
2015-02-16,29.23,29.26,29.0,29.1,422261
2015-02-17,29.0,29.87,29.0,29.5,1194522
2015-02-18,29.72,29.84,28.6,28.87,3078200
2015-02-19,28.94,29.4,28.72,29.16,854839
2015-02-20,29.26,29.73,28.9,29.01,1424737
2015-02-23,29.44,29.69,29.06,29.3,1393134
2015-02-24,29.23,30.0,29.07,29.75,2243175
2015-02-25,29.8,29.8,28.77,29.26,6530629
2015-02-26,29.23,29.26,28.23,28.7,5737003
2015-02-27,28.59,29.3,27.84,28.34,6883309
2015-03-02,28.51,28.64,27.95,28.28,3746966
2015-03-03,28.4,28.65,27.91,28.65,5159198
2015-03-04,28.56,28.56,27.55,27.55,6956033
2015-03-05,27.99,27.99,26.81,27.17,6031081
2015-03-06,27.0,27.8,26.82,27.4,5365211
2015-03-09,27.23,28.12,27.2,28.03,3337054
2015-03-10,27.8,27.96,27.19,27.21,5025031
2015-03-11,27.26,27.8,27.02,27.58,2591821
2015-03-12,27.35,27.93,27.35,27.81,1961030
2015-03-13,27.95,28.0,27.15,27.35,4072719
2015-03-17,27.21,27.68,27.1,27.26,3474514
2015-03-18,27.2,28.0,27.2,27.97,3747263
2015-03-19,27.78,28.0,27.42,27.82,3557301
2015-03-20,27.75,28.0,27.43,27.84,3855818
2015-03-23,27.7,27.85,27.43,27.73,1541766
2015-03-24,27.59,27.91,27.35,27.78,3431545
2015-03-25,27.87,28.05,27.32,27.69,2432258
2015-03-26,27.53,27.78,27.35,27.35,3109460
2015-03-27,27.33,27.6,27.13,27.22,3565559
