Date,Open,High,Low,Close,Volume
2015-01-02,37.9,38.5,36.3,37.03,2221821
2015-01-05,37.22,37.6,36.15,37.07,4355250
2015-01-06,36.56,37.48,36.3,37.29,2317095
2015-01-07,37.04,38.76,37.04,38.5,2590791
2015-01-08,38.6,39.69,38.6,39.45,1935479
2015-01-09,39.0,39.69,39.0,39.25,2659341
2015-01-12,39.05,39.61,38.79,39.27,7215806
2015-01-13,39.15,39.89,38.93,39.39,4932929
2015-01-14,38.5,39.99,38.11,38.49,8256371
2015-01-15,38.62,38.62,36.54,37.42,3269733
2015-01-16,37.1,38.9,37.1,38.13,1391839
2015-01-19,38.21,38.75,37.87,37.91,368131
2015-01-20,38.32,38.82,37.13,37.78,2692658
2015-01-21,37.8,39.93,37.75,39.3,3566319
2015-01-22,39.4,40.77,39.39,40.58,3563411
2015-01-23,40.6,40.6,39.74,39.93,1524017
2015-01-26,39.26,40.74,39.26,40.33,5830764
2015-01-27,40.28,40.97,39.72,40.75,2774900
2015-01-28,40.82,40.97,40.02,40.16,2341034
2015-01-29,40.01,40.99,39.76,40.93,4043592
2015-01-30,39.8,40.37,38.16,38.75,6317076
2015-02-03,38.8,40.69,38.45,39.89,3137481
2015-02-04,40.01,41.5,39.9,40.73,3209014
2015-02-05,41.42,41.42,39.6,39.95,2107344
2015-02-06,39.77,40.6,39.72,40.6,2590856
2015-02-09,40.0,40.22,39.66,39.9,1665108
2015-02-10,39.95,39.95,39.13,39.45,4294662
2015-02-11,39.13,39.79,38.32,38.62,5989785
2015-02-12,38.31,39.7,38.31,39.23,2005805
2015-02-13,39.33,39.75,39.3,39.74,2041666
2015-02-16,39.75,39.75,39.23,39.73,239662
2015-02-17,39.56,40.16,39.23,40.13,1091474
2015-02-18,39.8,40.27,39.5,39.87,5856136
2015-02-19,39.4,40.3,39.36,39.62,1231293
2015-02-20,39.36,40.3,39.36,39.75,1144068
2015-02-23,39.99,40.48,39.6,40.16,4033682
2015-02-24,39.97,41.56,39.97,41.45,4992057
2015-02-25,41.2,41.8,41.2,41.78,3438402
2015-02-26,41.78,42.8,41.2,42.0,5221646
