Date,Open,High,Low,Close,Volume
2015-01-02,81.2,81.7,77.95,79.0,2167761
2015-01-05,78.8,78.8,75.55,76.65,7362168
2015-01-06,76.35,76.85,75.59,75.65,6474240
2015-01-07,76.49,78.0,76.4,77.5,9690245
2015-01-08,78.15,79.0,77.68,78.73,5583479
2015-01-09,78.75,78.99,77.71,77.92,4376357
2015-01-12,78.0,78.0,75.25,76.1,6652268
2015-01-13,75.62,77.0,74.92,75.0,8478246
2015-01-14,74.99,74.99,73.05,74.0,12334653
2015-01-15,74.02,74.97,72.05,74.85,10798242
2015-01-16,74.5,78.2,74.5,78.14,8482135
2015-01-19,77.88,77.9,77.05,77.76,1832250
2015-01-20,77.53,79.19,77.05,78.3,16082382
2015-01-21,78.85,80.03,78.06,79.51,19037009
2015-01-22,79.5,80.48,78.7,78.85,6903429
2015-01-23,78.7,81.5,78.7,80.7,10176905
2015-01-26,80.3,80.57,79.6,79.99,3637931
2015-01-27,79.88,80.8,78.82,80.79,2547895
2015-01-28,80.81,81.35,79.5,79.55,5378500
2015-01-29,79.99,79.99,78.48,78.53,5581010
2015-01-30,78.53,78.81,75.81,76.33,6387584
2015-02-03,77.12,80.78,77.12,79.1,11041150
2015-02-04,78.51,80.1,78.5,79.11,6484137
2015-02-05,79.09,79.45,78.03,79.0,8372760
2015-02-06,78.95,80.1,78.51,79.33,5275213
2015-02-09,78.95,80.25,78.61,78.89,4032881
2015-02-10,78.99,79.48,77.78,77.85,6238633
2015-02-11,77.72,78.28,76.01,76.61,8380424
2015-02-12,76.63,79.39,76.63,79.07,5930923
2015-02-13,79.21,80.25,79.16,80.19,7584402
2015-02-16,79.91,80.6,79.84,80.2,1368101
2015-02-17,80.24,81.95,79.21,81.95,3645750
2015-02-18,81.75,82.49,78.15,79.53,13295497
2015-02-19,79.62,80.8,79.55,79.83,7440460
2015-02-20,80.0,80.95,79.95,80.95,2926433
2015-02-23,81.29,81.85,78.92,80.71,6148075
2015-02-24,80.56,81.0,80.01,80.66,5735449
2015-02-25,80.5,81.08,80.4,80.99,9131576
2015-02-26,80.5,81.0,80.11,80.66,3672615
2015-02-27,80.21,81.9,80.21,80.78,8233271
2015-03-02,81.0,81.5,79.8,79.83,7218184
2015-03-03,79.95,81.5,79.52,80.21,5360663
2015-03-04,79.85,82.0,79.52,80.76,6327009
2015-03-05,80.54,83.06,80.36,82.7,7541578
2015-03-06,82.99,83.49,81.71,83.0,10536980
2015-03-09,82.98,83.05,82.31,83.05,6134620
2015-03-10,82.41,83.79,82.11,83.55,5313125
2015-03-11,83.7,85.66,83.53,85.09,11428776
2015-03-12,84.81,86.48,84.8,85.98,3454427
2015-03-13,85.99,87.09,85.57,87.0,7739293
2015-03-17,86.31,88.09,86.21,88.01,11309794
2015-03-18,88.0,89.89,87.5,89.82,5608639
2015-03-19,89.58,89.7,89.0,89.37,6105044
2015-03-20,89.0,89.7,86.75,87.38,10745784
2015-03-23,87.2,87.62,86.22,86.82,4529851
2015-03-24,87.0,87.14,86.22,87.0,5374054
2015-03-25,86.47,87.69,85.34,85.84,4650354
2015-03-26,85.31,86.08,85.0,85.0,9069302
2015-03-27,85.05,88.02,84.01,87.8,6992411
2015-03-30,87.8,89.22,87.62,87.86,7461021
2015-03-31,87.8,88.75,87.75,88.44,8292465
2015-04-01,88.8,89.89,88.28,89.74,17676851
2015-04-06,89.7,90.52,89.29,90.16,8611215
2015-04-07,89.61,92.2,89.61,92.17,22641039
2015-04-08,91.5,92.5,90.46,91.24,15837419
2015-04-09,91.55,91.55,89.98,90.31,6799369
2015-04-10,89.92,90.28,87.45,87.52,11998047
2015-04-13,87.74,88.38,86.8,86.95,3426302
2015-04-14,87.45,87.9,86.88,87.65,7675845
2015-04-15,87.61,88.48,87.01,87.5,4213770
2015-04-16,87.0,89.41,86.83,89.33,5999441
2015-04-17,89.28,89.35,88.5,88.8,4589228
2015-04-20,89.11,89.11,87.51,88.0,8360102
2015-04-21,87.88,89.09,87.81,87.97,4889502
2015-04-22,88.85,88.85,87.27,87.53,6350768
2015-04-23,87.51,87.95,86.15,87.02,4435224
2015-04-24,87.69,87.95,86.4,87.92,4493704
2015-04-27,87.99,88.24,86.51,87.37,3110991
2015-04-28,86.89,89.2,86.88,88.95,6467624
2015-04-29,88.98,88.98,86.61,87.01,4488449
2015-04-30,87.4,88.1,85.75,87.48,13015759
2015-05-04,87.65,89.77,87.65,89.77,6953334
2015-05-05,89.5,90.0,88.32,89.98,5104387
2015-05-06,89.7,89.95,88.21,88.8,3942600
2015-05-07,88.21,89.6,88.1,89.06,3096133
2015-05-08,88.63,90.6,88.63,90.34,7924687
2015-05-11,89.51,91.0,89.51,90.71,4625684
2015-05-12,90.12,90.12,88.84,88.9,5000380
2015-05-13,88.72,89.69,88.41,88.42,3404681
2015-05-14,88.41,89.0,87.81,87.91,3553106
2015-05-15,87.73,88.9,87.73,88.64,2625412
2015-05-18,88.01,88.89,87.61,88.25,3173166
2015-05-19,88.35,88.99,87.65,87.65,4689289
2015-05-20,88.4,88.4,86.65,87.0,5038513
2015-05-21,86.9,87.8,86.7,87.0,4544862
2015-05-22,87.17,87.47,86.51,86.75,3349926
2015-05-25,86.73,87.19,86.35,86.9,430054
2015-05-26,86.88,87.19,85.74,86.0,6011965
2015-05-27,85.71,86.69,85.26,85.75,3886464
2015-05-28,85.5,87.09,85.5,86.71,3643311
2015-05-29,86.7,87.32,86.33,86.89,9297637
2015-06-01,86.35,87.32,85.46,85.63,3258494
2015-06-02,86.29,86.48,85.38,85.71,3755030
2015-06-03,85.55,86.32,84.95,84.95,4684060
2015-06-04,86.0,86.25,85.01,86.0,3930621
2015-06-05,85.67,86.79,85.32,85.66,2797626
2015-06-08,85.11,85.56,85.01,85.49,2143232
2015-06-09,85.75,87.1,85.45,86.4,5143186
2015-06-10,87.06,87.08,86.0,86.4,5620411
2015-06-11,86.3,86.7,85.71,85.82,4493410
2015-06-12,86.6,86.6,85.25,86.26,2135522
2015-06-15,86.15,86.15,84.14,84.87,4716496
2015-06-16,84.41,87.3,84.41,86.19,5297747
2015-06-17,86.0,87.02,84.99,85.35,5130448
2015-06-18,85.08,87.17,85.08,87.1,3244261
2015-06-19,86.9,87.29,86.21,87.0,15079908
2015-06-22,87.01,87.89,86.41,87.71,2612089
2015-06-23,87.7,88.25,87.62,87.95,3917622
2015-06-24,87.68,88.15,87.2,87.26,6785127
2015-06-25,87.01,87.49,86.1,86.39,9447714
2015-06-26,85.99,86.58,85.59,86.4,3478204
2015-06-29,85.4,86.33,83.67,84.0,5177358
2015-06-30,84.11,86.8,84.01,86.42,10526882
2015-07-01,86.3,86.85,85.55,86.62,3692645
2015-07-02,86.5,86.8,86.01,86.35,4502693
2015-07-03,86.57,86.57,85.55,85.56,639139
2015-07-06,85.67,86.7,85.09,86.6,2153083
2015-07-07,86.53,86.8,85.41,86.3,3573529
2015-07-08,86.54,87.62,86.5,86.86,5321719
2015-07-09,86.95,88.15,86.86,87.99,3566142
2015-07-10,87.52,89.79,87.21,89.75,5392254
2015-07-13,89.65,89.87,88.46,89.17,4728107
2015-07-14,88.41,88.5,88.11,88.25,12492125
2015-07-15,88.26,88.98,87.82,88.11,3447383
2015-07-16,88.5,88.88,87.2,87.41,3513889
2015-07-17,87.77,87.77,86.94,87.09,2289878
2015-07-20,87.22,89.36,87.18,88.01,2746019
2015-07-21,88.11,88.29,86.92,87.39,4599358
2015-07-22,87.24,87.75,85.2,86.18,8271674
2015-07-23,86.5,86.5,85.3,85.8,3978852
2015-07-24,86.08,86.29,84.0,84.0,9420763
2015-07-27,84.3,85.45,84.02,84.9,3364757
2015-07-28,85.15,85.62,84.85,85.2,6351993
2015-07-29,85.44,86.85,85.15,85.8,4535352
2015-07-30,85.56,86.05,85.21,85.95,3138490
2015-07-31,85.87,86.4,84.64,85.12,7107869
2015-08-03,84.7,86.24,84.7,85.82,4639499
2015-08-04,86.02,86.69,82.74,85.81,7461111
2015-08-05,85.99,86.2,83.64,83.73,4602244
2015-08-06,84.48,85.28,84.28,85.0,3983327
2015-08-07,85.38,85.38,84.88,85.21,2634982
2015-08-10,85.39,85.69,84.61,84.87,2663099
2015-08-11,85.33,85.33,83.62,83.89,3148153
2015-08-12,84.04,84.26,82.5,83.75,5438761
2015-08-13,83.68,84.81,83.67,84.25,7281688
2015-08-14,84.25,84.41,82.5,82.77,3919098
2015-08-17,82.57,82.57,80.81,81.59,8057718
2015-08-18,81.66,81.87,80.12,80.45,5063965
2015-08-19,80.1,81.19,78.76,79.01,8401396
2015-08-20,79.0,79.87,78.55,79.27,7199412
2015-08-21,79.0,79.0,76.0,77.12,11656308
2015-08-24,73.21,76.99,72.19,76.14,9121589
2015-08-25,79.49,79.8,77.01,78.59,14579507
2015-08-26,78.71,79.71,78.0,78.84,7140636
2015-08-27,79.5,81.19,78.6,80.85,21634833
2015-08-28,80.85,80.99,79.5,79.75,8154866
2015-08-31,79.05,80.74,78.7,79.98,7301131
2015-09-01,78.99,79.88,77.3,77.36,6105329
2015-09-02,77.83,78.8,76.01,77.0,5307347
2015-09-03,77.6,79.61,77.6,78.0,4422991
2015-09-04,77.8,78.29,76.2,77.51,5220062
2015-09-07,76.7,78.49,76.7,76.82,844010
2015-09-08,77.01,77.94,76.76,77.04,2648678
2015-09-09,77.69,78.87,77.35,77.71,7412390
2015-09-10,77.55,78.4,77.1,77.13,2834235
2015-09-11,77.61,77.76,76.3,76.77,3810249
2015-09-14,76.78,77.89,76.62,77.58,2319411
2015-09-15,77.79,78.98,77.02,78.7,5533240
2015-09-17,79.0,81.0,77.41,80.07,9385950
2015-09-18,78.8,81.26,78.8,80.74,10689555
2015-09-21,80.45,80.92,79.29,79.75,2470939
2015-09-22,79.21,79.76,78.75,79.49,3000436
2015-09-23,79.5,80.35,79.15,80.21,3520796
2015-09-24,79.51,80.89,79.51,79.8,4713411
2015-09-25,79.61,80.79,79.61,80.17,3065267
2015-09-28,80.03,80.78,79.05,80.12,6541803
2015-09-29,79.86,81.01,78.81,80.9,4512702
2015-09-30,80.92,83.18,80.51,82.92,7797567
2015-10-01,83.5,83.6,82.29,82.84,7710581
2015-10-02,82.88,84.24,81.95,83.71,4156882
2015-10-05,84.5,84.8,82.81,83.94,4531830
2015-10-06,83.73,84.17,82.0,82.4,5271134
2015-10-07,83.19,83.99,81.97,82.09,6791043
2015-10-08,82.12,82.71,81.96,82.41,6097366
2015-10-09,82.79,84.4,82.4,83.12,5750782
2015-10-12,83.99,84.53,83.54,83.9,11552582
2015-10-13,83.88,85.0,83.75,84.85,7272101
2015-10-14,84.11,85.3,84.11,85.14,4778512
2015-10-15,85.0,86.2,84.01,86.0,5389804
2015-10-16,85.41,88.17,85.41,88.1,9840215
2015-10-19,87.7,88.49,86.53,88.3,6539357
2015-10-20,88.01,88.11,87.2,88.11,3886968
2015-10-21,88.29,88.68,87.32,88.0,2901582
2015-10-22,88.2,89.99,87.23,88.0,4152884
2015-10-23,88.5,91.15,88.38,91.01,8671348
2015-10-26,91.21,91.21,87.75,88.11,2824435
2015-10-27,88.27,90.0,87.2,89.89,4997227
2015-10-28,88.91,92.0,88.91,91.59,6891295
2015-10-29,91.39,91.59,90.21,90.8,3173733
2015-10-30,91.0,91.15,88.31,88.43,5322626
2015-11-03,88.02,94.19,88.02,93.8,9500296
2015-11-04,93.18,96.59,93.18,96.59,9969953
2015-11-05,96.08,96.57,94.5,94.51,6114944
2015-11-06,94.74,95.41,93.54,94.84,3097906
2015-11-09,94.6,94.99,91.5,91.9,7204109
2015-11-10,89.1,91.98,89.1,91.49,4436116
2015-11-11,91.1,92.49,91.1,91.77,3024591
2015-11-12,91.21,92.1,90.8,91.08,1494969
2015-11-13,90.71,91.69,89.23,89.85,4726781
2015-11-17,90.59,93.16,89.62,93.13,6787256
2015-11-18,92.2,93.91,92.2,93.76,8760740
2015-11-19,93.89,93.99,91.11,91.55,4130859
2015-11-20,91.47,94.17,91.47,94.02,3962983
2015-11-23,93.99,93.99,91.42,92.34,1755953
2015-11-24,91.61,92.05,90.38,90.98,4002056
2015-11-25,90.76,91.0,88.53,88.54,5045165
2015-11-26,88.52,90.29,88.52,90.29,1169032
2015-11-27,89.41,90.75,88.56,89.53,2060789
2015-11-30,90.69,90.69,88.56,88.9,17098430
2015-12-01,88.91,91.99,88.91,91.4,6869974
2015-12-02,91.5,92.02,89.31,90.15,5552134
2015-12-03,90.0,90.26,88.5,89.31,3589647
2015-12-04,89.79,90.03,88.83,89.26,3586653
2015-12-07,89.49,89.89,87.75,88.0,5938147
2015-12-08,88.89,88.89,87.01,87.62,4522042
2015-12-09,87.99,91.0,87.42,89.95,3057111
2015-12-10,90.19,90.29,87.99,88.8,7187271
2015-12-11,88.51,89.57,88.06,88.41,3628927
2015-12-14,88.31,89.49,87.6,88.11,5461652
2015-12-15,88.36,93.68,88.36,91.0,13725978
2015-12-16,91.99,94.92,91.58,94.51,9077330
2015-12-17,94.89,97.0,94.6,96.35,8182110
2015-12-18,95.51,96.5,95.15,95.74,10966779
2015-12-21,96.0,96.0,93.83,94.05,3673700
2015-12-22,94.82,94.84,92.12,93.56,4700088
2015-12-23,93.56,94.74,92.62,93.5,2910456
2015-12-24,93.74,94.39,93.0,93.06,836791
2015-12-28,93.15,94.4,93.06,93.89,1083101
2015-12-29,94.04,94.74,94.04,94.5,1761807
2015-12-30,94.44,94.99,93.63,94.01,1731396
2015-12-31,93.61,95.39,93.61,94.8,1187706
2016-01-04,93.71,94.01,91.41,91.5,4795720
2016-01-05,91.81,92.18,91.03,91.79,8491911
2016-01-06,91.35,91.99,91.01,91.53,13166577
2016-01-07,91.25,91.25,88.15,89.21,7599840
2016-01-08,91.33,91.33,88.41,89.0,7758573
2016-01-11,88.6,89.79,88.6,89.1,11090411
2016-01-12,89.31,90.0,89.02,89.35,12510697
2016-01-13,89.7,89.7,88.01,88.41,8402889
2016-01-14,88.05,88.76,87.4,87.5,7017485
2016-01-15,87.0,87.0,85.04,85.48,8865712
2016-01-18,85.3,85.97,85.0,85.4,1167228
2016-01-19,86.18,86.3,85.05,85.85,12462332
2016-01-20,85.9,85.9,84.06,85.4,8655501
2016-01-21,85.25,85.5,82.89,83.02,6771303
2016-01-22,84.09,85.39,84.0,85.21,6360916
2016-01-25,84.21,86.39,84.21,85.79,2818879
2016-01-26,86.65,86.65,85.76,86.5,11251233
2016-01-27,86.53,88.89,86.51,87.92,5248162
2016-01-28,88.58,89.29,88.0,88.61,5744804
2016-01-29,89.4,95.34,89.4,94.5,11741667
2016-02-02,94.0,94.0,89.61,89.9,7472571
2016-02-03,90.11,91.39,89.67,91.26,4987289
2016-02-04,91.64,91.78,90.31,90.5,3463303
2016-02-05,90.31,90.99,89.04,89.29,2625821
2016-02-08,89.01,89.41,87.11,88.08,2219626
2016-02-09,87.2,88.37,85.5,85.96,5036825
2016-02-10,86.89,89.51,86.31,88.35,3645530
2016-02-11,88.35,88.35,85.01,87.06,4382163
2016-02-12,87.5,87.8,85.4,85.88,4060057
2016-02-15,85.68,87.7,85.68,87.68,1495910
2016-02-16,87.59,87.77,86.31,86.43,3288319
2016-02-17,86.95,93.25,86.93,92.28,9860570
2016-02-18,91.43,92.78,90.53,91.39,6168792
2016-02-19,91.58,92.01,90.51,92.01,4547771
2016-02-22,91.65,91.99,90.88,91.27,2847828
2016-02-23,91.4,92.0,90.32,90.5,2803858
2016-02-24,90.0,91.68,88.0,90.57,4255498
2016-02-25,90.22,91.1,89.65,90.68,2711310
2016-02-26,91.0,91.03,89.49,89.63,3941375
2016-02-29,90.38,91.99,89.93,91.51,6884184
2016-03-01,91.89,95.0,91.76,94.61,5970881
2016-03-02,94.3,94.91,93.21,93.9,5683211
2016-03-03,93.9,94.59,93.49,93.92,2987641
2016-03-04,94.12,96.0,93.61,95.06,15753259
2016-03-07,95.0,96.5,94.61,95.78,6270699
2016-03-08,95.81,96.0,95.31,95.75,6113429
2016-03-09,96.0,96.5,93.99,96.25,6959286
2016-03-10,96.51,96.65,93.21,93.62,4348881
2016-03-11,93.5,96.15,93.49,95.01,5178636
2016-03-14,94.98,94.99,92.66,93.6,3318040
2016-03-15,93.5,95.09,93.21,94.95,4626532
2016-03-16,94.11,97.49,94.11,97.37,4442639
2016-03-17,97.05,99.44,95.5,97.44,6226076
2016-03-18,97.67,99.5,96.92,98.73,14943688
2016-03-22,98.51,99.39,98.11,98.48,6737447
2016-03-23,99.35,99.35,95.99,96.71,6011585
2016-03-28,96.71,98.61,96.41,98.45,8178538
2016-03-29,98.4,99.77,97.34,99.33,4754339
2016-03-30,99.45,99.9,97.41,99.13,6661258
2016-03-31,98.81,99.8,96.82,97.91,5751825
2016-04-01,97.28,98.79,97.11,97.99,3933473
2016-04-04,97.99,98.0,95.11,96.1,3087333
2016-04-05,95.79,95.79,91.63,93.45,2873165
2016-04-06,93.65,96.52,93.31,95.95,5890377
2016-04-07,95.71,96.58,93.98,94.74,6461470
2016-04-08,94.16,95.36,92.99,93.51,4566565
2016-04-11,93.89,94.89,93.52,93.99,2788701
2016-04-12,93.62,94.64,93.51,93.81,4166224
2016-04-13,94.5,94.72,93.71,94.1,6026256
2016-04-14,94.35,94.68,93.01,93.43,4904641
2016-04-15,93.4,94.31,93.31,94.1,5228797
2016-04-18,93.41,94.48,93.41,93.72,3112055
2016-04-19,93.81,95.59,93.81,95.0,17187204
2016-04-20,95.1,95.7,94.51,95.61,4327733
2016-04-21,95.51,96.0,95.11,95.65,10618224
2016-04-22,95.99,95.99,94.65,95.39,5207188
2016-04-25,94.91,96.25,94.81,95.66,4036298
2016-04-26,95.66,96.09,95.13,95.89,4974055
2016-04-27,95.99,98.19,95.29,98.16,7703564
2016-04-28,97.99,97.99,95.71,96.35,4431963
2016-04-29,96.13,97.98,96.01,97.82,4764396
2016-05-02,97.69,99.29,96.0,98.92,3703759
2016-05-03,98.57,98.6,96.49,96.52,5908909
2016-05-04,96.41,96.63,95.51,96.05,4694058
2016-05-05,96.02,97.23,96.02,96.5,3303407
2016-05-06,96.11,97.13,94.99,96.58,5325269
2016-05-09,95.61,97.29,95.61,96.49,2345440
2016-05-10,95.92,97.98,95.92,97.98,2455746
2016-05-11,97.74,98.38,96.96,97.88,3172589
2016-05-12,98.5,99.15,98.12,98.82,4396652
2016-05-13,98.12,98.84,97.5,97.88,2585023
2016-05-16,98.0,99.89,97.76,98.96,2710365
2016-05-17,99.49,99.59,97.91,99.07,3790976
