Date,Open,High,Low,Close,Volume
2015-01-02,74.13,74.22,71.1,72.14,137520
2015-01-05,72.5,72.51,69.48,70.0,617088
2015-01-06,70.26,72.94,68.89,71.93,593369
2015-01-07,72.32,74.75,72.32,74.33,302243
2015-01-08,74.3,75.48,73.6,74.1,605385
2015-01-09,73.94,75.26,73.94,75.0,441882
2015-01-12,75.0,75.2,74.41,75.1,242063
2015-01-13,75.09,75.25,73.6,74.05,425755
2015-01-14,73.86,73.88,72.55,72.74,562885
2015-01-15,72.84,72.86,71.71,72.12,683829
2015-01-16,72.0,74.05,71.99,73.66,118623
2015-01-19,74.05,74.05,73.01,73.62,81032
2015-01-20,73.41,76.3,73.41,76.25,880855
2015-01-21,76.05,77.52,75.01,76.92,878307
2015-01-22,77.49,83.61,77.17,79.66,1384551
2015-01-23,79.8,79.86,75.12,78.34,614942
2015-01-26,78.0,79.79,78.0,78.9,200052
2015-01-27,78.92,79.85,78.25,79.59,275823
2015-01-28,79.6,80.0,78.0,79.61,623327
2015-01-29,79.54,79.89,78.41,79.33,210366
2015-01-30,79.25,79.25,77.0,77.68,637953
2015-02-03,77.55,77.55,74.82,76.0,866845
2015-02-04,75.95,78.76,75.59,78.25,478971
2015-02-05,78.26,79.5,78.25,79.44,501095
2015-02-06,79.5,79.5,77.12,78.49,239392
2015-02-09,78.5,79.02,76.03,77.3,431425
2015-02-10,77.05,78.08,76.03,77.61,453422
2015-02-11,77.04,77.05,75.05,75.12,621671
2015-02-12,76.0,77.46,75.21,77.4,253493
2015-02-13,77.4,77.75,76.05,77.73,163875
2015-02-16,77.25,77.76,76.55,76.76,26844
2015-02-17,77.77,77.77,76.51,77.39,521103
2015-02-18,77.17,78.1,76.03,77.89,475078
2015-02-19,77.85,79.3,77.85,79.14,565515
2015-02-20,79.0,79.22,78.55,79.01,287350
2015-02-23,78.99,79.5,77.6,79.3,616469
2015-02-24,78.5,78.58,76.9,77.3,611012
2015-02-25,77.2,78.6,76.2,77.93,388433
2015-02-26,78.03,79.8,77.02,77.35,672988
2015-02-27,77.49,80.0,77.11,79.73,776453
2015-03-02,79.0,80.25,78.11,79.46,668114
2015-03-03,79.69,80.04,78.0,78.0,504455
2015-03-04,78.04,78.19,77.4,77.4,327631
2015-03-05,77.67,80.24,77.67,79.3,620413
2015-03-06,79.66,80.24,78.9,79.7,415577
2015-03-09,79.68,80.26,77.61,78.18,586064
2015-03-10,78.25,78.35,77.0,77.43,535885
2015-03-11,77.43,78.03,77.43,77.58,165340
2015-03-12,77.51,78.6,77.5,78.15,612494
2015-03-13,78.21,78.65,77.62,78.38,126707
2015-03-17,78.31,78.7,77.56,78.2,205535
2015-03-18,78.4,78.69,77.53,78.6,1012218
2015-03-19,78.47,78.59,76.86,77.3,548705
2015-03-20,77.36,79.7,77.36,79.5,987114
2015-03-23,79.1,79.1,77.77,78.37,553533
2015-03-24,78.09,79.3,78.09,79.3,265161
2015-03-25,79.06,79.49,77.68,78.34,554179
2015-03-26,78.34,79.3,77.82,79.24,537102
2015-03-27,79.3,79.49,78.26,79.0,159369
2015-03-30,79.01,79.19,77.68,77.82,63378
2015-03-31,77.86,78.0,77.41,77.71,458303
2015-04-01,77.71,78.8,77.4,78.1,160279
2015-04-06,78.1,79.0,77.89,78.89,507949
2015-04-07,78.99,79.5,78.79,79.48,535475
2015-04-08,79.5,83.23,78.8,82.21,1692595
2015-04-09,83.0,83.44,81.49,81.92,631681
2015-04-10,81.97,82.48,81.07,82.1,306931
2015-04-13,82.1,82.49,80.0,80.53,550117
