Date,Open,High,Low,Close,Volume
2015-01-02,42.4,43.28,41.8,42.2,5411046
2015-01-05,42.39,42.41,40.2,40.75,12175199
2015-01-06,40.75,41.03,40.0,40.68,13932472
2015-01-07,41.47,42.0,40.71,41.7,6962552
2015-01-08,41.89,42.62,41.35,42.21,7826027
2015-01-09,42.45,42.45,41.64,42.23,5053000
2015-01-12,42.16,42.16,41.09,41.28,6149278
2015-01-13,40.89,41.48,39.92,40.38,8995788
2015-01-14,39.0,39.25,38.01,38.44,54261720
2015-01-15,39.1,39.29,38.66,38.99,15242793
2015-01-16,39.05,40.24,38.57,40.0,16072374
2015-01-19,39.99,40.15,39.3,39.43,7490886
2015-01-20,39.52,39.83,39.05,39.68,8441845
2015-01-21,39.74,41.47,39.2,41.44,9558099
2015-01-22,41.63,42.41,41.59,41.8,12176647
2015-01-23,41.4,41.45,40.11,40.47,14366904
2015-01-26,40.38,41.6,40.06,41.54,7020079
2015-01-27,41.5,41.5,40.28,41.08,12103736
2015-01-28,41.3,41.89,40.46,40.63,6386963
2015-01-29,40.57,40.84,40.01,40.21,7134724
2015-01-30,40.0,40.21,39.33,39.52,13833049
2015-02-03,40.1,41.9,40.1,41.08,13044868
2015-02-04,42.26,44.03,41.87,43.7,28316346
2015-02-05,44.0,45.0,43.45,44.64,26099034
2015-02-06,44.3,45.55,44.3,45.18,9967963
2015-02-09,45.15,45.43,44.71,45.2,7505045
2015-02-10,45.2,45.35,44.35,44.63,10634671
2015-02-11,44.2,44.7,43.6,44.17,8364141
2015-02-12,44.34,45.11,44.14,44.87,7083979
2015-02-13,45.15,45.45,44.91,45.22,5734221
2015-02-16,44.96,45.45,44.66,44.99,570960
2015-02-17,44.86,45.52,44.38,45.49,4302462
2015-02-18,45.6,45.8,44.9,45.64,6985070
2015-02-19,45.35,46.19,45.16,46.06,10652526
2015-02-20,46.19,47.13,45.9,46.85,22917089
2015-02-23,46.69,47.3,46.46,47.03,7801479
2015-02-24,47.09,47.09,45.65,46.28,5761500
2015-02-25,46.1,46.67,45.0,45.22,14022036
2015-02-26,45.5,46.3,45.25,45.8,9361158
2015-02-27,46.24,46.24,44.9,45.44,8096190
2015-03-02,45.35,45.79,44.82,45.4,8901484
2015-03-03,45.3,45.42,44.61,44.62,7219806
2015-03-04,44.51,44.92,44.19,44.74,6495788
2015-03-05,44.52,45.2,44.52,44.69,11665140
2015-03-06,44.16,45.2,43.4,43.75,8099539
2015-03-09,44.04,44.15,43.3,43.87,5491876
2015-03-10,43.97,44.23,43.02,43.2,10317240
2015-03-11,43.29,44.18,43.02,43.8,8214257
2015-03-12,43.71,45.23,43.71,45.2,6794361
2015-03-13,44.43,45.29,44.43,45.0,5178148
2015-03-17,44.7,45.48,44.55,44.68,6598090
2015-03-18,45.0,45.48,44.2,45.45,6579864
2015-03-19,45.46,45.95,45.19,45.75,7972565
2015-03-20,45.16,46.73,45.16,46.0,14398349
2015-03-23,46.2,46.2,45.72,46.17,3785030
2015-03-24,46.69,46.69,45.95,46.1,8446311
2015-03-25,45.85,46.31,45.76,46.0,5424069
2015-03-26,45.92,45.99,45.2,45.22,8057466
2015-03-27,45.29,45.31,43.21,44.48,18908116
2015-03-30,44.6,45.24,44.22,45.06,7196323
2015-03-31,44.9,45.18,44.23,44.98,7255914
2015-04-01,45.17,45.18,44.28,44.65,5031724
2015-04-06,44.41,45.23,44.15,45.17,4304271
2015-04-07,45.29,45.89,44.71,45.21,10285167
2015-04-08,45.23,45.79,45.05,45.48,3698037
2015-04-09,44.99,45.47,44.71,45.01,4317015
2015-04-10,44.76,44.96,44.35,44.7,5706426
2015-04-13,44.7,45.29,44.5,45.15,5725502
2015-04-14,45.0,46.31,44.98,46.17,14742067
2015-04-15,45.95,46.59,45.95,46.47,7939585
2015-04-16,46.55,46.7,46.09,46.16,4505003
2015-04-17,46.01,46.4,45.65,45.78,5007780
2015-04-20,45.8,45.99,45.57,45.81,2128294
2015-04-21,45.79,46.0,45.39,45.53,4615663
2015-04-22,45.55,45.89,45.14,45.79,3005055
2015-04-23,45.38,46.18,45.38,45.99,3194692
2015-04-24,46.01,46.98,46.0,46.8,6859453
2015-04-27,46.7,47.4,46.7,46.96,8494293
2015-04-28,47.24,47.89,46.55,47.6,10588527
2015-04-29,47.85,47.85,46.85,46.96,6672605
2015-04-30,47.48,47.5,46.82,47.41,9191128
2015-05-04,47.54,47.9,47.3,47.88,6028116
