Date,Open,High,Low,Close,Volume
2015-01-02,156.53,158.63,152.5,153.65,420132
2015-01-05,152.39,152.39,147.38,148.58,801315
2015-01-06,148.6,152.71,147.0,151.17,382979
2015-01-07,152.0,153.34,148.5,148.86,757212
2015-01-08,150.69,155.89,148.87,154.1,559393
2015-01-09,150.31,155.8,150.31,154.25,368545
2015-01-12,155.8,155.8,151.41,152.11,339159
2015-01-13,151.05,153.8,149.23,150.38,415611
2015-01-14,149.0,155.8,148.5,153.64,1235795
2015-01-15,152.51,155.0,152.5,154.99,705157
2015-01-16,153.5,155.0,153.5,154.99,413230
2015-01-19,155.27,155.5,153.3,154.8,147750
2015-01-20,155.5,157.0,153.5,156.58,1112899
2015-01-21,157.3,164.74,155.61,162.0,1675896
2015-01-22,161.91,169.88,160.95,167.29,1256851
2015-01-23,166.97,167.99,165.2,166.3,698730
2015-01-26,165.74,169.7,165.1,169.7,1029581
2015-01-27,169.45,169.45,163.23,167.0,1458039
2015-01-28,168.99,168.99,164.68,166.0,501484
2015-01-29,166.9,167.4,165.97,166.99,1206053
2015-01-30,166.99,169.19,160.5,160.5,1892791
2015-02-03,162.4,169.6,161.0,167.44,1307880
2015-02-04,169.5,170.0,168.22,169.0,683569
2015-02-05,169.91,173.92,168.82,173.39,1241934
2015-02-06,172.5,174.0,171.2,173.15,1732203
2015-02-09,173.22,173.4,170.73,171.31,598243
2015-02-10,172.74,173.0,170.9,172.37,712940
2015-02-11,172.37,172.5,168.21,169.0,1006666
2015-02-12,172.29,172.29,168.95,169.76,955401
2015-02-13,170.19,170.2,167.4,167.91,1235349
2015-02-16,168.01,171.37,168.0,171.25,65990
2015-02-17,170.7,171.14,168.2,170.45,326483
2015-02-18,170.5,170.99,168.5,169.2,616200
2015-02-19,168.55,173.0,168.55,171.78,570537
2015-02-20,172.56,177.49,172.04,175.3,533628
2015-02-23,175.46,182.32,174.31,179.49,792671
2015-02-24,179.51,180.35,175.85,176.74,660485
2015-02-25,176.0,178.77,172.4,173.7,864039
2015-02-26,174.2,182.0,173.64,180.0,2768749
2015-02-27,180.0,185.68,179.9,184.47,1146475
2015-03-02,183.13,194.62,183.13,193.01,2105104
2015-03-03,192.0,194.0,189.0,189.8,1314547
2015-03-04,191.9,202.05,191.9,196.2,1375909
2015-03-05,194.87,199.99,194.87,197.55,843757
2015-03-06,197.18,198.18,195.87,197.24,379168
2015-03-09,197.36,204.0,196.82,201.8,1247434
2015-03-10,202.85,205.0,197.01,197.12,851404
2015-03-11,198.0,202.0,192.8,194.36,1254961
2015-03-12,196.9,203.16,195.27,202.29,770327
2015-03-13,203.4,207.33,200.81,207.25,792670
2015-03-17,205.66,209.0,202.2,205.24,1165828
2015-03-18,204.26,207.0,198.7,204.6,1122808
2015-03-19,203.81,205.88,198.5,198.94,1051992
2015-03-20,200.01,203.99,200.0,200.78,1324357
2015-03-23,201.56,201.56,196.38,197.59,762555
2015-03-24,200.65,202.89,199.16,199.75,1191150
2015-03-25,199.16,202.0,193.02,194.4,1410650
2015-03-26,194.37,195.64,193.06,194.95,1197414
2015-03-27,194.92,197.19,193.33,196.07,800186
2015-03-30,197.11,199.9,196.0,198.19,579025
2015-03-31,198.18,199.21,192.0,194.09,1039316
2015-04-01,195.85,198.98,194.09,196.5,4182755
2015-04-06,198.5,202.5,196.76,200.24,1162249
2015-04-07,201.48,202.49,198.55,201.93,769699
2015-04-08,201.93,202.39,200.38,201.53,1508940
2015-04-09,200.81,202.3,197.12,197.9,911962
2015-04-10,197.72,199.7,197.71,199.0,1838815
2015-04-13,199.34,203.25,198.99,201.67,731315
2015-04-14,202.95,202.95,197.08,199.96,2007313
2015-04-15,200.54,202.29,200.18,201.48,473472
2015-04-16,201.0,201.99,199.13,201.66,718374
2015-04-17,201.5,201.8,196.06,196.57,787917
2015-04-20,197.06,198.95,195.51,195.57,754763
2015-04-21,196.8,201.21,195.62,201.07,889586
2015-04-22,200.4,202.0,198.23,200.73,690001
2015-04-23,199.8,200.99,195.0,196.27,1294714
2015-04-24,197.48,197.48,192.15,192.92,883288
2015-04-27,192.58,193.86,185.14,187.17,1404715
2015-04-28,190.0,190.0,184.88,188.95,1217192
2015-04-29,190.0,190.0,185.0,185.01,1003919
2015-04-30,185.02,185.69,182.5,184.82,657522
2015-05-04,185.1,193.69,185.06,192.9,1202517
2015-05-05,193.5,193.75,185.2,186.27,1145223
2015-05-06,187.99,188.1,184.25,185.64,593888
2015-05-07,185.46,189.98,185.19,188.49,417889
2015-05-08,188.6,191.99,188.6,189.95,811815
2015-05-11,190.67,190.99,185.52,187.4,530085
2015-05-12,187.17,191.7,187.17,191.06,714011
2015-05-13,191.44,192.98,190.0,192.91,928818
2015-05-14,192.5,193.19,188.5,188.5,835171
2015-05-15,188.99,194.5,188.99,194.01,1323292
2015-05-18,192.8,194.5,189.95,194.5,594459
2015-05-19,185.11,197.5,185.11,196.55,900185
2015-05-20,197.04,199.3,196.73,199.0,1054901
2015-05-21,199.0,199.97,196.1,198.5,1045999
2015-05-22,197.89,199.0,196.75,197.49,425673
2015-05-25,197.5,198.0,196.55,197.04,59794
2015-05-26,196.28,197.04,194.48,195.2,837404
2015-05-27,195.0,198.78,194.67,198.45,651699
2015-05-28,198.51,200.0,197.57,199.9,723274
2015-05-29,198.5,204.0,197.99,202.48,3539507
2015-06-01,202.5,203.0,198.59,199.11,788902
2015-06-02,199.0,201.42,197.4,198.5,740765
2015-06-03,199.25,202.99,198.0,202.04,921527
2015-06-04,203.25,204.48,201.23,202.8,1541242
2015-06-05,202.2,203.95,199.8,200.01,384732
2015-06-08,198.5,203.01,198.5,202.96,417477
2015-06-09,203.49,204.99,200.51,202.0,741983
2015-06-10,201.3,204.5,200.51,204.18,933902
2015-06-11,204.24,204.49,201.76,202.5,544061
2015-06-12,203.99,205.0,201.0,204.72,811227
2015-06-15,204.99,204.99,202.0,203.99,439568
2015-06-16,202.8,206.97,202.37,205.7,587182
2015-06-17,206.4,206.4,202.71,203.34,657954
2015-06-18,203.36,203.36,200.0,200.98,1281295
2015-06-19,202.89,202.89,199.47,199.9,1083079
2015-06-22,200.0,202.0,199.58,201.5,675012
2015-06-23,201.8,204.42,200.88,203.51,331289
2015-06-24,201.6,204.0,200.8,203.3,617610
2015-06-25,204.0,204.24,199.01,199.72,817993
2015-06-26,199.99,202.99,199.55,202.69,788985
2015-06-29,199.84,202.2,199.6,201.61,448288
2015-06-30,200.92,203.21,200.15,202.75,1589308
2015-07-01,203.0,203.5,198.29,198.45,590459
2015-07-02,198.6,200.99,197.52,198.46,703798
2015-07-03,198.5,199.96,198.01,199.33,232629
