Date,Open,High,Low,Close,Volume
2015-01-02,74.3,74.99,73.92,74.6,550461
2015-01-05,74.0,74.0,69.5,70.65,1309676
2015-01-06,70.71,70.88,69.51,70.74,2233406
2015-01-07,70.7,73.27,70.05,71.99,879212
2015-01-08,73.2,74.2,73.15,74.18,676597
2015-01-09,74.35,74.35,72.51,73.55,885007
2015-01-12,73.18,73.72,72.0,72.34,288997
2015-01-13,72.25,73.99,69.09,70.8,1015925
2015-01-14,69.5,70.43,69.21,69.61,621994
2015-01-15,70.08,70.81,69.6,70.11,1161428
2015-01-16,70.09,72.95,70.09,72.1,319299
2015-01-19,72.24,72.32,70.8,71.29,49516
2015-01-20,71.6,72.75,71.49,71.75,3790403
2015-01-21,71.82,71.99,70.37,71.33,1025930
2015-01-22,71.6,71.6,69.98,71.17,3206235
2015-01-23,71.2,71.67,71.1,71.1,947401
2015-01-26,71.37,72.77,71.37,72.51,508745
2015-01-27,72.3,72.59,71.73,72.5,313920
2015-01-28,72.38,74.15,71.81,74.0,1011540
2015-01-29,74.0,74.15,72.03,72.24,1229724
2015-01-30,72.2,72.24,71.16,71.17,271623
2015-02-03,71.65,72.5,70.82,71.93,1780910
2015-02-04,71.95,72.11,70.95,71.25,921531
2015-02-05,71.21,72.9,70.58,72.19,3449498
2015-02-09,73.49,73.49,71.67,72.32,663463
2015-02-10,72.1,72.45,71.0,71.24,328142
2015-02-11,71.4,71.87,70.5,71.85,2033615
2015-02-12,71.76,72.16,71.0,71.25,1540487
2015-02-13,71.61,73.3,71.61,73.11,2931826
2015-02-16,73.01,73.85,72.36,73.1,52770
2015-02-17,73.25,74.8,72.93,74.75,393010
2015-02-18,74.37,74.8,73.21,73.85,996837
2015-02-19,74.15,75.45,73.55,74.77,1032804
2015-02-20,74.65,75.5,74.31,75.5,737616
2015-02-23,75.4,77.8,74.8,77.5,1071323
2015-02-24,77.4,77.85,76.6,77.75,1210836
2015-02-25,77.54,78.5,77.3,78.3,904438
2015-02-26,78.25,80.0,77.56,79.28,2121703
2015-02-27,79.89,79.89,76.85,78.62,786761
2015-03-02,78.36,78.59,77.21,78.38,1017576
2015-03-03,78.35,78.35,77.56,77.82,1953858
2015-03-04,78.15,78.15,77.0,77.73,829588
2015-03-05,78.0,79.03,77.74,78.9,634129
2015-03-06,78.81,80.45,78.75,80.12,1200164
2015-03-09,80.09,80.78,79.4,80.44,769405
2015-03-10,80.4,80.4,79.18,79.75,1593482
2015-03-11,81.0,81.0,79.56,80.22,1457469
2015-03-12,80.06,81.0,79.99,80.92,1736859
2015-03-13,80.85,81.12,80.45,80.71,642644
2015-03-17,80.56,82.16,80.51,82.0,1022442
2015-03-18,80.51,84.0,80.51,83.94,1312470
2015-03-19,83.94,84.89,80.54,84.3,1408066
2015-03-20,84.9,84.9,83.6,83.99,797428
2015-03-23,83.9,83.9,82.41,83.31,1410365
2015-03-24,83.6,84.0,82.75,83.11,1464275
2015-03-25,83.0,83.35,82.01,82.2,483258
2015-03-26,81.9,83.28,81.87,82.49,1369404
2015-03-27,82.78,83.18,81.0,82.52,661779
2015-03-30,82.7,83.9,82.7,83.52,686946
2015-03-31,83.2,83.77,82.94,83.31,888006
2015-04-01,83.24,83.55,80.0,82.55,355438
2015-04-06,82.8,85.13,82.8,85.12,1044489
2015-04-07,85.35,86.0,84.7,85.9,1386879
2015-04-08,85.42,85.74,82.3,82.99,1652698
2015-04-09,82.61,83.3,82.31,83.21,721374
2015-04-10,83.35,83.35,81.8,82.11,599731
2015-04-13,82.97,82.97,81.53,82.12,488894
