Date,Open,High,Low,Close,Volume
2015-01-02,31.9,32.19,30.46,30.82,1977017
2015-01-05,30.81,30.95,29.88,30.46,3300751
2015-01-06,30.49,31.0,29.9,30.91,2925890
2015-01-07,31.0,31.33,30.51,31.0,1937783
2015-01-08,31.49,31.8,30.6,31.35,2789970
2015-01-09,31.2,31.64,30.6,30.97,2589565
2015-01-12,30.87,31.7,30.79,31.61,2724082
2015-01-13,31.7,32.29,31.0,31.64,2494047
2015-01-14,31.46,32.15,31.02,31.73,5564201
2015-01-15,31.3,32.21,31.11,31.8,7787760
2015-01-16,31.7,31.93,31.15,31.58,2482009
2015-01-19,31.99,31.99,30.73,31.29,1971831
2015-01-20,31.12,31.29,30.52,30.6,4974031
2015-01-21,30.51,31.49,30.26,30.99,2914818
2015-01-22,31.5,31.55,30.0,30.28,6881025
2015-01-23,30.1,31.5,30.1,30.45,2938495
2015-01-26,30.6,31.0,30.01,30.17,2353021
2015-01-27,29.7,30.1,29.51,29.95,2527247
2015-01-28,30.1,30.1,29.2,29.61,2546375
2015-01-29,29.45,29.68,29.01,29.08,1901374
2015-01-30,29.2,29.33,28.6,29.14,3430354
2015-02-03,29.8,29.8,28.6,28.87,3779781
2015-02-04,28.67,29.49,28.62,29.0,1877697
2015-02-05,29.04,29.79,28.8,29.56,4934259
2015-02-06,29.8,30.5,29.66,30.47,5615959
2015-02-09,30.42,30.65,30.2,30.5,3180358
2015-02-10,30.64,30.81,29.75,30.09,2993045
2015-02-11,29.61,30.1,29.0,29.25,3304415
2015-02-12,29.11,30.51,29.11,30.16,2286129
2015-02-13,30.3,30.75,29.71,30.5,2245472
2015-02-16,29.8,30.8,29.8,30.59,163786
2015-02-17,30.5,30.79,30.38,30.78,1221598
2015-02-18,30.49,31.6,30.12,31.6,3224458
2015-02-19,31.06,31.78,31.05,31.68,2233292
2015-02-20,31.4,31.62,31.23,31.5,3236493
2015-02-23,31.5,31.5,30.61,30.98,4003244
2015-02-24,30.98,31.24,30.51,30.88,3180508
2015-02-25,30.6,30.99,30.1,30.44,3218883
