Date,Open,High,Low,Close,Volume
2015-01-02,127.47,128.94,126.07,126.36,374803
2015-01-05,126.59,126.81,124.0,126.15,697297
2015-01-06,126.24,128.63,124.85,127.63,472644
2015-01-07,128.41,129.72,126.5,127.51,777507
2015-01-08,127.6,129.8,127.6,129.25,547581
2015-01-09,128.84,131.65,128.1,130.37,599912
2015-01-12,129.85,131.88,129.34,130.28,518184
2015-01-13,130.92,133.0,129.26,131.2,530145
2015-01-14,130.97,131.86,128.5,129.15,980785
2015-01-15,128.83,129.5,125.0,125.42,834324
2015-01-16,125.2,130.0,125.0,127.3,333369
2015-01-19,127.06,127.15,125.1,125.3,128720
2015-01-20,125.58,128.9,125.58,127.3,478176
2015-01-21,127.5,129.15,126.5,128.22,856259
2015-01-22,128.1,132.33,127.5,128.0,1296896
2015-01-23,127.25,127.7,125.0,125.63,752482
2015-01-26,125.12,125.12,123.55,124.74,1504005
2015-01-27,123.5,127.1,123.5,126.9,823993
2015-01-28,126.19,127.06,124.51,125.22,467774
2015-01-29,125.67,125.77,123.51,123.62,812123
2015-01-30,123.6,126.0,120.49,122.0,1291227
2015-02-03,121.55,125.25,121.55,122.9,982823
2015-02-04,125.0,125.0,120.2,121.97,1240537
2015-02-05,121.64,123.58,120.59,122.96,1361971
2015-02-06,122.0,124.95,122.0,122.47,943047
2015-02-09,122.23,122.94,121.01,122.68,575872
2015-02-10,122.7,125.19,122.7,124.76,1080583
2015-02-11,124.0,125.78,123.5,125.3,1772010
2015-02-12,125.1,126.16,124.0,125.84,852166
2015-02-13,126.18,126.18,123.54,126.02,563797
2015-02-16,126.0,126.38,125.45,126.09,170876
2015-02-17,126.09,126.09,124.52,125.45,808359
2015-02-18,124.5,126.52,124.5,126.52,1269626
2015-02-19,126.3,128.91,126.3,128.0,256939
2015-02-20,128.0,131.5,128.0,131.49,779439
2015-02-23,131.05,132.51,130.39,131.8,1147162
2015-02-24,131.52,132.5,129.5,129.69,726322
2015-02-25,130.0,130.0,126.42,128.54,1247552
2015-02-26,127.78,132.62,127.5,132.27,1132840
2015-02-27,132.0,132.74,128.7,128.7,2673852
2015-03-02,128.9,128.98,124.2,124.22,880126
2015-03-03,124.18,124.29,120.28,122.24,1211732
2015-03-04,121.78,122.15,120.0,120.01,603452
2015-03-05,120.95,123.83,120.0,123.2,937558
2015-03-06,122.0,125.0,121.21,123.96,629805
2015-03-09,123.88,123.88,120.52,122.14,535510
2015-03-10,122.2,122.87,120.61,122.52,647567
2015-03-11,122.48,123.51,121.17,123.39,625231
2015-03-12,123.29,127.46,122.87,127.09,752768
2015-03-13,127.23,127.24,124.9,126.71,460509
2015-03-17,125.01,125.48,123.79,125.41,511806
2015-03-18,126.0,126.0,122.3,123.98,831982
2015-03-19,123.5,125.84,121.5,121.98,811977
2015-03-20,121.69,123.42,120.0,123.12,1487367
2015-03-23,122.4,124.11,122.4,123.6,677411
2015-03-24,123.35,123.99,122.32,122.34,803309
2015-03-25,122.45,123.79,119.85,119.98,1265761
2015-03-26,120.3,120.3,118.06,119.0,843605
2015-03-27,118.9,120.9,118.58,119.48,708616
2015-03-30,119.2,121.91,119.2,121.3,451708
2015-03-31,120.5,122.4,120.2,121.52,659464
2015-04-01,121.53,122.98,119.57,121.12,1161258
2015-04-06,122.94,124.0,121.02,123.0,580459
2015-04-07,122.85,126.69,122.85,126.26,1174536
2015-04-08,126.25,126.25,123.25,124.0,865292
2015-04-09,123.78,126.11,123.78,125.35,686858
2015-04-10,125.1,125.24,121.72,124.5,1198767
2015-04-13,124.4,125.07,123.01,123.98,559838
2015-04-14,123.59,124.49,122.19,122.65,811090
2015-04-15,122.47,124.0,121.8,122.54,1099396
2015-04-16,121.99,124.84,121.64,124.44,875908
2015-04-17,124.25,124.25,120.41,120.87,1305880
2015-04-20,121.2,121.88,120.0,120.07,925956
2015-04-21,120.31,121.81,119.03,120.93,2891351
2015-04-22,121.26,121.68,119.34,120.9,1298375
2015-04-23,120.0,120.99,119.5,120.7,596704
2015-04-24,119.85,121.51,119.5,120.0,566005
2015-04-27,120.01,121.49,120.01,121.18,526422
2015-04-28,121.16,121.66,120.26,120.78,905989
2015-04-29,120.26,122.8,119.36,122.45,1446040
2015-04-30,122.25,123.0,120.81,122.69,1375968
2015-05-04,122.56,125.3,122.56,123.96,983148
2015-05-05,124.13,127.0,123.54,125.6,1202068
2015-05-06,126.0,126.69,123.25,126.1,1138222
2015-05-07,125.59,126.5,122.53,123.28,502491
2015-05-08,124.08,124.99,123.01,124.25,643677
2015-05-11,123.93,126.0,123.84,125.87,647261
2015-05-12,125.8,125.8,123.0,123.0,713488
2015-05-13,123.68,128.0,123.14,127.78,1688737
2015-05-14,127.97,128.5,126.74,127.54,787909
2015-05-15,127.46,128.69,126.95,128.48,637778
2015-05-18,128.7,130.43,128.38,130.06,576171
2015-05-19,130.4,131.62,129.17,131.26,1379461
2015-05-20,130.99,132.18,130.84,131.81,917555
2015-05-21,131.54,131.54,129.14,129.62,289872
2015-05-22,129.64,130.69,128.0,128.39,483323
2015-05-25,128.21,130.0,128.21,129.99,197868
2015-05-26,128.67,128.7,125.68,126.32,1335064
2015-05-27,125.0,127.88,125.0,126.94,946669
2015-05-28,127.06,128.5,126.07,127.81,708085
2015-05-29,127.0,132.09,127.0,131.09,8779910
2015-06-01,130.9,131.23,126.5,127.8,1059955
2015-06-02,126.5,129.0,126.05,127.55,1421975
2015-06-03,126.93,128.42,125.9,126.15,769931
2015-06-04,126.18,126.89,124.4,124.99,689353
2015-06-05,125.25,126.85,124.34,125.15,640535
2015-06-08,124.51,125.82,124.0,124.81,362422
2015-06-09,125.5,126.98,124.2,125.49,571017
2015-06-10,125.61,126.51,123.7,123.74,1258723
2015-06-11,123.96,125.72,123.93,124.48,371331
2015-06-12,126.0,126.0,123.11,123.52,328454
2015-06-15,123.6,123.6,121.8,122.5,462088
2015-06-16,122.0,124.6,121.79,123.54,422996
2015-06-17,124.0,127.27,124.0,126.98,890627
2015-06-18,127.18,128.6,125.22,128.0,1959404
2015-06-19,127.97,127.99,124.88,125.95,1928045
2015-06-22,126.01,127.44,125.99,127.0,423724
2015-06-23,127.43,127.46,126.52,127.35,964782
2015-06-24,127.37,128.05,126.88,127.75,687024
2015-06-25,127.0,128.14,126.44,127.1,611828
2015-06-26,127.1,129.0,126.83,128.0,790727
2015-06-29,127.49,127.49,124.05,124.5,915202
2015-06-30,124.99,125.24,122.59,124.9,1607123
2015-07-01,124.9,126.94,124.78,126.08,492808
2015-07-02,126.17,128.0,125.62,126.94,787440
2015-07-03,126.97,127.41,125.93,126.66,115595
2015-07-06,127.22,127.42,125.89,126.61,277283
2015-07-07,126.5,128.4,125.39,128.2,502171
2015-07-08,128.0,128.39,126.55,127.63,637951
2015-07-09,128.0,128.5,125.8,126.4,517095
2015-07-10,126.71,128.0,126.6,127.2,719748
2015-07-13,127.15,128.4,126.12,126.54,387741
2015-07-14,126.69,127.38,125.83,126.29,620619
2015-07-15,126.12,128.0,126.12,127.2,617671
2015-07-16,128.3,128.39,125.93,126.79,422426
2015-07-17,126.65,127.69,125.69,126.52,644691
2015-07-20,126.31,128.5,126.2,127.97,400478
2015-07-21,128.2,128.96,125.34,126.15,437669
2015-07-22,126.56,126.99,122.01,123.07,794443
2015-07-23,122.91,125.5,120.51,121.9,960514
2015-07-24,121.82,122.82,120.35,120.5,975845
2015-07-27,120.47,121.9,119.65,120.59,743781
2015-07-28,120.69,121.67,119.57,120.05,948361
2015-07-29,120.5,123.09,119.7,122.24,1009458
2015-07-30,122.16,123.28,120.65,120.88,606470
2015-07-31,120.65,122.73,120.4,121.8,853084
2015-08-03,121.0,123.32,120.4,123.23,650623
2015-08-04,122.98,124.05,122.1,123.87,735399
2015-08-05,124.1,124.3,122.25,123.37,626301
2015-08-06,123.76,123.76,121.45,122.23,431678
2015-08-07,122.34,122.57,121.0,121.85,392254
2015-08-10,122.25,123.82,122.25,123.6,316272
2015-08-11,123.41,123.55,119.7,120.95,7273850
2015-08-12,120.88,120.88,119.05,119.84,1435515
2015-08-13,120.15,121.32,119.16,119.24,538416
2015-08-14,119.44,120.4,118.32,119.45,699043
2015-08-17,119.18,120.4,118.56,120.1,459374
2015-08-18,120.23,120.23,118.39,118.54,741013
2015-08-19,118.0,118.79,117.09,117.6,1290340
2015-08-20,118.58,118.58,116.54,117.35,1092639
2015-08-21,117.15,117.18,114.67,115.57,905608
2015-08-24,110.0,114.77,105.74,113.5,1772809
2015-08-25,115.12,116.48,114.65,114.65,582785
2015-08-26,115.33,118.74,114.22,118.0,673656
2015-08-27,118.0,121.79,117.11,121.11,1315805
2015-08-28,116.2,120.83,116.2,118.47,615312
2015-08-31,118.41,121.58,116.97,119.89,2902364
2015-09-01,119.61,119.89,117.31,117.91,710145
2015-09-02,117.9,120.25,117.9,119.02,703389
2015-09-03,119.3,120.39,118.68,119.62,748972
2015-09-04,119.65,119.65,115.5,116.61,505690
2015-09-07,116.0,117.0,115.48,115.48,96904
2015-09-08,115.9,117.9,115.9,116.53,625849
2015-09-09,117.57,118.21,116.29,116.51,472787
2015-09-10,116.51,117.97,116.01,117.19,493296
2015-09-11,116.0,116.11,115.44,115.73,420059
2015-09-14,115.78,115.82,114.0,115.29,412191
2015-09-15,115.99,116.99,114.81,116.47,364011
2015-09-17,115.01,119.05,115.01,117.97,844949
2015-09-18,117.5,117.85,115.58,116.48,1557149
2015-09-21,116.54,117.35,115.94,117.08,299386
2015-09-22,115.5,117.45,115.1,116.67,360348
2015-09-23,116.75,117.4,116.39,116.82,379147
2015-09-24,116.31,117.2,114.75,115.23,538619
2015-09-25,114.7,116.89,114.01,114.65,417617
2015-09-28,114.1,115.38,114.0,115.12,497827
2015-09-29,114.21,116.8,114.21,116.14,538260
2015-09-30,116.1,118.83,116.1,117.54,1022799
2015-10-01,116.57,117.26,114.92,115.19,503972
2015-10-02,115.0,116.16,113.97,114.47,784826
2015-10-05,116.79,118.42,114.0,117.71,685450
2015-10-06,117.67,118.08,116.6,116.97,506323
2015-10-07,117.5,118.4,115.65,116.46,638928
2015-10-08,116.4,119.1,116.4,118.37,785030
2015-10-09,118.96,119.4,118.16,118.93,622648
2015-10-12,118.8,119.79,118.08,119.27,471769
2015-10-13,119.48,120.25,117.91,118.54,509873
2015-10-14,117.27,119.21,117.27,117.93,703459
2015-10-15,117.93,119.0,116.6,118.33,316178
2015-10-16,119.0,119.0,117.92,118.54,325923
2015-10-19,118.5,119.83,118.44,119.11,284792
2015-10-20,119.05,121.22,118.83,120.83,1278061
2015-10-21,121.0,121.1,119.29,121.06,1266907
2015-10-22,121.1,125.89,121.1,123.24,825226
2015-10-23,123.17,125.0,122.52,123.28,1099372
2015-10-26,123.25,124.43,122.19,124.02,455174
2015-10-27,124.03,125.22,123.1,124.3,941872
2015-10-28,124.44,128.0,124.41,127.95,1592851
2015-10-29,123.74,129.2,123.74,128.9,1442517
2015-10-30,127.9,128.17,125.0,126.72,1800917
2015-11-03,129.0,130.45,127.22,127.97,1483856
2015-11-04,127.9,129.1,126.0,126.62,605937
2015-11-05,126.66,128.94,126.54,127.66,398698
2015-11-06,128.93,129.0,127.8,128.17,932656
2015-11-09,127.91,128.55,125.63,126.26,414486
2015-11-10,124.0,127.64,124.0,127.27,1013238
2015-11-11,126.1,127.8,126.1,127.41,369651
2015-11-12,127.5,127.5,126.27,127.29,362885
2015-11-13,127.5,127.55,125.7,125.9,685172
2015-11-17,126.19,129.33,125.98,127.01,629901
2015-11-18,128.0,128.49,126.8,127.02,396896
2015-11-19,127.5,128.0,126.72,127.41,502477
2015-11-20,128.0,128.15,127.03,127.64,467375
2015-11-23,128.0,129.2,127.79,129.2,868095
2015-11-24,126.96,130.0,126.96,129.83,605105
2015-11-25,130.25,133.46,129.81,131.75,971158
2015-11-26,131.75,131.97,126.99,131.57,8917486
2015-11-27,131.8,132.1,129.39,129.71,707935
2015-11-30,130.49,131.49,127.01,127.87,2726375
2015-12-01,127.87,129.98,127.59,129.68,1520527
2015-12-02,128.52,130.5,128.52,129.33,914189
2015-12-03,129.91,130.37,126.14,127.33,842901
2015-12-04,128.97,128.97,125.99,126.97,745124
2015-12-07,127.61,128.49,125.63,126.75,702084
2015-12-08,126.43,127.42,125.39,126.5,1019179
2015-12-09,126.0,127.97,126.0,126.47,437871
2015-12-10,126.0,126.18,125.1,125.6,1927856
2015-12-11,127.77,127.77,123.7,124.48,1377469
2015-12-14,123.36,123.37,121.46,122.62,559823
2015-12-15,123.08,125.13,122.74,124.84,852280
2015-12-16,126.14,126.14,123.8,124.24,614792
2015-12-17,125.0,125.0,122.5,122.97,556263
2015-12-18,122.97,123.0,120.62,122.56,1338602
2015-12-21,122.47,125.74,122.47,124.78,688346
2015-12-22,125.6,126.0,124.2,125.01,704261
2015-12-23,125.0,126.5,123.82,126.5,564333
2015-12-24,126.44,127.09,125.02,125.02,101033
2015-12-28,125.54,125.91,124.36,124.45,711220
2015-12-29,124.71,125.0,122.82,123.3,368063
2015-12-30,123.09,124.19,122.73,122.75,549967
2015-12-31,122.5,124.57,121.94,123.3,195120
2016-01-04,121.0,121.65,119.47,120.05,440440
2016-01-05,120.36,121.6,118.0,118.99,951275
2016-01-06,118.22,121.89,117.99,120.16,957923
2016-01-07,118.52,120.77,118.52,120.2,1368181
2016-01-08,119.7,121.62,118.29,119.05,1342232
2016-01-11,118.0,120.62,117.55,118.26,1364434
2016-01-12,119.95,119.95,118.25,119.31,414985
2016-01-13,120.0,120.75,118.45,119.9,855439
2016-01-14,120.11,121.95,119.13,121.01,417630
2016-01-15,118.0,120.46,116.99,119.2,801616
2016-01-18,119.14,119.14,116.22,116.31,193221
2016-01-19,116.42,119.72,115.98,118.07,699328
2016-01-20,115.4,120.0,113.6,119.65,1093901
2016-01-21,119.7,121.74,118.65,121.33,559894
2016-01-22,121.51,122.0,119.74,121.1,491981
2016-01-25,120.41,122.51,120.41,121.29,323000
2016-01-26,121.42,122.44,120.81,121.36,270760
2016-01-27,121.55,123.25,120.52,120.95,786190
2016-01-28,122.7,123.5,121.21,122.85,698780
2016-01-29,123.38,127.81,122.51,127.67,1470540
2016-02-02,127.5,128.0,123.47,124.47,1066539
2016-02-03,123.63,127.05,123.63,126.36,590860
2016-02-04,127.5,127.5,125.86,126.67,1159305
2016-02-05,125.0,126.95,124.85,126.37,361797
2016-02-08,125.14,127.5,124.95,126.98,253579
2016-02-09,126.98,127.96,125.4,127.66,410569
2016-02-10,128.0,131.46,127.51,129.71,565971
2016-02-11,129.71,130.56,127.04,129.91,433664
2016-02-12,129.5,132.43,129.5,132.4,720081
2016-02-15,132.25,132.9,131.02,132.23,155411
2016-02-16,132.7,137.22,132.2,135.75,693530
2016-02-17,135.45,136.28,132.91,133.7,1785180
2016-02-18,134.0,134.0,131.5,132.35,749052
2016-02-19,132.23,134.5,131.29,132.28,774288
2016-02-22,132.5,134.1,131.13,131.75,442020
2016-02-23,131.82,133.92,130.76,130.97,671083
2016-02-24,130.34,133.0,130.34,131.84,1138195
2016-02-25,131.33,133.77,129.53,133.76,1369364
2016-02-26,132.64,133.8,131.13,132.84,337737
2016-02-29,132.21,134.0,131.76,132.9,1864955
2016-03-01,130.0,135.45,130.0,134.39,1292835
2016-03-02,135.22,136.37,134.0,134.9,709732
2016-03-03,134.54,136.25,134.0,136.0,1155752
2016-03-04,135.62,138.92,135.14,137.95,1448510
2016-03-07,137.99,138.0,136.66,137.13,644656
2016-03-08,136.33,138.41,135.41,138.16,1114147
2016-03-09,138.16,139.5,137.85,139.15,1369366
2016-03-10,139.49,139.49,135.88,137.46,816939
2016-03-11,137.07,138.98,135.5,136.45,808885
2016-03-14,138.59,139.99,133.7,135.41,1787877
2016-03-15,135.5,137.88,134.67,134.9,1235729
2016-03-16,135.59,136.0,133.04,135.52,1610954
2016-03-17,136.73,140.71,134.36,139.59,3366454
2016-03-18,139.58,140.99,136.95,138.9,3476019
2016-03-22,140.0,141.77,138.41,141.65,1932552
2016-03-23,141.4,142.0,140.11,141.5,828900
2016-03-28,141.42,142.0,141.1,141.52,512584
2016-03-29,141.0,142.09,140.85,141.5,1665818
2016-03-30,138.23,143.99,138.01,143.24,1699365
2016-03-31,143.24,143.85,140.54,143.59,1445094
2016-04-01,142.88,146.9,142.62,146.29,839256
2016-04-04,147.0,147.0,143.0,143.83,1017903
2016-04-05,143.81,144.45,143.08,143.59,1142355
2016-04-06,142.62,145.33,142.62,144.45,631515
2016-04-07,144.4,147.26,143.2,147.08,1225506
2016-04-08,147.0,148.65,143.75,144.27,1249433
2016-04-11,145.28,145.57,142.98,143.48,303739
2016-04-12,142.73,146.82,142.73,146.17,416390
2016-04-13,150.0,150.0,146.63,147.0,1140921
2016-04-14,147.04,148.2,144.73,145.28,717905
2016-04-15,145.63,149.0,145.63,147.35,314657
