Date,Open,High,Low,Close,Volume
2015-01-02,28.2,28.2,25.66,26.24,4128190
2015-01-05,26.0,26.03,24.14,24.45,4926394
2015-01-06,24.63,25.3,24.21,25.05,2911193
2015-01-07,25.6,25.6,24.8,25.09,3013709
2015-01-08,25.29,25.58,24.9,25.06,3084049
2015-01-09,25.2,25.25,24.31,24.89,2773256
2015-01-12,24.9,25.0,24.15,24.38,2709007
2015-01-13,24.39,24.68,23.36,23.6,3110500
2015-01-14,23.49,23.6,22.18,22.31,7369968
2015-01-15,22.46,22.46,20.69,21.03,13998227
2015-01-16,21.17,21.69,20.91,21.37,4898180
2015-01-19,21.45,21.81,21.41,21.69,1369105
2015-01-20,21.8,22.97,21.49,22.8,5860328
2015-01-21,22.84,23.91,22.51,23.91,6676836
2015-01-22,23.82,24.96,23.82,24.75,7830244
2015-01-23,24.9,25.29,24.7,25.08,6324946
2015-01-26,25.01,25.7,24.39,25.68,3502499
2015-01-27,25.49,25.49,24.62,25.48,6595039
2015-01-28,25.29,25.76,24.91,25.04,10160596
2015-01-29,25.35,25.35,24.34,24.65,6567867
2015-01-30,24.63,24.63,23.62,23.65,2342969
2015-02-03,24.25,25.55,24.01,24.36,3511991
2015-02-04,24.09,24.23,23.8,24.03,1646996
2015-02-05,24.04,24.3,23.75,24.01,7789419
2015-02-06,24.0,24.37,23.71,23.99,5401054
2015-02-09,23.9,23.9,22.8,23.06,1108114
2015-02-10,23.12,23.3,22.2,22.23,4400077
2015-02-11,22.3,22.39,21.52,21.72,6064936
2015-02-12,21.63,21.94,21.6,21.8,4344095
2015-02-13,22.01,22.59,21.89,22.02,9620940
2015-02-16,22.14,22.2,21.85,21.9,496492
2015-02-17,22.19,22.2,21.6,21.86,1812410
2015-02-18,21.71,22.07,21.71,21.9,3833726
2015-02-19,21.7,22.09,21.52,21.66,3215172
2015-02-20,21.7,22.05,21.61,21.9,3451493
2015-02-23,21.96,22.0,21.3,21.48,5478927
2015-02-24,21.49,21.65,21.35,21.58,5995080
2015-02-25,21.58,22.56,21.58,22.1,9215919
2015-02-26,22.39,22.5,22.01,22.01,6747624
2015-02-27,17.76,17.9,15.05,16.45,63908845
2015-03-02,16.1,16.1,12.62,13.4,45029789
2015-03-03,12.99,13.7,11.8,12.11,42972587
2015-03-04,12.07,12.17,8.75,11.6,42005425
2015-03-05,11.45,13.52,10.8,13.16,40498281
2015-03-06,13.17,13.58,12.81,13.19,20711722
2015-03-09,13.4,13.4,12.15,13.1,9720585
2015-03-10,12.66,12.99,12.35,12.36,6865707
2015-03-11,12.45,14.28,12.08,13.78,28790338
2015-03-12,13.9,14.9,13.9,14.78,18520848
2015-03-13,14.71,14.89,14.66,14.7,10444537
2015-03-17,14.8,15.2,14.7,14.91,14252465
2015-03-18,14.86,14.98,14.06,14.3,9388290
2015-03-19,14.31,14.51,13.5,13.71,7657104
2015-03-20,13.7,14.8,13.0,13.86,11773934
2015-03-23,14.22,14.34,13.99,14.11,3550712
2015-03-24,14.4,14.4,13.73,13.96,5271269
2015-03-25,14.04,14.1,13.58,13.64,2063239
2015-03-26,13.61,13.99,13.5,13.73,5153828
2015-03-27,13.89,14.09,13.65,14.01,5564459
2015-03-30,14.11,14.36,14.01,14.27,3299071
2015-03-31,14.27,14.59,14.25,14.25,4638559
2015-04-01,14.54,15.66,14.46,15.56,8865514
2015-04-06,15.59,16.12,15.59,15.93,7514608
2015-04-07,15.97,16.73,15.97,16.69,11693098
2015-04-08,16.9,17.76,16.8,17.43,24862839
2015-04-09,17.69,19.43,17.44,19.05,24138906
2015-04-10,19.07,19.39,18.0,18.08,14469367
2015-04-13,18.0,18.66,17.97,18.42,7267248
2015-04-14,18.43,18.54,17.4,18.0,5911080
2015-04-15,17.83,18.24,17.4,17.53,17978173
2015-04-16,17.55,17.93,17.27,17.88,7072062
2015-04-17,17.99,17.99,17.3,17.51,4716420
2015-04-20,17.75,17.95,17.61,17.79,2411206
2015-04-21,17.8,17.92,17.55,17.64,3014423
2015-04-22,17.74,17.74,16.75,16.8,5706288
2015-04-23,16.88,17.49,16.0,16.45,7737836
2015-04-24,16.49,16.91,16.25,16.8,9888197
2015-04-27,16.89,17.66,16.75,17.54,4788436
2015-04-28,17.6,17.68,16.8,17.29,4098419
2015-04-29,17.19,17.53,16.65,16.98,4038504
2015-04-30,17.55,19.2,17.36,18.02,11468692
2015-05-04,17.93,18.41,17.87,18.03,3937604
2015-05-05,18.19,18.3,17.75,17.86,5543876
2015-05-06,17.91,18.03,17.11,17.47,5138457
2015-05-07,17.35,17.35,16.75,16.86,5295595
2015-05-08,17.0,17.15,16.32,17.07,5400107
2015-05-11,17.15,17.38,16.76,16.78,1905590
2015-05-12,16.71,17.1,16.5,16.96,2938119
2015-05-13,16.99,17.5,16.52,16.63,5135146
2015-05-14,16.81,16.99,16.5,16.61,2097396
2015-05-15,16.59,17.05,16.55,16.75,2189055
2015-05-18,16.89,17.29,16.75,17.29,1823857
2015-05-19,17.3,17.65,17.18,17.43,4774665
2015-05-20,17.7,17.7,17.15,17.2,4576557
2015-05-21,17.31,17.5,17.03,17.25,3530831
2015-05-22,17.28,17.45,17.04,17.18,4309981
2015-05-25,17.2,17.45,17.15,17.32,910958
2015-05-26,17.23,17.23,16.7,16.77,6464827
2015-05-27,16.7,17.32,16.64,17.32,11558717
2015-05-28,17.15,17.9,17.0,17.37,6376276
2015-05-29,17.49,17.52,16.35,16.85,109798774
2015-06-01,16.87,17.4,16.75,17.26,10793499
2015-06-02,17.39,17.78,17.1,17.13,5343321
2015-06-03,17.31,17.37,16.7,16.77,4523043
2015-06-04,16.77,16.89,16.55,16.69,3680538
2015-06-05,16.61,16.82,16.52,16.62,2552565
2015-06-08,16.62,16.72,16.34,16.38,1606882
2015-06-09,16.43,16.75,16.23,16.56,2368842
2015-06-10,16.53,16.64,16.3,16.32,2075108
2015-06-11,16.33,16.57,15.48,15.84,2858795
2015-06-12,15.79,16.17,15.05,15.78,3921407
2015-06-15,15.71,15.95,15.49,15.61,1765054
2015-06-16,15.59,15.7,15.09,15.09,5250302
2015-06-17,15.03,15.47,14.52,15.28,8321751
2015-06-18,15.5,15.62,15.26,15.43,3008751
2015-06-19,15.45,15.58,15.22,15.24,4471281
2015-06-22,16.61,16.87,16.11,16.74,11081579
2015-06-23,16.86,17.5,16.6,17.24,7865252
2015-06-24,17.24,17.25,16.84,17.12,6382023
2015-06-25,17.11,17.3,16.5,16.59,7448728
2015-06-26,16.69,16.9,16.54,16.6,1091424
2015-06-29,16.05,16.43,15.86,15.97,4835076
2015-06-30,16.21,16.22,15.52,15.64,4344352
2015-07-01,15.99,16.28,15.71,16.13,4649424
2015-07-02,16.15,16.48,16.11,16.4,4431786
2015-07-03,16.4,16.67,16.35,16.48,1034165
2015-07-06,16.21,16.37,16.13,16.28,1713951
2015-07-07,16.28,16.45,15.75,16.29,3639358
2015-07-08,16.28,16.29,15.65,15.7,2912963
2015-07-09,15.81,16.25,15.81,16.11,3509837
2015-07-10,16.15,16.36,15.96,16.36,5401498
2015-07-13,16.3,16.5,16.1,16.22,2541650
2015-07-14,16.11,16.62,16.11,16.52,4663920
2015-07-15,16.58,16.59,16.25,16.34,5898486
2015-07-16,16.4,16.5,16.02,16.05,2535050
2015-07-17,16.1,16.11,15.74,15.8,4277040
2015-07-20,15.8,16.59,15.79,16.4,3264806
2015-07-21,16.47,16.7,16.33,16.62,3196902
2015-07-22,16.7,16.7,15.96,16.07,2574094
2015-07-23,16.1,16.47,15.96,16.46,4158781
2015-07-24,16.01,16.3,15.2,15.21,10286518
2015-07-27,15.3,15.4,14.82,15.0,3636058
2015-07-28,15.11,15.3,14.91,15.0,2251268
2015-07-29,15.01,15.05,14.19,14.39,6695134
2015-07-30,14.42,14.77,14.41,14.69,4705358
2015-07-31,14.79,15.19,14.7,15.0,3402494
2015-08-03,14.87,15.25,14.77,15.24,2349088
2015-08-04,15.16,15.24,15.05,15.15,2529440
2015-08-05,15.15,15.7,15.13,15.69,2944237
2015-08-06,15.65,15.93,15.48,15.51,2273476
2015-08-07,15.53,15.53,15.19,15.32,1579783
2015-08-10,15.39,15.5,15.28,15.39,786123
2015-08-11,15.41,15.48,15.1,15.24,2385109
2015-08-12,15.21,15.39,15.05,15.1,1862481
2015-08-13,15.12,15.27,14.69,14.88,2748941
2015-08-14,14.8,14.97,14.51,14.61,2043846
2015-08-17,14.7,14.88,14.59,14.72,1068919
2015-08-18,14.68,14.84,14.45,14.49,1963523
2015-08-19,14.46,14.47,13.76,13.92,3631346
2015-08-20,13.51,14.04,13.51,13.81,4032212
2015-08-21,13.51,13.68,13.2,13.32,2629342
2015-08-24,12.99,12.99,11.5,12.54,6801044
2015-08-25,12.89,13.6,12.89,13.14,5255774
2015-08-26,13.61,14.14,13.03,13.34,3566350
2015-08-27,13.32,14.0,13.32,13.87,4860518
2015-08-28,13.71,14.03,13.36,13.89,2441554
2015-08-31,13.79,13.89,13.4,13.67,5600653
2015-09-01,13.34,13.84,13.17,13.65,3335533
2015-09-02,13.69,14.7,13.69,14.46,3046613
2015-09-03,14.09,14.49,14.04,14.21,2542234
2015-09-04,14.09,14.39,14.0,14.0,3264366
2015-09-07,13.6,14.44,13.6,14.16,553013
2015-09-08,14.2,14.38,14.13,14.32,2101022
2015-09-09,14.52,14.6,13.67,13.83,3448179
2015-09-10,13.82,14.03,13.74,13.98,4144600
2015-09-11,13.98,14.28,13.94,14.19,2452198
2015-09-14,14.01,14.19,13.96,14.15,3583484
2015-09-15,14.03,14.38,14.02,14.3,1972598
2015-09-17,14.49,14.57,14.16,14.42,4634962
2015-09-18,14.25,15.53,14.1,15.35,20736484
2015-09-21,15.16,15.57,15.12,15.5,7686312
2015-09-22,15.28,15.98,15.28,15.64,5373693
2015-09-23,15.5,16.12,15.49,16.08,3719337
2015-09-24,16.08,16.88,15.85,16.3,5769789
2015-09-25,16.59,16.89,16.37,16.71,2853168
2015-09-28,16.5,17.12,16.1,17.11,5412990
2015-09-29,17.0,17.07,15.95,16.09,23230891
2015-09-30,15.49,15.5,13.7,13.92,32697694
2015-10-01,14.07,14.1,13.03,13.34,11129488
2015-10-02,13.33,13.38,12.17,12.59,12672943
2015-10-05,12.81,12.91,12.45,12.76,8233913
2015-10-06,12.9,13.44,12.78,13.21,6530697
2015-10-07,13.45,13.5,12.92,13.22,3872652
2015-10-08,13.0,13.18,12.81,12.88,5793619
2015-10-09,13.0,13.24,12.92,13.13,1470727
