Date,Open,High,Low,Close,Volume
2015-01-02,28.53,28.74,26.82,27.69,1494400
2015-01-05,27.58,27.58,27.05,27.31,1260764
2015-01-06,27.94,28.41,27.37,28.24,1691228
2015-01-07,28.25,28.65,28.25,28.55,758724
2015-01-08,28.55,28.95,28.46,28.74,1218968
2015-01-09,28.3,28.66,27.94,28.52,1057664
2015-01-12,28.77,28.77,28.02,28.2,757013
2015-01-13,28.29,28.64,28.21,28.42,874713
2015-01-14,28.19,28.4,27.87,28.0,1024878
2015-01-15,28.37,29.09,27.51,28.41,2037726
2015-01-16,28.33,28.85,28.16,28.7,699693
2015-01-19,28.9,29.0,28.49,28.73,441680
2015-01-20,28.41,29.15,28.41,29.1,1281516
2015-01-21,29.01,30.05,28.7,29.4,1662507
2015-01-22,29.88,30.0,29.12,29.34,1706970
2015-01-23,29.25,30.0,29.21,29.73,4066065
2015-01-26,29.7,29.7,29.3,29.49,1746778
2015-01-27,29.3,29.93,29.1,29.71,3660653
2015-01-28,29.33,30.89,29.33,29.96,1836466
2015-01-29,29.92,30.39,29.45,30.38,2009284
2015-01-30,29.55,30.0,28.81,29.35,1606431
2015-02-03,29.5,30.94,29.29,30.25,2314386
2015-02-04,29.89,30.5,28.8,29.39,1934606
2015-02-05,29.66,29.77,29.0,29.35,1360007
2015-02-09,29.5,29.88,28.88,29.66,949694
2015-02-10,29.8,29.8,28.9,29.18,1477592
2015-02-11,28.76,29.38,28.69,28.88,903850
2015-02-12,29.2,29.59,28.82,29.4,621701
2015-02-13,29.5,29.88,29.0,29.73,461018
2015-02-16,29.76,29.76,29.28,29.49,107554
2015-02-17,29.5,30.0,29.31,29.7,728660
2015-02-18,29.85,30.41,29.36,30.19,4944177
2015-02-19,30.09,30.4,29.91,30.0,1622856
2015-02-20,30.28,30.28,29.61,29.72,1108810
2015-02-23,30.2,30.23,29.6,30.11,2465132
2015-02-24,30.23,30.23,29.79,29.94,2038011
2015-02-25,30.15,30.15,29.62,29.76,991194
2015-02-26,29.9,29.9,29.61,29.67,1922487
2015-02-27,29.75,30.23,29.75,29.77,4332881
2015-03-02,29.7,29.9,28.86,28.97,2512545
2015-03-03,28.98,29.47,28.98,29.03,3392063
2015-03-04,29.03,29.22,28.75,28.8,1368898
2015-03-05,28.8,29.69,28.8,29.3,4169269
2015-03-06,29.35,29.77,29.26,29.67,3094562
2015-03-09,29.69,31.05,29.58,30.82,4690560
2015-03-10,30.77,31.35,30.31,30.9,3058896
2015-03-11,30.6,31.1,29.95,31.0,2482979
2015-03-12,30.6,31.3,30.06,31.05,2561743
2015-03-13,31.06,31.09,30.56,31.05,1014264
2015-03-17,30.57,31.44,30.0,31.0,1787257
2015-03-18,31.16,31.87,30.46,31.25,2268031
2015-03-19,31.3,31.5,30.9,31.35,2737656
2015-03-20,31.0,31.75,30.95,31.47,3801260
2015-03-23,30.71,31.75,30.71,31.28,3251395
2015-03-24,31.19,31.45,31.04,31.15,4359473
2015-03-25,31.15,31.63,30.67,31.4,1293934
2015-03-26,30.61,30.95,30.57,30.8,1834353
2015-03-27,31.0,31.32,30.35,30.57,1508415
2015-03-30,30.33,30.99,30.05,30.85,600836
2015-03-31,30.85,31.29,30.31,30.86,1338736
2015-04-01,31.39,31.39,30.23,30.6,873905
2015-04-06,30.56,31.25,30.48,30.93,1064122
2015-04-07,30.8,31.01,30.5,30.67,1181565
2015-04-08,30.56,31.1,30.0,30.1,2706614
2015-04-09,30.54,30.54,29.85,29.97,615223
2015-04-10,30.25,30.57,29.88,30.47,715974
2015-04-13,30.47,30.74,30.08,30.36,914449
2015-04-14,30.22,30.97,30.22,30.6,2084408
2015-04-15,30.07,30.68,30.07,30.19,1849727
2015-04-16,30.3,30.55,30.14,30.32,1055210
2015-04-17,30.2,30.84,30.2,30.61,2931342
2015-04-20,31.0,31.1,30.45,30.97,1445262
2015-04-21,31.0,31.32,30.66,31.23,3981399
2015-04-22,31.23,31.25,30.53,31.2,2215751
2015-04-23,31.23,31.37,30.61,30.82,690314
2015-04-24,31.17,32.0,30.83,31.99,2050609
2015-04-27,32.08,32.08,31.46,31.92,845023
2015-04-28,31.95,31.95,31.31,31.74,1644711
2015-04-29,31.75,33.7,31.75,32.0,4979312
2015-04-30,32.04,32.54,30.9,30.9,2807511
2015-05-04,31.08,32.9,31.08,32.68,2351601
2015-05-05,32.7,33.17,32.31,32.5,3193558
2015-05-06,32.9,32.92,32.45,32.5,2930975
2015-05-07,32.45,33.3,32.36,33.18,1900260
2015-05-08,33.3,33.7,33.1,33.27,2878726
2015-05-11,33.64,33.64,32.74,33.06,1596956
2015-05-12,33.09,33.23,32.5,32.65,1137597
2015-05-13,33.27,33.27,32.5,32.7,993859
2015-05-14,33.0,33.29,32.6,32.69,1095672
2015-05-15,32.7,33.59,32.57,33.39,3454511
2015-05-18,33.37,33.37,32.74,33.0,411436
2015-05-19,33.15,33.3,32.23,32.41,1191870
2015-05-20,32.69,32.89,32.01,32.78,1769651
2015-05-21,32.89,32.89,32.6,32.7,587298
2015-05-22,32.09,32.75,31.56,32.3,484084
2015-05-25,32.32,32.64,31.96,32.06,179267
2015-05-26,31.7,32.32,31.52,32.13,912202
2015-05-27,31.58,32.5,31.4,31.82,1571870
2015-05-28,32.1,32.17,31.65,31.97,693908
2015-05-29,32.2,32.96,31.99,32.11,2777387
2015-06-01,32.09,32.89,32.09,32.3,1216568
2015-06-02,32.19,33.49,32.19,32.42,1698107
2015-06-03,32.55,33.11,32.07,32.25,941454
2015-06-04,32.26,32.68,32.26,32.44,3733352
2015-06-05,32.89,32.89,32.07,32.33,453593
2015-06-08,32.46,33.46,32.35,32.54,4665803
2015-06-09,32.72,33.21,32.29,32.65,1409659
2015-06-10,32.66,33.27,32.66,33.1,2733424
2015-06-11,33.09,33.39,32.28,32.86,1226797
2015-06-12,32.9,32.96,32.26,32.57,756229
2015-06-15,32.36,32.95,32.0,32.76,632343
2015-06-16,32.5,33.5,32.21,33.5,2484481
2015-06-17,33.54,33.54,33.01,33.39,1004322
2015-06-18,33.5,34.1,33.39,33.98,1832415
2015-06-19,33.61,33.94,33.22,33.66,2957113
2015-06-22,33.62,33.86,33.12,33.31,1687112
2015-06-23,33.79,34.01,33.49,34.0,1386187
2015-06-24,33.97,34.9,33.35,34.14,2530722
2015-06-25,34.07,34.5,33.4,33.58,1621822
2015-06-26,33.52,33.79,33.4,33.6,776506
2015-06-29,33.18,33.87,33.0,33.24,1044994
2015-06-30,33.0,33.45,32.57,32.87,1935088
2015-07-01,32.95,33.89,32.8,32.97,875371
2015-07-02,32.95,34.3,32.95,34.22,2698829
2015-07-03,34.05,34.18,33.21,33.52,166140
2015-07-06,33.57,34.8,33.57,34.8,1595108
