Date,Open,High,Low,Close,Volume
2015-01-02,145.0,149.83,143.4,144.45,198269
2015-01-05,142.0,142.0,138.6,139.72,468693
2015-01-06,141.0,141.26,139.5,141.0,287619
2015-01-07,143.0,146.5,140.75,143.84,570654
2015-01-08,146.99,147.0,143.51,146.18,623332
2015-01-09,148.2,148.2,144.49,146.0,158076
2015-01-12,147.48,147.5,144.47,146.0,273031
2015-01-13,146.0,148.0,142.0,144.0,199367
2015-01-14,143.0,145.02,140.01,143.71,426526
2015-01-15,140.1,142.88,140.1,141.0,894819
2015-01-16,144.99,144.99,140.01,142.12,140785
2015-01-19,141.0,144.5,141.0,142.87,102182
2015-01-20,141.17,144.0,141.17,142.5,272840
2015-01-21,141.9,145.25,141.9,144.93,337895
2015-01-22,147.0,149.85,145.99,149.26,968682
2015-01-23,149.33,152.3,149.33,150.95,258424
2015-01-26,152.12,153.49,152.12,152.63,336179
2015-01-27,146.5,153.19,146.5,152.97,421235
2015-01-28,153.5,157.99,152.82,156.29,347047
2015-01-29,156.5,158.05,151.21,157.14,419067
2015-01-30,151.21,155.99,151.21,153.11,391897
2015-02-03,159.0,159.86,152.29,157.37,563285
2015-02-04,157.71,158.0,151.55,157.2,476418
2015-02-05,156.8,159.99,153.2,158.63,303967
2015-02-06,153.48,160.0,153.48,155.89,250340
2015-02-09,154.79,156.99,153.2,156.48,178389
2015-02-10,157.0,157.8,153.38,156.65,1433256
2015-02-11,153.6,157.0,153.0,154.43,295391
2015-02-12,157.85,162.0,157.46,161.84,233543
2015-02-13,161.68,161.99,158.31,160.4,112829
2015-02-16,160.0,160.0,158.6,159.99,38237
2015-02-17,158.91,160.5,157.75,160.43,150134
2015-02-18,160.0,162.0,157.01,161.61,272495
2015-02-19,160.14,168.32,160.11,168.16,139443
2015-02-20,168.0,168.2,160.0,167.04,144990
2015-02-23,165.0,167.44,162.06,165.49,112701
2015-02-24,167.0,168.09,166.16,166.96,559053
2015-02-25,168.1,168.39,162.06,164.19,376538
2015-02-26,167.28,167.95,163.01,166.77,234543
2015-02-27,167.84,170.0,165.2,169.18,569385
