Date,Open,High,Low,Close,Volume
2015-01-02,44.62,44.73,42.22,42.85,1966462
2015-01-05,42.63,42.63,39.62,40.74,6246623
2015-01-06,40.66,42.2,39.51,40.91,5034625
2015-01-07,41.7,43.5,41.0,42.9,4189992
2015-01-08,43.3,43.75,43.1,43.28,3815011
2015-01-09,43.38,44.4,42.53,44.09,2938147
2015-01-12,43.84,44.05,43.25,43.66,1555619
2015-01-13,43.71,44.49,41.77,42.16,2769739
2015-01-14,41.3,42.5,40.76,42.0,3716999
2015-01-15,42.2,43.14,41.99,42.67,5219974
2015-01-16,42.31,43.9,42.31,43.49,2169693
2015-01-19,43.4,43.92,43.05,43.47,322986
2015-01-20,43.68,44.41,42.53,43.91,2996302
2015-01-21,44.39,44.39,43.16,43.91,3123721
2015-01-22,44.09,45.5,43.73,45.4,3465303
2015-01-23,45.39,45.42,43.83,44.63,3060957
2015-01-26,43.9,45.48,43.72,45.17,1503766
2015-01-27,44.98,44.98,44.01,44.42,3612906
2015-01-28,44.49,44.7,43.12,43.9,3140916
2015-01-29,43.51,43.69,41.02,43.03,4110581
2015-01-30,43.17,43.17,41.35,41.71,3949298
2015-02-03,42.44,43.2,42.11,42.7,3106823
2015-02-04,42.97,43.16,41.39,41.91,1588781
2015-02-05,41.91,44.11,41.91,43.91,3128138
2015-02-06,43.8,44.5,43.01,44.2,2388587
2015-02-09,43.3,44.45,43.06,43.13,1112720
2015-02-10,43.25,43.6,41.8,42.05,2383150
2015-02-11,42.05,42.48,41.57,42.15,2178356
2015-02-12,42.07,43.92,42.07,43.65,2100501
2015-02-13,43.8,43.99,42.7,43.02,2119552
2015-02-16,42.75,43.97,42.75,42.85,426938
2015-02-17,42.97,42.97,42.13,42.78,2860591
2015-02-18,42.5,42.95,42.1,42.47,2452324
2015-02-19,42.11,42.87,42.11,42.68,1826756
2015-02-20,42.3,43.32,42.3,42.8,1653223
2015-02-23,42.7,43.08,42.31,42.48,1628916
2015-02-24,42.69,44.51,42.25,44.19,4242355
2015-02-25,44.0,45.0,43.89,45.0,3497286
2015-02-26,43.8,43.9,42.97,43.59,4650138
2015-02-27,43.59,44.02,41.99,43.44,5565492
2015-03-02,43.3,43.48,42.05,42.22,3027730
2015-03-03,42.24,42.59,41.5,41.68,2806268
2015-03-04,41.7,41.97,40.5,40.68,3626548
2015-03-05,40.64,42.2,40.64,41.94,4556499
2015-03-06,41.8,42.21,41.14,41.81,1887015
2015-03-09,42.04,42.16,41.21,41.5,1365900
2015-03-10,41.51,41.61,40.64,40.84,2476548
2015-03-11,40.72,41.32,40.7,41.19,2158200
2015-03-12,41.15,42.55,41.15,42.05,3803149
2015-03-13,42.0,42.19,41.2,41.88,2501751
2015-03-17,41.9,42.11,40.76,41.08,2349480
2015-03-18,41.1,41.9,40.92,41.79,2915555
2015-03-19,41.78,42.0,40.9,41.27,2414112
2015-03-20,41.2,41.97,41.04,41.5,4243857
2015-03-23,41.71,42.45,41.47,41.98,3499069
2015-03-24,42.35,42.35,41.35,41.53,2047673
2015-03-25,41.33,41.8,40.86,41.05,2395678
2015-03-26,41.01,41.28,40.54,40.84,2426752
2015-03-27,40.81,40.92,40.13,40.65,1874776
2015-03-30,40.4,41.2,40.15,40.45,1633738
2015-03-31,40.44,40.96,39.58,39.78,2523013
2015-04-01,39.85,40.65,38.84,39.69,3410043
2015-04-06,39.65,41.39,39.65,41.22,3438567
2015-04-07,41.14,42.4,41.14,42.09,4249635
2015-04-08,41.65,42.4,41.49,41.71,2197304
2015-04-09,41.98,41.98,41.02,41.5,1085134
2015-04-10,41.85,41.86,41.01,41.53,1506966
2015-04-13,41.6,41.93,41.08,41.25,1775596
2015-04-14,41.23,41.54,40.58,40.77,4919207
