Date,Open,High,Low,Close,Volume
2015-07-01,20.51,20.98,20.0,20.0,68109041
2015-07-02,20.08,20.15,20.0,20.0,14988332
2015-07-03,20.08,20.12,20.01,20.06,4917353
2015-07-06,20.0,20.02,19.9,19.9,11610548
2015-07-07,19.92,20.1,19.9,20.05,6942557
2015-07-08,20.0,20.14,19.95,19.95,3604130
2015-07-09,20.0,20.12,20.0,20.01,4807690
2015-07-10,20.14,20.45,20.05,20.43,4854830
2015-07-13,20.45,20.79,20.26,20.69,6024742
2015-07-14,20.8,20.99,20.62,20.96,11822668
2015-07-15,20.98,20.98,20.75,20.78,4096775
2015-07-16,20.85,20.85,20.65,20.69,23369536
2015-07-17,20.7,20.84,20.52,20.67,3661316
2015-07-20,20.8,20.8,20.62,20.69,2877937
2015-07-21,20.75,20.84,20.3,20.59,2768399
2015-07-22,20.7,20.7,20.11,20.22,4486044
2015-07-23,20.4,20.6,20.0,20.14,2405578
2015-07-24,20.05,20.2,20.0,20.03,1018162
2015-07-27,20.0,20.01,19.85,20.0,5071149
2015-07-28,20.14,20.14,19.91,19.91,11324768
2015-07-29,20.0,20.27,19.5,19.94,2395300
2015-07-30,19.91,19.91,19.61,19.65,3074420
2015-07-31,19.65,19.92,19.59,19.8,2031138
2015-08-03,19.75,20.18,19.75,20.03,1103567
2015-08-04,20.15,20.18,19.95,20.15,1959144
2015-08-05,20.18,20.2,20.05,20.15,2869460
2015-08-06,20.2,20.2,20.0,20.0,5387947
2015-08-07,19.94,20.1,19.94,20.05,267998
2015-08-10,20.15,20.2,20.0,20.19,1412165
2015-08-11,20.15,20.22,20.01,20.19,1204449
2015-08-12,20.18,20.18,19.8,20.0,3590824
2015-08-13,20.0,20.2,19.69,20.15,10394219
2015-08-14,20.19,20.19,19.71,19.99,2387068
2015-08-17,20.12,20.49,20.04,20.3,10271458
2015-08-18,20.15,20.49,20.1,20.3,1421923
2015-08-19,20.35,20.35,19.96,20.07,1896224
2015-08-20,20.0,20.01,19.74,19.89,995436
2015-08-21,19.89,20.19,19.5,19.64,1340584
2015-08-24,19.35,19.95,18.2,19.3,2629356
2015-08-25,19.5,20.0,19.43,19.43,4976909
2015-08-26,19.78,19.95,19.22,19.74,823560
2015-08-27,19.74,20.25,19.52,20.25,3284561
2015-08-28,20.25,20.25,19.8,20.07,719636
2015-08-31,20.19,20.3,19.55,19.85,1340030
2015-09-01,19.95,20.0,19.79,19.96,4389853
2015-09-02,19.93,19.93,19.68,19.7,1584885
2015-09-03,19.76,20.25,19.76,20.0,1800298
2015-09-04,20.0,20.35,19.95,20.3,4195990
2015-09-07,20.25,20.59,20.2,20.45,224423
2015-09-08,20.44,20.5,20.05,20.4,726271
2015-09-09,20.48,20.48,20.24,20.29,362715
2015-09-10,20.37,20.48,20.13,20.24,1269282
2015-09-11,20.49,20.5,20.22,20.37,1376578
2015-09-14,20.35,20.78,20.35,20.75,3099747
2015-09-15,20.8,20.8,20.35,20.5,966799
2015-09-17,20.65,20.95,20.02,20.84,4024813
2015-09-18,20.89,21.53,20.4,21.19,7594004
2015-09-21,20.94,21.4,20.5,21.14,1470811
2015-09-22,21.1,21.1,20.37,20.52,2320640
2015-09-23,20.7,20.9,20.51,20.89,2262819
2015-09-24,20.88,20.88,20.25,20.25,21589370
2015-09-25,20.5,21.0,20.5,20.6,1735808
2015-09-28,20.65,20.99,20.4,20.49,17263612
2015-09-29,20.5,20.69,20.16,20.45,931651
2015-09-30,20.5,20.5,20.25,20.5,3982761
2015-10-01,20.5,20.77,20.3,20.46,779222
2015-10-02,20.59,20.79,20.33,20.63,1068601
2015-10-05,20.6,20.89,20.4,20.67,1813777
2015-10-06,20.89,20.99,20.55,20.97,3267492
2015-10-07,20.9,20.98,20.65,20.72,4391335
2015-10-08,20.72,20.86,20.61,20.75,1189739
2015-10-09,20.58,20.9,20.57,20.8,2758667
2015-10-12,20.95,20.99,20.72,20.89,3122083
2015-10-13,21.0,21.1,20.7,20.85,1213160
2015-10-14,20.97,21.01,20.7,21.0,2741982
2015-10-15,21.05,21.1,20.9,21.1,1907141
2015-10-16,21.0,21.1,20.85,20.99,3596177
2015-10-19,20.97,21.5,20.96,21.42,3684536
2015-10-20,21.45,21.65,21.42,21.5,3709152
2015-10-21,21.61,22.51,21.6,21.97,10810255
2015-10-22,20.96,22.4,20.96,22.05,8192388
2015-10-23,21.76,22.97,21.76,22.57,10629326
2015-10-26,22.86,23.85,22.39,22.77,1654071
2015-10-27,22.95,23.39,22.45,23.04,4776671
2015-10-28,23.14,23.49,22.8,23.2,3445629
2015-10-29,23.15,24.85,23.08,23.88,10693947
2015-10-30,23.91,24.16,23.86,23.9,5016062
2015-11-03,23.93,24.14,23.2,24.0,4265464
2015-11-04,23.99,24.0,23.2,23.5,2125858
2015-11-05,23.49,23.87,23.48,23.75,4463436
2015-11-06,23.75,23.83,23.25,23.67,3324906
2015-11-09,23.67,24.0,23.46,23.99,5287937
2015-11-10,23.8,23.8,23.4,23.6,4508906
2015-11-11,23.85,24.0,23.5,24.0,3266593
2015-11-12,23.95,23.98,23.51,23.91,6949287
2015-11-13,23.9,23.98,23.0,23.0,4292428
2015-11-17,23.88,23.89,23.0,23.48,4998122
2015-11-18,23.19,23.8,23.03,23.29,2514259
2015-11-19,23.04,23.47,22.99,23.06,3469553
2015-11-20,23.03,23.74,22.85,23.71,2554032
2015-11-23,23.01,23.71,23.01,23.26,1728814
2015-11-24,23.01,23.3,22.5,23.29,1874098
2015-11-25,23.23,23.5,23.05,23.3,1869503
2015-11-26,23.45,23.45,23.16,23.28,151593
2015-11-27,23.15,23.64,22.9,23.54,2058603
2015-11-30,23.54,23.93,23.02,23.39,2357188
2015-12-01,23.4,23.8,22.75,23.51,2421388
2015-12-02,23.59,23.8,23.01,23.79,1838781
2015-12-03,24.0,24.19,22.8,24.0,8363622
2015-12-04,24.08,24.41,23.82,24.15,2041772
2015-12-07,24.25,24.98,23.85,24.65,1719968
2015-12-08,24.37,24.5,24.0,24.39,2375302
2015-12-09,24.35,24.69,23.14,23.75,2407921
2015-12-10,23.9,24.38,23.56,23.6,3247405
2015-12-11,23.56,23.97,22.6,22.98,5889253
2015-12-14,22.99,23.3,22.55,22.93,1909512
2015-12-15,23.02,23.94,22.89,23.3,3887012
2015-12-16,23.22,23.68,22.9,23.41,2240734
2015-12-17,23.58,23.79,23.06,23.55,1754085
2015-12-18,23.7,24.08,22.49,22.5,16792893
2015-12-21,22.96,23.32,22.35,22.86,764366
2015-12-22,22.75,23.3,22.65,23.0,1371650
2015-12-23,23.15,23.4,22.76,23.21,1035128
2015-12-24,23.23,23.31,23.05,23.16,215728
2015-12-28,23.35,23.35,22.87,23.01,504104
