Date,Open,High,Low,Close,Volume
2015-01-02,27.36,27.49,25.0,25.81,2371938
2015-01-05,25.81,25.81,25.25,25.54,4011835
2015-01-06,25.02,26.16,25.02,25.98,5019714
2015-01-07,26.0,26.89,26.0,26.54,4438704
2015-01-08,27.2,27.72,26.11,27.08,3732482
2015-01-09,27.5,27.5,26.5,26.81,2470769
2015-01-12,27.16,27.69,26.15,26.21,991930
2015-01-13,26.7,27.44,26.65,27.07,4225931
2015-01-14,26.85,27.7,26.7,27.31,6620504
2015-01-15,27.63,29.18,27.63,29.06,5572768
2015-01-16,28.74,30.72,28.74,30.46,3265672
2015-01-19,30.51,30.51,28.9,29.0,710516
2015-01-20,29.02,29.67,29.02,29.5,1198487
2015-01-21,29.45,30.76,29.45,30.68,2667554
2015-01-22,30.6,31.72,29.8,30.08,3201268
2015-01-23,30.83,30.83,30.33,30.57,3972936
2015-01-26,30.91,31.09,30.65,30.94,2640593
2015-01-27,30.68,31.14,30.37,30.9,5094798
2015-01-28,30.78,30.99,30.24,30.72,2267774
2015-01-29,30.64,30.78,29.18,29.19,2457705
2015-01-30,29.09,30.1,28.26,28.45,3409964
2015-02-03,28.46,29.83,28.46,29.31,4298635
2015-02-04,29.75,29.95,28.6,29.67,1151061
2015-02-05,30.09,30.14,28.67,29.7,2561124
2015-02-06,30.0,30.15,29.45,29.82,1669184
2015-02-09,30.1,30.1,29.5,29.7,1510033
2015-02-10,29.7,30.18,29.0,29.23,2890121
2015-02-11,29.1,29.74,28.66,28.96,1866343
2015-02-12,28.91,29.7,28.3,29.18,1559034
2015-02-13,29.6,30.1,29.4,29.5,4830660
2015-02-16,29.59,29.59,29.3,29.5,130734
2015-02-17,29.46,29.51,27.86,28.09,1558307
2015-02-18,28.11,28.12,26.5,27.46,1883527
2015-02-19,28.0,29.17,27.6,28.5,1726354
2015-02-20,28.5,28.87,28.3,28.66,2279419
2015-02-23,28.88,29.75,28.6,29.7,2224458
2015-02-24,29.78,29.85,28.49,29.18,2931879
2015-02-25,29.1,29.7,28.75,29.23,2105823
2015-02-26,29.23,29.85,29.01,29.47,1799469
2015-02-27,29.48,31.0,29.48,30.89,4921609
2015-03-02,30.86,30.9,29.59,29.82,2740764
2015-03-03,29.95,30.69,29.64,30.0,2114290
2015-03-04,29.98,30.34,29.19,29.95,2129059
2015-03-05,29.25,30.49,29.25,30.22,3532355
2015-03-06,30.24,30.24,28.6,28.77,1929570
2015-03-09,29.23,29.6,28.63,29.14,2259527
2015-03-10,28.75,29.39,27.89,28.21,2306734
2015-03-11,28.0,28.65,27.01,27.29,2767354
2015-03-12,27.23,27.74,27.16,27.71,4491213
2015-03-13,27.43,27.74,27.06,27.55,1783924
2015-03-17,27.55,28.1,27.26,27.89,2681060
2015-03-18,28.5,28.5,27.27,28.28,2183175
2015-03-19,28.4,28.4,27.31,27.9,1560876
2015-03-20,27.51,28.89,27.51,28.25,2663630
2015-03-23,28.0,28.28,27.51,27.9,2810887
2015-03-24,28.0,28.8,28.0,28.65,1550194
2015-03-25,28.68,28.89,27.9,28.45,1168476
2015-03-26,28.22,28.49,28.01,28.05,1031204
2015-03-27,28.0,28.44,27.8,28.26,5025817
2015-03-30,28.3,29.2,28.0,29.07,2162614
2015-03-31,29.07,29.23,28.25,28.83,1952013
2015-04-01,28.84,28.84,27.71,27.9,2409767
2015-04-06,28.04,29.31,27.88,28.9,1450873
2015-04-07,28.95,29.96,28.95,29.4,1604798
2015-04-08,29.89,30.0,28.77,29.17,2363464
2015-04-09,29.5,30.03,28.95,28.96,750801
2015-04-10,29.7,30.0,28.95,29.86,2170103
2015-04-13,29.8,30.0,29.74,29.85,1776757
2015-04-14,29.36,30.61,29.36,29.45,1859146
2015-04-15,29.5,30.4,29.5,29.99,2097679
2015-04-16,30.1,30.35,29.51,29.85,1233237
2015-04-17,29.5,29.97,28.88,29.0,806838
2015-04-20,29.02,29.29,28.88,29.12,775403
2015-04-21,28.95,29.5,28.6,29.04,1392226
2015-04-22,29.09,29.9,29.09,29.81,1786794
2015-04-23,29.93,29.93,29.06,29.13,1076206
2015-04-24,29.18,30.06,29.18,30.03,2118921
2015-04-27,30.03,30.2,29.66,30.11,3620439
2015-04-28,30.02,30.2,29.59,30.11,1018725
2015-04-29,29.59,31.0,29.39,30.7,2699882
2015-04-30,30.97,31.12,29.88,31.0,2319533
2015-05-04,30.33,31.23,30.06,30.87,3267871
2015-05-05,30.98,31.04,30.5,30.53,1442847
2015-05-06,30.68,31.04,26.12,26.12,2977755
2015-05-07,26.41,26.42,23.0,24.15,23202007
2015-05-08,24.29,26.0,23.62,25.99,10680651
2015-05-11,25.9,26.39,24.46,24.74,8467328
2015-05-12,24.49,25.01,24.1,24.24,8265735
2015-05-13,24.72,25.12,24.2,25.0,6560841
2015-05-14,25.0,25.12,24.63,24.89,4613733
2015-05-15,24.6,25.15,24.6,24.98,2467144
2015-05-18,24.94,24.94,24.3,24.52,3093896
2015-05-19,24.66,24.77,24.0,24.25,3657404
2015-05-20,24.21,24.74,24.0,24.0,3470882
2015-05-21,24.1,24.49,23.32,24.1,10246974
2015-05-22,24.01,24.8,23.89,24.73,4501994
2015-05-25,24.52,24.84,24.5,24.84,1232272
2015-05-26,24.89,25.0,23.87,23.9,1734256
2015-05-27,23.01,23.66,22.2,22.31,10177128
2015-05-28,22.3,22.3,19.82,21.12,9064704
2015-05-29,21.14,21.14,19.5,20.7,7658770
2015-06-01,20.8,21.6,19.91,21.54,5032418
2015-06-02,21.5,23.4,21.28,21.92,6557102
2015-06-03,22.51,22.92,21.76,22.43,4229452
2015-06-04,22.7,22.7,21.95,21.95,2188150
2015-06-05,22.49,22.49,21.02,21.06,3264983
2015-06-08,21.25,21.45,20.11,20.39,3120622
2015-06-09,20.51,20.69,19.9,20.01,3108282
2015-06-10,20.03,20.22,19.52,19.61,5883854
2015-06-11,19.75,19.75,18.7,18.85,6231467
2015-06-12,18.5,20.0,18.07,19.14,7074083
2015-06-15,19.08,19.23,18.91,19.14,2655179
2015-06-16,19.0,19.09,18.34,18.51,4939056
2015-06-17,18.52,19.4,18.13,19.0,3575519
2015-06-18,19.1,20.29,19.01,20.13,6824318
2015-06-19,20.15,21.45,20.15,20.72,8072740
2015-06-22,20.8,21.44,20.7,21.41,2680341
2015-06-23,21.39,21.64,21.21,21.54,3281984
2015-06-24,21.32,21.69,21.14,21.22,1458123
2015-06-25,21.2,21.37,20.84,20.88,2706111
2015-06-26,20.8,21.3,20.12,20.8,4596560
2015-06-29,20.25,20.91,20.01,20.51,3142615
2015-06-30,20.35,20.76,20.08,20.4,6845399
2015-07-01,20.65,20.78,20.01,20.05,3608903
2015-07-02,20.1,21.29,20.1,20.68,7306967
2015-07-03,20.68,20.72,20.5,20.63,152538
2015-07-06,20.41,20.69,20.2,20.45,820748
2015-07-07,20.37,20.88,20.0,20.33,1998579
2015-07-08,20.11,20.89,20.02,20.11,2432064
2015-07-09,20.15,21.07,20.15,20.72,3174454
2015-07-10,20.9,21.15,20.45,21.03,3585594
2015-07-13,21.15,21.64,20.7,20.79,2762856
2015-07-14,20.93,21.38,20.6,21.04,2242670
2015-07-15,21.37,21.66,21.03,21.19,2780730
