Date,Open,High,Low,Close,Volume
2015-01-02,67.54,67.67,65.4,65.88,186829
2015-01-05,65.68,67.0,65.26,65.55,455258
2015-01-06,65.29,68.2,65.0,67.93,702058
2015-01-07,67.54,68.18,66.97,68.03,184236
2015-01-08,68.4,68.5,67.09,67.09,225748
2015-01-09,67.2,67.9,66.88,67.26,211343
2015-01-12,67.72,67.76,65.39,67.54,278845
2015-01-13,67.55,68.1,66.17,66.33,355817
2015-01-14,66.47,67.9,66.47,66.84,175447
2015-01-15,67.0,67.53,66.91,67.2,748492
2015-01-16,67.9,68.49,67.69,68.36,175081
2015-01-19,68.49,70.14,68.49,68.69,95527
2015-01-20,68.7,69.83,68.61,69.25,407988
2015-01-21,68.76,69.19,68.49,69.02,205105
2015-01-22,69.5,69.7,67.95,68.72,730989
2015-01-23,68.5,69.7,67.22,68.2,439612
2015-01-26,68.27,68.74,68.09,68.7,267290
2015-01-27,68.54,71.25,68.02,71.25,396916
2015-01-28,70.77,70.77,69.84,70.24,158979
2015-01-29,70.0,70.97,69.49,70.1,448589
2015-01-30,70.1,70.1,68.37,69.05,483934
2015-02-03,70.88,71.14,67.52,69.3,944019
2015-02-04,67.9,69.81,67.9,69.4,557465
2015-02-05,69.47,71.54,69.34,71.48,110064
2015-02-06,71.25,72.63,70.78,71.18,218121
2015-02-09,71.26,72.4,70.39,71.42,514444
2015-02-10,72.02,73.53,71.52,73.35,344747
2015-02-11,72.15,72.72,71.31,72.0,227820
2015-02-12,71.75,73.85,71.55,73.38,312593
2015-02-13,73.99,73.99,71.5,71.78,277648
2015-02-16,72.58,72.9,71.88,72.87,143625
2015-02-17,72.74,74.32,71.75,72.29,174103
2015-02-18,72.73,73.75,70.24,70.64,1253377
2015-02-19,71.86,71.89,70.05,71.4,239894
2015-02-20,71.2,71.2,70.0,71.06,368057
2015-02-23,71.25,71.65,70.1,71.29,268303
2015-02-24,71.46,71.66,69.54,69.86,559409
2015-02-25,70.0,70.0,68.4,68.44,514623
2015-02-26,68.4,69.69,68.4,69.49,797169
2015-02-27,69.48,71.5,68.73,70.84,906648
2015-03-02,71.0,71.5,70.46,71.4,577609
2015-03-03,71.41,71.45,69.45,69.55,513019
2015-03-04,70.01,70.82,69.6,69.61,357619
2015-03-05,69.65,69.94,69.0,69.05,318749
2015-03-06,69.35,69.76,67.7,67.9,352159
2015-03-09,67.97,69.95,67.9,69.07,294625
2015-03-10,67.5,68.74,67.2,67.35,508616
2015-03-11,67.63,67.64,65.8,66.02,364047
2015-03-12,66.55,69.0,66.45,68.5,788146
2015-03-13,68.56,69.39,68.45,68.96,1120280
2015-03-17,68.96,69.32,68.08,68.11,549945
2015-03-18,67.92,69.92,67.92,69.7,360150
2015-03-19,69.7,70.07,68.72,69.41,620825
2015-03-20,69.41,72.18,68.29,71.27,1206852
2015-03-23,71.49,71.49,70.66,70.9,340051
2015-03-24,70.9,71.53,70.16,71.2,576874
2015-03-25,71.15,72.25,70.73,72.0,342536
