Date,Open,High,Low,Close,Volume
2015-01-02,281.11,286.0,269.03,271.74,155017
2015-01-05,284.0,284.0,265.8,274.29,253900
2015-01-06,272.48,289.49,272.38,288.95,208842
2015-01-07,286.4,290.17,280.56,283.38,114489
2015-01-08,285.98,292.95,282.14,292.4,142616
2015-01-09,281.6,294.9,281.6,293.2,129465
2015-01-12,291.7,291.7,280.4,287.46,110836
2015-01-13,288.95,292.12,282.45,283.11,110068
2015-01-14,280.4,288.0,278.5,278.5,125404
2015-01-15,282.0,285.0,280.01,280.18,244289
2015-01-16,281.71,296.8,281.54,294.49,257008
2015-01-19,295.0,296.89,291.0,292.66,72083
2015-01-20,293.89,302.43,291.11,300.86,189915
2015-01-21,296.0,303.17,296.0,302.5,160942
2015-01-22,302.99,312.51,302.57,312.51,202703
2015-01-23,311.88,311.88,303.0,306.99,83733
2015-01-26,305.8,309.4,300.1,307.96,80301
2015-01-27,303.17,308.49,303.17,305.99,329954
2015-01-28,305.46,307.29,301.51,301.8,156003
2015-01-29,305.05,305.05,293.48,295.88,113727
2015-01-30,295.61,302.0,290.13,298.79,240824
2015-02-03,289.5,305.0,289.5,290.92,215506
2015-02-04,293.43,301.0,291.0,300.49,152490
2015-02-05,297.0,303.7,297.0,302.5,156940
2015-02-06,303.7,305.0,297.0,304.98,106423
2015-02-09,297.21,302.86,297.21,300.67,207866
2015-02-10,303.43,303.43,297.41,300.31,147332
2015-02-11,296.26,303.99,296.26,303.95,147620
2015-02-12,303.95,307.0,303.1,305.07,141927
2015-02-13,298.11,306.4,297.5,303.0,72445
2015-02-16,299.0,302.0,298.42,299.9,33151
2015-02-17,299.94,303.67,293.8,302.95,63055
2015-02-18,300.16,303.63,298.0,302.79,99275
2015-02-19,300.48,302.8,297.32,302.0,43506
2015-02-20,300.0,301.97,296.03,301.26,38958
2015-02-23,298.32,299.33,297.0,298.6,81217
2015-02-24,297.6,308.0,297.5,304.8,189187
2015-02-25,299.12,305.52,299.12,300.24,100683
2015-02-26,299.0,304.66,299.0,304.48,110790
2015-02-27,299.0,320.17,299.0,317.2,656427
2015-03-02,314.01,314.2,299.35,305.02,170653
2015-03-03,302.1,306.27,302.0,304.42,135556
2015-03-04,300.0,301.47,287.0,291.67,184721
2015-03-05,290.1,293.89,289.0,291.2,140689
2015-03-06,289.0,290.84,280.0,280.01,185832
2015-03-09,281.6,287.05,279.85,284.64,166807
2015-03-10,280.0,280.08,268.88,269.54,185559
2015-03-11,269.42,269.62,257.4,261.27,226439
2015-03-12,259.7,272.0,255.51,269.0,246823
2015-03-13,270.18,278.8,265.5,267.99,176242
2015-03-17,269.16,271.71,260.0,260.69,234888
2015-03-18,262.5,267.0,255.0,266.8,263450
2015-03-19,265.5,272.0,263.1,270.04,158897
