Date,Open,High,Low,Close,Volume
2015-01-02,177.39,178.21,172.0,172.01,455650
2015-01-05,172.1,172.21,165.81,167.0,643094
2015-01-06,168.99,168.99,160.6,163.37,310719
2015-01-07,165.0,171.74,163.72,171.0,500965
2015-01-08,170.5,175.48,169.0,171.39,410874
2015-01-09,171.0,174.5,168.91,172.66,1553449
2015-01-12,174.0,174.0,167.51,173.39,333468
2015-01-13,171.0,175.93,170.0,170.8,731561
2015-01-14,170.0,175.0,169.18,170.21,467467
2015-01-15,170.0,172.0,166.3,167.43,759647
2015-01-16,167.0,173.5,167.0,171.49,625221
2015-01-19,171.5,173.22,169.61,172.0,100694
2015-01-20,171.78,176.0,171.07,173.67,530796
2015-01-21,173.0,177.25,167.51,176.31,562855
2015-01-22,176.62,182.56,176.5,178.67,880225
2015-01-23,178.0,183.4,178.0,180.55,414751
2015-01-26,181.99,183.0,180.29,182.4,341043
2015-01-27,180.05,182.0,178.75,180.12,535841
2015-01-28,182.0,182.0,176.5,176.82,466530
2015-01-29,177.51,177.52,170.93,171.49,810531
2015-01-30,171.0,172.97,168.0,168.3,892167
2015-02-03,170.01,175.4,169.06,172.7,610522
2015-02-04,169.0,174.01,169.0,173.55,714537
2015-02-05,173.21,178.0,170.22,176.9,780943
2015-02-06,176.01,178.75,176.01,177.23,1171931
2015-02-09,176.43,178.39,175.5,176.33,214693
2015-02-10,178.0,178.0,172.6,172.9,513005
2015-02-11,173.0,175.23,172.31,173.35,419977
2015-02-12,173.0,175.45,172.7,174.53,475630
2015-02-13,175.45,176.0,173.3,174.63,370678
2015-02-16,175.37,175.37,170.01,170.85,657571
2015-02-17,171.9,173.08,171.0,172.74,573616
2015-02-18,173.35,174.2,170.5,172.0,735304
2015-02-19,172.13,174.18,171.11,173.37,432847
2015-02-20,173.1,173.97,171.6,173.39,376786
2015-02-23,174.29,174.56,171.38,173.88,508801
2015-02-24,174.5,176.0,171.42,175.25,725987
2015-02-25,175.22,175.69,172.71,174.9,979685
2015-02-26,174.78,179.9,174.06,178.54,746884
2015-02-27,179.0,179.5,174.58,179.5,739642
2015-03-02,178.0,179.7,174.46,175.86,695610
2015-03-03,173.25,175.99,173.0,174.0,546105
2015-03-04,174.2,175.78,169.01,169.21,723547
2015-03-05,170.5,171.99,165.0,165.49,763723
2015-03-06,166.4,166.9,163.46,164.49,853887
2015-03-09,165.8,166.72,163.51,166.0,418573
2015-03-10,166.5,166.5,163.75,165.2,701155
2015-03-11,166.0,170.0,165.0,168.68,933900
2015-03-12,168.05,170.87,167.16,170.23,1844946
2015-03-13,171.29,171.85,165.54,168.31,1119452
2015-03-17,166.9,167.58,165.22,166.57,552509
2015-03-18,166.3,171.0,166.11,170.95,836885
2015-03-19,170.0,170.0,166.8,169.18,785814
2015-03-20,169.9,172.02,168.02,172.02,1356669
2015-03-23,171.41,171.41,168.0,168.0,482247
2015-03-24,170.39,170.39,165.2,165.56,838688
2015-03-25,165.75,167.96,165.15,165.2,427660
2015-03-26,165.0,167.78,164.5,166.16,444603
2015-03-27,167.0,168.3,165.05,166.71,373754
2015-03-30,166.15,167.99,165.0,165.02,322755
2015-03-31,165.14,166.17,161.2,162.8,568415
2015-04-01,163.5,166.49,162.46,165.58,263873
2015-04-06,166.0,170.98,166.0,170.08,400915
2015-04-07,170.08,170.99,167.73,168.42,1029391
2015-04-08,168.26,171.64,168.17,170.91,836499
2015-04-09,170.0,171.62,168.7,169.5,490997
2015-04-10,168.75,170.1,168.11,169.38,305117
2015-04-13,170.0,171.64,169.0,170.37,239863
2015-04-14,171.64,171.65,170.01,171.54,445810
2015-04-15,171.65,175.89,170.15,171.41,739919
2015-04-16,170.61,175.5,170.61,174.92,768702
2015-04-17,175.0,176.99,172.64,175.4,706497
2015-04-20,175.57,176.96,173.22,173.6,406431
2015-04-21,173.75,175.99,173.01,174.47,399125
2015-04-22,175.5,176.45,174.0,175.3,376116
