Date,Open,High,Low,Close,Volume
2015-01-02,30.6,30.6,29.09,29.31,2405838
2015-01-05,29.0,29.07,28.11,28.33,3071773
2015-01-06,28.53,29.01,27.94,28.92,3902905
2015-01-07,29.01,29.54,28.91,29.15,4277180
2015-01-08,29.01,30.16,28.77,28.77,2916991
2015-01-09,28.76,29.08,28.13,28.53,2719599
2015-01-12,28.59,28.89,28.06,28.78,2770370
2015-01-13,28.5,29.21,27.91,28.23,3313305
2015-01-14,27.9,28.57,27.7,28.33,4576952
2015-01-15,28.33,28.52,27.83,28.01,3477490
2015-01-16,27.81,28.59,27.81,28.35,1620964
2015-01-19,28.41,28.57,28.21,28.44,311294
2015-01-20,28.21,29.12,28.21,28.72,2606676
2015-01-21,29.09,30.35,28.95,30.19,3706577
2015-01-22,30.45,31.75,30.38,31.62,4428557
2015-01-23,31.78,31.85,31.23,31.5,2600444
2015-01-26,31.6,31.83,31.18,31.39,1523050
2015-01-27,31.25,31.79,31.15,31.73,2809174
2015-01-28,31.62,32.45,31.51,31.9,4454995
2015-01-29,31.27,32.32,31.27,31.76,4929029
2015-01-30,31.79,32.09,31.59,31.79,7207759
2015-02-03,31.74,33.69,31.74,32.81,3968126
2015-02-04,32.85,34.99,32.85,33.8,5091732
2015-02-05,33.84,34.7,33.16,34.59,6385246
2015-02-06,34.4,34.78,33.15,33.41,5569991
2015-02-09,33.03,33.31,32.67,33.04,1965012
2015-02-10,33.19,33.2,32.2,32.34,3219919
2015-02-11,32.1,32.76,32.1,32.24,3052359
2015-02-12,32.01,32.87,31.87,31.9,3683249
2015-02-13,32.2,32.95,32.12,32.77,1787299
2015-02-16,32.71,32.98,32.2,32.64,274529
2015-02-17,32.85,33.36,31.6,33.07,1770368
2015-02-18,33.0,33.64,32.46,33.06,2708369
2015-02-19,32.5,33.23,32.5,32.76,1295267
2015-02-20,33.05,33.25,32.5,32.79,1101805
2015-02-23,32.81,32.92,32.58,32.68,1215287
2015-02-24,32.9,33.5,32.68,32.94,3450813
2015-02-25,32.76,33.5,32.44,32.75,3474001
2015-02-26,32.79,32.81,32.34,32.49,1554367
2015-02-27,32.61,33.39,32.41,32.86,3405738
2015-03-02,32.7,33.39,32.44,32.88,3271023
2015-03-03,32.7,33.27,32.5,32.89,2350541
2015-03-04,32.6,33.07,32.19,33.01,1724567
2015-03-05,32.61,33.31,32.61,32.79,2418064
2015-03-06,32.7,33.19,32.01,33.01,3287178
2015-03-09,32.84,33.25,32.6,32.85,3590786
2015-03-10,32.9,33.18,32.28,33.02,2943991
2015-03-11,32.9,34.4,32.9,34.4,4127764
2015-03-12,33.55,34.91,33.55,34.35,2370514
2015-03-13,34.41,34.41,33.36,33.78,3672672
2015-03-17,34.05,35.05,34.05,34.42,3486927
2015-03-18,34.09,35.11,33.92,34.9,3328505
2015-03-19,34.84,34.95,33.97,34.07,3441649
2015-03-20,33.98,34.49,33.76,34.1,5244674
2015-03-23,33.9,34.32,33.75,33.85,1674845
