Date,Open,High,Low,Close,Volume
2015-01-02,100.09,101.76,98.55,100.14,1697696
2015-01-05,99.64,99.64,97.88,98.23,3469768
2015-01-06,98.6,98.6,96.28,97.55,4861545
2015-01-07,98.1,98.41,97.46,97.52,4609148
2015-01-08,97.53,99.86,97.52,98.4,2547408
2015-01-09,98.33,98.53,97.19,98.16,2563079
2015-01-12,98.42,98.7,94.83,95.29,2529439
2015-01-13,96.0,97.97,95.5,96.1,4551802
2015-01-14,95.79,95.79,93.62,93.62,4191433
2015-01-15,94.34,95.02,93.56,93.94,4087088
2015-01-16,93.35,94.29,92.95,94.27,3003021
2015-01-19,94.29,95.04,93.71,94.15,573206
2015-01-20,93.86,95.97,92.55,94.6,2751430
2015-01-21,94.76,97.4,94.2,97.15,3881127
2015-01-22,97.16,100.17,97.09,100.07,4514337
2015-01-23,99.49,100.27,98.53,98.76,1263737
2015-01-26,98.89,101.08,98.71,99.55,3560110
2015-01-27,98.7,99.47,97.97,99.25,3155750
2015-01-28,99.42,99.98,97.95,98.0,1719515
2015-01-29,97.5,99.0,96.92,98.61,2623300
2015-01-30,98.93,99.24,97.31,97.74,3263478
2015-02-03,98.0,100.67,97.91,98.6,2554543
2015-02-04,99.0,100.85,98.57,100.25,2614472
2015-02-05,100.0,100.71,98.65,99.58,3188109
2015-02-06,99.25,99.91,97.56,97.95,2351410
2015-02-09,98.22,98.76,96.7,98.56,1834725
2015-02-10,99.0,101.67,99.0,101.01,6615879
2015-02-11,100.5,101.26,99.28,99.81,2878241
2015-02-12,99.0,104.96,99.0,104.55,4558366
2015-02-13,104.0,104.74,103.2,103.79,1729966
2015-02-16,103.05,106.59,102.01,104.3,238557
2015-02-17,104.44,104.76,102.47,104.75,1172817
2015-02-18,105.0,105.0,99.44,99.44,2920739
2015-02-19,99.77,100.31,98.02,99.27,3933444
2015-02-20,99.3,99.78,98.2,99.73,1807083
2015-02-23,99.85,102.5,99.8,102.3,2668695
2015-02-24,101.8,102.66,100.75,101.02,2371818
2015-02-25,100.97,102.35,99.64,100.43,2805840
2015-02-26,100.61,102.43,100.02,101.8,4087197
2015-02-27,102.5,102.95,101.28,101.84,6339901
2015-03-02,100.6,103.0,100.6,102.35,3469812
2015-03-03,102.36,104.16,101.94,103.96,3036570
2015-03-04,103.5,103.78,101.94,103.77,2315685
2015-03-05,102.6,107.26,102.6,105.56,5047181
2015-03-06,105.0,107.42,102.68,107.0,4547028
2015-03-09,106.5,106.93,104.93,105.96,2114600
2015-03-10,104.35,106.2,103.94,106.0,3794254
2015-03-11,107.01,110.0,106.18,106.56,4091044
2015-03-12,106.03,107.0,104.96,106.43,2579845
2015-03-13,105.98,107.5,105.67,106.37,2081427
2015-03-17,105.22,106.2,104.88,105.25,4272662
2015-03-18,104.9,104.9,101.2,102.45,4774997
2015-03-19,102.83,104.0,102.16,104.0,4341240
2015-03-20,103.45,104.62,102.57,103.69,8064652
2015-03-23,103.59,104.18,102.31,103.7,1951805
2015-03-24,104.02,104.11,103.01,103.2,2305840
2015-03-25,103.0,103.43,100.15,100.5,4623361
2015-03-26,100.01,100.5,98.97,99.97,5119405
2015-03-27,99.48,100.99,99.05,100.76,4862356
2015-03-30,100.58,102.4,100.57,102.29,2212974
2015-03-31,101.5,101.77,100.35,100.69,4151790
2015-04-01,100.7,104.0,100.35,103.8,3545280
2015-04-06,103.77,105.0,102.16,104.78,1904012
2015-04-07,105.0,105.32,104.37,104.56,2335140
2015-04-08,104.24,105.63,104.24,105.63,3588179
2015-04-09,105.34,107.0,105.34,107.0,2142921
2015-04-10,106.66,107.85,106.25,107.48,2608650
2015-04-13,107.62,108.11,107.36,108.0,1885882
2015-04-14,107.64,108.12,106.89,107.2,3041617
2015-04-15,108.04,108.54,107.45,108.36,2640422
2015-04-16,107.7,108.34,106.96,107.63,2033880
2015-04-17,107.16,107.36,105.0,105.15,1896827
2015-04-20,106.04,106.51,105.34,106.37,1587131
2015-04-21,106.41,108.38,105.92,107.86,3254699
2015-04-22,108.0,109.19,107.27,108.82,2218728
2015-04-23,108.0,109.85,108.0,109.16,2662765
2015-04-24,109.03,112.99,109.0,112.77,6801610
2015-04-27,112.15,114.87,111.74,112.2,3379960
2015-04-28,111.36,112.58,110.79,112.36,2093276
2015-04-29,111.7,112.74,110.71,111.3,2641906
2015-04-30,110.84,112.3,110.78,111.7,5120174
2015-05-04,111.66,114.57,111.62,112.78,2626789
2015-05-05,113.0,113.0,108.5,109.66,2389789
2015-05-06,109.8,109.87,108.54,108.88,3026496
2015-05-07,108.83,109.86,108.4,109.03,2623506
2015-05-08,109.5,111.0,109.29,110.64,3821459
2015-05-11,110.54,111.9,109.78,111.3,2044951
2015-05-12,110.66,111.35,110.45,110.93,1926849
2015-05-13,110.0,111.0,109.85,110.34,2282290
2015-05-14,109.83,111.24,109.51,110.29,2398332
2015-05-15,110.16,110.98,109.59,110.59,2200562
2015-05-18,109.84,111.45,109.24,111.03,2349730
2015-05-19,110.81,112.06,110.81,111.42,4315236
2015-05-20,111.42,112.47,110.58,110.61,2248271
2015-05-21,110.85,112.06,110.16,110.19,1348214
2015-05-22,111.0,114.4,110.65,114.0,2756839
2015-05-25,113.3,114.14,111.63,112.52,429717
2015-05-26,112.99,114.0,112.44,113.77,4820394
2015-05-27,111.2,115.4,111.2,114.63,3698553
2015-05-28,115.0,117.15,115.0,116.82,3368119
2015-05-29,116.0,117.02,115.89,116.63,24262452
2015-06-01,116.05,118.57,116.05,118.2,3609423
2015-06-02,117.95,120.0,117.69,119.44,4624875
2015-06-03,120.0,120.87,118.0,118.23,3638498
2015-06-04,118.0,118.3,115.35,115.82,2902073
2015-06-05,117.55,117.81,115.92,116.53,3595899
2015-06-08,114.21,116.34,114.21,115.47,2024715
2015-06-09,116.2,116.2,113.61,115.59,1844084
2015-06-10,115.0,116.07,115.0,115.87,5110836
2015-06-11,116.05,119.48,115.99,118.47,4235543
2015-06-12,119.37,119.37,117.68,119.13,2554664
2015-06-15,119.46,119.58,117.27,119.33,2299116
2015-06-16,118.7,119.96,118.56,119.7,2013760
2015-06-17,119.72,120.19,118.42,118.63,4141810
2015-06-18,118.4,118.72,117.42,118.2,1694134
2015-06-19,118.68,121.33,117.86,120.22,8398864
2015-06-22,120.59,121.06,120.22,120.32,2044997
2015-06-23,121.55,121.62,120.06,120.99,2433915
2015-06-24,121.23,122.42,120.81,122.25,2088321
2015-06-25,121.04,124.07,121.04,122.97,2764700
2015-06-26,124.35,124.4,122.56,122.8,1805121
2015-06-29,122.59,122.91,120.15,120.3,2363494
2015-06-30,120.0,122.47,120.0,122.03,5624758
2015-07-01,121.5,123.1,121.15,121.4,3072119
2015-07-02,121.97,123.49,121.21,122.5,3392063
2015-07-03,122.25,122.67,121.79,122.55,545316
2015-07-06,122.34,123.4,119.63,120.64,2174725
2015-07-07,116.7,116.7,112.8,115.19,7564545
