Date,Open,High,Low,Close,Volume
2015-01-02,13.34,13.39,12.98,13.04,216458
2015-01-05,13.0,13.29,12.8,12.87,894304
2015-01-06,12.82,13.09,12.82,12.83,2510329
2015-01-07,12.89,13.08,12.68,12.7,507846
2015-01-08,12.77,13.09,12.57,12.57,2337631
2015-01-09,12.56,12.75,12.45,12.75,800892
2015-01-12,12.78,14.31,12.78,14.0,2780457
2015-01-13,13.96,14.41,13.45,13.87,698080
2015-01-14,13.79,13.79,13.33,13.61,544886
2015-01-15,13.63,14.0,13.61,13.93,486354
2015-01-16,14.02,14.13,13.93,13.98,384837
2015-01-19,13.99,14.05,13.73,13.73,55493
2015-01-20,14.03,14.21,13.9,14.0,287856
2015-01-21,14.0,14.06,13.7,13.71,513608
2015-01-22,13.73,13.9,13.17,13.53,753953
2015-01-23,13.4,13.69,13.4,13.47,148530
2015-01-26,13.47,14.09,13.47,13.89,564799
2015-01-27,13.91,13.91,13.56,13.7,583901
2015-01-28,13.77,13.8,13.45,13.45,227208
2015-01-29,13.47,13.85,13.47,13.79,617220
2015-01-30,13.4,13.85,13.4,13.7,225544
2015-02-03,13.79,13.82,13.4,13.45,555355
2015-02-04,14.1,14.1,13.23,13.72,174048
2015-02-05,13.65,13.87,13.45,13.72,217559
2015-02-09,13.68,13.68,13.21,13.4,2963950
2015-02-10,13.48,13.6,13.0,13.4,811874
2015-02-11,13.45,13.85,13.18,13.61,921514
2015-02-12,13.69,13.96,13.35,13.95,1204969
2015-02-13,13.91,13.95,13.65,13.76,349033
2015-02-16,13.79,14.2,13.79,14.2,629029
2015-02-17,14.16,14.16,13.68,13.8,607062
2015-02-18,13.77,13.89,13.25,13.57,1193309
2015-02-19,13.63,13.74,13.56,13.62,141755
2015-02-20,13.67,13.8,13.52,13.55,583197
2015-02-23,13.7,13.87,13.61,13.86,727364
2015-02-24,13.9,14.2,13.9,14.02,2118283
2015-02-25,13.8,14.04,13.75,14.01,1427207
2015-02-26,14.2,15.6,14.16,15.5,6014995
2015-02-27,15.53,16.33,14.59,14.93,3873366
2015-03-02,15.0,16.0,14.9,15.9,1635886
2015-03-03,15.87,16.42,15.8,15.95,2920795
2015-03-04,16.1,16.1,15.87,15.95,929906
2015-03-05,16.05,16.65,15.9,16.6,726758
2015-03-06,16.7,17.2,16.42,16.66,2754340
2015-03-09,16.77,16.84,16.55,16.84,488815
2015-03-10,16.93,16.93,16.24,16.36,1368982
2015-03-11,16.42,16.65,16.21,16.62,864756
2015-03-12,16.7,17.0,16.48,16.99,754271
2015-03-13,16.91,17.17,16.77,16.97,1177709
2015-03-17,17.25,18.57,17.25,17.93,1132070
2015-03-18,18.07,18.35,17.73,17.76,1226702
2015-03-19,17.9,18.08,17.79,18.08,850962
2015-03-20,18.0,18.23,17.7,18.21,4101032
2015-03-23,18.23,18.23,17.36,17.73,874539
2015-03-24,17.76,17.97,17.55,17.6,596280
2015-03-25,17.61,17.72,16.72,17.3,2736004
2015-03-26,17.18,17.25,16.39,16.6,1315304
2015-03-27,16.7,17.18,16.7,17.11,1310295
2015-03-30,17.12,17.49,17.1,17.22,373804
2015-03-31,17.22,17.25,16.8,17.15,441813
2015-04-01,16.81,17.11,16.8,16.97,547140
2015-04-06,16.89,17.95,16.77,17.74,1120944
2015-04-07,18.0,18.0,17.51,17.78,997946
