Date,Open,High,Low,Close,Volume
2015-01-02,31.53,31.9,30.62,30.87,8595016
2015-01-05,30.5,30.7,29.63,29.92,19050026
2015-01-06,29.93,30.33,29.75,30.09,15378022
2015-01-07,30.13,30.87,30.13,30.64,14605496
2015-01-08,30.52,30.93,30.33,30.5,18709574
2015-01-09,30.42,30.6,29.84,29.85,17303401
2015-01-12,29.81,30.0,29.1,29.15,18887646
2015-01-13,29.15,29.49,28.51,28.66,19426812
2015-01-14,28.5,29.3,28.39,29.23,40867160
2015-01-15,29.31,29.54,28.91,29.4,18288704
2015-01-16,29.4,29.62,29.2,29.37,15801341
2015-01-19,29.53,29.6,29.27,29.47,7988057
2015-01-20,29.44,29.8,29.3,29.56,15946399
2015-01-21,29.74,29.97,29.33,29.87,14742865
2015-01-22,30.0,30.6,29.83,30.43,23888206
2015-01-23,30.32,30.55,29.92,30.11,10800678
2015-01-26,30.1,30.64,29.9,30.58,24612667
2015-01-27,30.5,30.64,30.15,30.58,12819433
2015-01-28,30.42,30.69,30.11,30.27,13305337
2015-01-29,30.11,30.39,29.88,29.98,10900126
2015-01-30,30.01,30.01,28.7,28.91,15865018
2015-02-03,29.07,29.6,28.32,28.56,44227643
2015-02-04,28.6,29.13,28.5,28.92,26804774
2015-02-05,29.19,29.7,28.8,29.68,19785201
2015-02-06,30.61,32.37,30.61,32.33,66233006
2015-02-09,32.1,32.92,32.0,32.82,33830229
2015-02-10,32.82,33.45,32.71,33.01,38306145
2015-02-11,33.0,33.13,32.35,32.65,27781697
2015-02-12,32.51,33.18,32.51,33.0,21715153
2015-02-13,33.12,33.38,32.71,32.98,12597207
2015-02-16,32.72,33.12,32.6,32.97,4207336
2015-02-17,32.98,33.46,32.51,33.36,16701885
2015-02-18,36.01,36.07,34.0,35.31,76350170
2015-02-19,35.0,35.6,34.9,35.57,19595931
2015-02-20,35.3,35.8,35.24,35.8,21386702
2015-02-23,35.51,35.99,35.51,35.95,18922480
2015-02-24,36.0,36.26,35.61,36.22,28003788
2015-02-25,36.0,37.35,36.0,37.35,44462312
2015-02-26,36.91,37.1,36.12,36.91,21466448
2015-02-27,36.73,36.97,36.47,36.63,24494650
2015-03-02,36.37,36.5,35.56,36.07,19099713
2015-03-03,36.18,36.29,35.65,36.19,25260102
2015-03-04,35.96,36.44,35.71,36.26,30754148
2015-03-05,36.59,37.5,36.59,36.9,32517446
2015-03-06,36.84,37.17,36.36,37.11,18843736
2015-03-09,37.19,37.49,36.66,37.4,17828875
2015-03-10,37.34,38.36,37.1,38.1,25574663
2015-03-11,38.09,38.86,37.77,38.49,29302148
2015-03-12,38.34,39.79,38.34,39.75,24853774
2015-03-13,39.41,39.8,38.95,39.76,29861236
2015-03-17,39.41,39.71,38.62,39.1,28205564
2015-03-18,38.91,39.0,37.4,37.99,28889570
2015-03-19,37.91,38.03,37.01,37.65,16276027
2015-03-20,37.3,37.88,36.79,37.09,33093719
2015-03-23,36.95,37.6,36.95,37.38,12518833
2015-03-24,37.49,38.1,37.36,37.73,15934324
2015-03-25,37.74,37.96,37.11,37.48,12427337
2015-03-26,37.39,37.57,36.8,37.0,17625194
2015-03-27,36.97,38.14,36.75,37.83,13973531
2015-03-30,37.55,38.34,37.55,37.88,11785578
